address_id,best_control_id,coverage_level,coverage_score,shared_corridor,shared_terminal_signature,shared_bridge_or_rail,distance_to_control_m,reason,manual_review_recommended
n11222053152,MY-004,WEAK_COVERAGE,0.512,True,False,True,2842.9,corridor=True; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.62,True
n11888388469,MY-004,WEAK_COVERAGE,0.563,True,False,True,490.5,corridor=True; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.83,True
n12143937485,MY-075,UNCOVERED,0.180,False,False,True,642.8,corridor=False; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.50,True
n2321749385,MY-012,STRONG_COVERAGE,0.980,True,True,True,671.2,corridor=True; terminal=True; same_street=True; tail_overlap=0.00; street_overlap=1.00,False
n2321749386,MY-015,STRONG_COVERAGE,0.980,True,True,True,510.2,corridor=True; terminal=True; same_street=True; tail_overlap=0.23; street_overlap=1.00,False
n2321749387,MY-015,PARTIAL_COVERAGE,0.830,True,True,True,638.2,corridor=True; terminal=True; same_street=False; tail_overlap=0.07; street_overlap=1.00,True
n2321749388,MY-012,STRONG_COVERAGE,0.980,True,True,True,616.3,corridor=True; terminal=True; same_street=True; tail_overlap=0.00; street_overlap=1.00,False
n2321749389,MY-012,STRONG_COVERAGE,0.980,True,True,True,520.0,corridor=True; terminal=True; same_street=True; tail_overlap=0.14; street_overlap=1.00,False
n2321749390,MY-078,WEAK_COVERAGE,0.272,False,False,True,4298.3,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.22,True
n2321749391,MY-015,STRONG_COVERAGE,0.980,True,True,True,566.5,corridor=True; terminal=True; same_street=True; tail_overlap=0.14; street_overlap=1.00,False
n2321749392,MY-015,STRONG_COVERAGE,1.000,True,True,True,237.2,corridor=True; terminal=True; same_street=True; tail_overlap=0.33; street_overlap=1.00,False
n2321749393,MY-015,STRONG_COVERAGE,1.000,True,True,True,190.4,corridor=True; terminal=True; same_street=True; tail_overlap=0.45; street_overlap=1.00,False
n2321749394,MY-015,STRONG_COVERAGE,1.000,True,True,True,104.0,corridor=True; terminal=True; same_street=True; tail_overlap=0.78; street_overlap=1.00,False
n2321749401,MY-078,WEAK_COVERAGE,0.272,False,False,True,4308.8,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.22,True
n2321749410,MY-012,STRONG_COVERAGE,0.980,True,True,True,452.3,corridor=True; terminal=True; same_street=True; tail_overlap=0.23; street_overlap=1.00,False
n2321749411,MY-012,STRONG_COVERAGE,1.000,True,True,True,170.7,corridor=True; terminal=True; same_street=True; tail_overlap=0.78; street_overlap=1.00,False
n2321749412,MY-012,STRONG_COVERAGE,1.000,True,True,True,77.3,corridor=True; terminal=True; same_street=True; tail_overlap=1.00; street_overlap=1.00,False
n2321749413,MY-012,WEAK_COVERAGE,0.375,False,True,True,153.6,corridor=False; terminal=True; same_street=False; tail_overlap=0.60; street_overlap=0.75,True
n2321749414,MY-012,WEAK_COVERAGE,0.375,False,True,True,221.7,corridor=False; terminal=True; same_street=False; tail_overlap=0.60; street_overlap=0.75,True
n2321749415,MY-012,WEAK_COVERAGE,0.375,False,True,True,112.6,corridor=False; terminal=True; same_street=False; tail_overlap=0.78; street_overlap=0.75,True
n2321749416,MY-012,WEAK_COVERAGE,0.375,False,True,True,201.0,corridor=False; terminal=True; same_street=False; tail_overlap=0.60; street_overlap=0.75,True
n2321749417,MY-012,WEAK_COVERAGE,0.205,False,False,True,250.4,corridor=False; terminal=False; same_street=False; tail_overlap=0.14; street_overlap=0.75,True
n2321749418,MY-015,WEAK_COVERAGE,0.210,False,False,True,307.7,corridor=False; terminal=False; same_street=False; tail_overlap=0.33; street_overlap=0.80,True
n2321749419,MY-012,WEAK_COVERAGE,0.375,False,True,True,62.0,corridor=False; terminal=True; same_street=False; tail_overlap=0.60; street_overlap=0.75,True
n2321749420,MY-012,WEAK_COVERAGE,0.225,False,False,True,205.4,corridor=False; terminal=False; same_street=False; tail_overlap=0.23; street_overlap=0.75,True
n2321749421,MY-012,WEAK_COVERAGE,0.375,False,True,True,77.9,corridor=False; terminal=True; same_street=False; tail_overlap=0.60; street_overlap=0.75,True
n2321749422,MY-012,WEAK_COVERAGE,0.205,False,False,True,255.1,corridor=False; terminal=False; same_street=False; tail_overlap=0.14; street_overlap=0.75,True
n2321749424,MY-015,WEAK_COVERAGE,0.210,False,False,True,435.5,corridor=False; terminal=False; same_street=False; tail_overlap=0.23; street_overlap=0.80,True
n2321749428,MY-049,WEAK_COVERAGE,0.287,False,False,True,3293.0,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.38,True
n2321749430,MY-012,STRONG_COVERAGE,1.000,True,True,True,92.8,corridor=True; terminal=True; same_street=True; tail_overlap=1.00; street_overlap=1.00,False
n2321749431,MY-012,STRONG_COVERAGE,1.000,True,True,True,0.0,corridor=True; terminal=True; same_street=True; tail_overlap=1.00; street_overlap=1.00,False
n2321749432,MY-012,WEAK_COVERAGE,0.375,False,True,True,72.0,corridor=False; terminal=True; same_street=False; tail_overlap=0.78; street_overlap=0.75,True
n2321749433,MY-012,STRONG_COVERAGE,1.000,True,True,True,183.1,corridor=True; terminal=True; same_street=True; tail_overlap=0.45; street_overlap=1.00,False
n2321749435,MY-012,WEAK_COVERAGE,0.355,False,False,True,305.1,corridor=False; terminal=False; same_street=True; tail_overlap=0.14; street_overlap=0.75,True
n2321749436,MY-008,STRONG_COVERAGE,0.980,True,True,True,265.3,corridor=True; terminal=True; same_street=True; tail_overlap=0.00; street_overlap=1.00,False
n2321749437,MY-008,STRONG_COVERAGE,0.980,True,True,True,301.2,corridor=True; terminal=True; same_street=True; tail_overlap=0.00; street_overlap=1.00,False
n2321749438,MY-008,STRONG_COVERAGE,1.000,True,True,True,231.7,corridor=True; terminal=True; same_street=True; tail_overlap=0.00; street_overlap=1.00,False
n2321749439,MY-049,WEAK_COVERAGE,0.287,False,False,True,3716.6,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.38,True
n2321749440,MY-049,WEAK_COVERAGE,0.287,False,False,True,3690.1,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.38,True
n2321749441,MY-049,WEAK_COVERAGE,0.287,False,False,True,3714.8,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.38,True
n2321749442,MY-007,STRONG_COVERAGE,0.850,True,True,True,241.3,corridor=True; terminal=True; same_street=False; tail_overlap=0.00; street_overlap=1.00,False
n2321749444,MY-008,WEAK_COVERAGE,0.355,False,False,True,306.2,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.75,True
n2321749445,MY-012,UNCOVERED,0.190,False,False,True,448.5,corridor=False; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.60,True
n2321749446,MY-049,WEAK_COVERAGE,0.287,False,False,True,3410.3,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.38,True
n2321749447,MY-012,UNCOVERED,0.190,False,False,True,488.9,corridor=False; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.60,True
n2321749451,MY-007,WEAK_COVERAGE,0.205,False,False,True,271.0,corridor=False; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.75,True
n2321749452,MY-007,WEAK_COVERAGE,0.205,False,False,True,252.0,corridor=False; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.75,True
n2321749453,MY-012,UNCOVERED,0.180,False,False,True,448.4,corridor=False; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.50,True
n2321749454,MY-012,UNCOVERED,0.180,False,False,True,480.9,corridor=False; terminal=False; same_street=False; tail_overlap=0.00; street_overlap=0.50,True
n2321749456,MY-007,STRONG_COVERAGE,0.830,True,True,True,257.0,corridor=True; terminal=True; same_street=False; tail_overlap=0.00; street_overlap=1.00,False
n2321749458,MY-007,STRONG_COVERAGE,0.850,True,True,True,202.7,corridor=True; terminal=True; same_street=False; tail_overlap=0.00; street_overlap=1.00,False
n2321749459,MY-007,STRONG_COVERAGE,1.000,True,True,True,220.7,corridor=True; terminal=True; same_street=True; tail_overlap=0.00; street_overlap=1.00,False
n2321749460,MY-007,WEAK_COVERAGE,0.375,False,False,True,171.1,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.75,True
n2321749461,MY-007,WEAK_COVERAGE,0.525,False,True,True,72.5,corridor=False; terminal=True; same_street=True; tail_overlap=0.60; street_overlap=0.75,True
n2321749462,MY-007,WEAK_COVERAGE,0.375,False,False,True,162.8,corridor=False; terminal=False; same_street=True; tail_overlap=0.00; street_overlap=0.75,True
n2321749463,MY-007,STRONG_COVERAGE,1.000,True,True,True,0.0,corridor=True; terminal=True; same_street=True; tail_overlap=1.00; street_overlap=1.00,False
n2321749464,MY-006,STRONG_COVERAGE,1.000,True,True,True,0.0,corridor=True; terminal=True; same_street=True; tail_overlap=1.00; street_overlap=1.00,False
n2321749465,MY-006,STRONG_COVERAGE,1.000,True,True,True,54.3,corridor=True; terminal=True; same_street=False; tail_overlap=0.60; street_overlap=1.00,False
n2321749466,MY-006,STRONG_COVERAGE,1.000,True,True,True,55.9,corridor=True; terminal=True; same_street=False; tail_overlap=0.60; street_overlap=1.00,False
n2321749467,MY-007,WEAK_COVERAGE,0.225,False,False,True,71.8,corridor=False; terminal=False; same_street=False; tail_overlap=0.23; street_overlap=0.75,True
