address_id,address_release_version,territory,district,street,house_number,destination_lat,destination_lon,router_status,router_distance_km,router_duration_min,straight_line_km,detour_factor,snapped_origin_lat,snapped_origin_lon,origin_snap_distance_m,snapped_destination_lat,snapped_destination_lon,destination_snap_distance_m,router_main_streets,route_node_count,route_first_nodes,route_last_nodes,terminal_node_signature,corridor_signature,bridge_or_rail,uturn,route_geometry_hash,probable_anomaly,anomaly_severity,owner_review_required
n11222053152,1.1.0,Протягайловка,,Славянская улица,10,46.84806,29.43703,ROUTABLE,7.9399,10.155,4.4188,1.797,46.8241540,29.4833040,33.23,46.8481170,29.4372680,19.23,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Кишинёв-Тирасполь; улица Ермакова; Кишинёв-Тирасполь; Славянская улица,179,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,603905992;603905991;603905989;12541885667;603905987;2337469188;2337259552;2337469187,4883d3aea6d4b04a46aa,b91fa46eef1fe3538856,BRIDGE,NO,bae5c40469faa760bbb42b2569a97f8ef19e0969765c5fdeab40ccfbabbb9cc3,ROUTE_STREET_LOOP,MEDIUM,True
n11888388469,1.1.0,Бендеры,Липканы,улица Титова,80,46.84501,29.47388,ROUTABLE,3.7767,5.983,2.4527,1.540,46.8241540,29.4833040,33.23,46.8449780,29.4738120,6.29,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Кишинёв-Тирасполь,102,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,6684064526;6684064527;1017846591;1017846579;3281623282;6807662291;3281625196;3281625195,604fcc483b542d819144,b91fa46eef1fe3538856,BRIDGE,NO,7df8d491a22cb133c0bc5ff35a4fbb6e4c79de653e2a0e608f37d61483be9367,NONE,NONE,False
n12143937485,1.1.0,Бендеры,,улица Победы,6,46.80289,29.46625,ROUTABLE,3.2413,4.100,2.6641,1.217,46.8241540,29.4833040,33.23,46.8028780,29.4664510,15.40,улица Сергея Лазо; Коммунистическая улица; улица Победы,74,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,6367715198;1722299831;2315788477;2315788486;2315847682;6282757312;1730501609;6864306396,0ddcba328ff4eee9cae2,4e5d22c48c651666f8c3,NONE_OBSERVED,NO,44c4e303136caee7be1ecb58e704dabbe404ec063b78bcac9027a4da7a14c980,NONE,NONE,False
n2321749385,1.1.0,Гиска,,улица Ленина,13,46.79278,29.45251,ROUTABLE,4.5742,5.143,4.1701,1.097,46.8241540,29.4833040,33.23,46.7928790,29.4523050,19.14,улица Сергея Лазо; Коммунистическая улица; улица Ленина,107,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,2613868754;6367705187;596499369;2613868757;596499370;2616622555;596499371;596499373,abfb43acf53ae2680f1a,1bc7a32e3945063e9e56,NONE_OBSERVED,NO,462661e89ea8fc14f9d80721d9a4c2fc168f9b9889fa109e17468405e8b91539,NONE,NONE,False
n2321749386,1.1.0,Гиска,,улица Суворова,62,46.79275,29.4535,ROUTABLE,4.7512,5.457,4.1312,1.150,46.8241540,29.4833040,33.23,46.7925950,29.4535220,17.31,улица Сергея Лазо; Коммунистическая улица; улица Ленина; улица Суворова,110,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,2613868757;596499370;2616622555;596499371;596499373;2321403925;2613881306;2321403930,6dfd0da3b4a2d2d2de5e,043fe2da0e8612eeb994,NONE_OBSERVED,NO,05e0b70b2f6e1e32f3ec1573eba4b3c9c28a626f610039fed7c80b18eccda31f,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER,HIGH,True
n2321749387,1.1.0,Гиска,,улица Ленина,17,46.79169,29.45193,ROUTABLE,4.7197,5.497,4.2954,1.099,46.8241540,29.4833040,33.23,46.7918630,29.4521120,23.73,улица Сергея Лазо; Коммунистическая улица; улица Ленина; улица Суворова,111,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;2321467772,6dfd0da3b4a2d2d2de5e,043fe2da0e8612eeb994,NONE_OBSERVED,NO,31ad7b5fd60b14d357d899f6b107d2f5177e7fb9c593e208cca6dd4220366a65,LOCAL_CORRIDOR_DISCONTINUITY;SNAPPED_STREET_NAME_MISMATCH;UNIQUE_TERMINAL_BRANCH,HIGH,True
n2321749388,1.1.0,Гиска,,улица Ленина,26,46.79247,29.45177,ROUTABLE,4.6341,5.208,4.2302,1.095,46.8241540,29.4833040,33.23,46.7924260,29.4518820,9.85,улица Сергея Лазо; Коммунистическая улица; улица Ленина,109,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,596499369;2613868757;596499370;2616622555;596499371;596499373;2321403925;2613880259,abfb43acf53ae2680f1a,1bc7a32e3945063e9e56,NONE_OBSERVED,NO,cdfbb709c724476cde51147ccee0f3e9299243115c728f8277704641702a449a,NONE,NONE,False
n2321749389,1.1.0,Гиска,,улица Ленина,28,46.79173,29.45107,ROUTABLE,4.7315,5.313,4.3282,1.093,46.8241540,29.4833040,33.23,46.7916490,29.4512950,19.40,улица Сергея Лазо; Коммунистическая улица; улица Ленина,111,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;346864383,abfb43acf53ae2680f1a,1bc7a32e3945063e9e56,NONE_OBSERVED,NO,461309c077905b531be5556c781e6909cd3daaa92af76cc0348573c90aebadee,NONE,NONE,False
n2321749390,1.1.0,Гиска,,улица Интернационалистов,2,46.79213,29.45135,ROUTABLE,4.6959,5.380,4.2795,1.097,46.8241540,29.4833040,33.23,46.7920580,29.4513730,8.19,улица Сергея Лазо; Коммунистическая улица; улица Ленина; улица Интернациональная,111,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;2325592317,9e305547247f1fa93549,0e3c34c5a91dacba02cf,NONE_OBSERVED,NO,a8f74bc96996c3bc9756115125185002298f492663ab734a18b8f1e868dcbd6e,SNAPPED_STREET_NAME_MISMATCH,MEDIUM,True
n2321749391,1.1.0,Гиска,,улица Суворова,75,46.79225,29.45278,ROUTABLE,4.6961,5.448,4.2078,1.116,46.8241540,29.4833040,33.23,46.7921140,29.4525690,22.10,улица Сергея Лазо; Коммунистическая улица; улица Ленина; улица Суворова,110,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783,2613868757;596499370;2616622555;596499371;596499373;2321403925;2613881306;2613881307,6dfd0da3b4a2d2d2de5e,043fe2da0e8612eeb994,NONE_OBSERVED,NO,42fa58fa6de56886ce830e69a6f126b8cd3b2c33c05bbabe44e849e6da43f25b,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER,HIGH,True
