canonical_address_id,route_id,address,territory,route_source,canonical_route_km,polyline_length_km,boundary_id,boundary_admin_level,boundary_suitability,destination_classification,outside_city_km,n_crossings,touching_boundary,exits,reentries,geometric_base_city_fee,geometric_external_surcharge,geometric_final_fee,territory_label_external,territory_rule_surcharge,territory_rule_final_fee,label_geometry_conflict,note,geometric_final_fee_min_across_candidates,geometric_final_fee_max_across_candidates,fee_diff_vs_cheapest_candidate,price_changes_across_candidates
n2323343711,route_n2323343711,"Парканы, улица Ленина, 1",Парканы,docs/data/stage-09a-control-routes.geojson,3.167,3.1648,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.4565,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2323343711,route_n2323343711,"Парканы, улица Ленина, 1",Парканы,docs/data/stage-09a-control-routes.geojson,3.167,3.1648,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.4565,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2323343711,route_n2323343711,"Парканы, улица Ленина, 1",Парканы,docs/data/stage-09a-control-routes.geojson,3.167,3.1648,944727,5,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.4565,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586634,route_n2457586634,"Парканы, улица Ленина, 3",Парканы,docs/data/stage-09a-control-routes.geojson,3.181,3.1793,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.471,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586634,route_n2457586634,"Парканы, улица Ленина, 3",Парканы,docs/data/stage-09a-control-routes.geojson,3.181,3.1793,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.471,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586634,route_n2457586634,"Парканы, улица Ленина, 3",Парканы,docs/data/stage-09a-control-routes.geojson,3.181,3.1793,944727,5,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.471,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586635,route_n2457586635,"Парканы, улица Ленина, 5",Парканы,docs/data/stage-09a-control-routes.geojson,3.199,3.1983,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.4899,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586635,route_n2457586635,"Парканы, улица Ленина, 5",Парканы,docs/data/stage-09a-control-routes.geojson,3.199,3.1983,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.4899,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586635,route_n2457586635,"Парканы, улица Ленина, 5",Парканы,docs/data/stage-09a-control-routes.geojson,3.199,3.1983,944727,5,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.4899,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586636,route_n2457586636,"Парканы, улица Ленина, 7",Парканы,docs/data/stage-09a-control-routes.geojson,3.214,3.2128,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.5045,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586636,route_n2457586636,"Парканы, улица Ленина, 7",Парканы,docs/data/stage-09a-control-routes.geojson,3.214,3.2128,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.5045,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586636,route_n2457586636,"Парканы, улица Ленина, 7",Парканы,docs/data/stage-09a-control-routes.geojson,3.214,3.2128,944727,5,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.5045,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586637,route_n2457586637,"Парканы, улица Ленина, 9",Парканы,docs/data/stage-09a-control-routes.geojson,3.23,3.2287,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.5203,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586637,route_n2457586637,"Парканы, улица Ленина, 9",Парканы,docs/data/stage-09a-control-routes.geojson,3.23,3.2287,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.5203,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
n2457586637,route_n2457586637,"Парканы, улица Ленина, 9",Парканы,docs/data/stage-09a-control-routes.geojson,3.23,3.2287,944727,5,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,outside_city,1.5203,1,False,1,0,15,5,20,True,5,20,False,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",20,20,0,False
w353817270,route_w353817270,"Гиска, улица Суворова, 79",Гиска,docs/data/stage-09a-control-routes.geojson,3.66,3.6637,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
w353817270,route_w353817270,"Гиска, улица Суворова, 79",Гиска,docs/data/stage-09a-control-routes.geojson,3.66,3.6637,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
w353817270,route_w353817270,"Гиска, улица Суворова, 79",Гиска,docs/data/stage-09a-control-routes.geojson,3.66,3.6637,944727,5,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
w353619672,route_w353619672,"Гиска, улица Суворова, 6",Гиска,docs/data/stage-09a-control-routes.geojson,3.66,3.6639,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
w353619672,route_w353619672,"Гиска, улица Суворова, 6",Гиска,docs/data/stage-09a-control-routes.geojson,3.66,3.6639,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
w353619672,route_w353619672,"Гиска, улица Суворова, 6",Гиска,docs/data/stage-09a-control-routes.geojson,3.66,3.6639,944727,5,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
w353817271,route_w353817271,"Гиска, улица Суворова, 81",Гиска,docs/data/stage-09a-control-routes.geojson,3.686,3.6901,12463379,8,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
w353817271,route_w353817271,"Гиска, улица Суворова, 81",Гиска,docs/data/stage-09a-control-routes.geojson,3.686,3.6901,9581354,4,ADMIN_BOUNDARY_CANDIDATE_UNVERIFIED,inside_city,0.0,0,False,0,0,17,0,17,True,5,22,True,"SCENARIO ONLY — boundary unverified, not an approved price. geometric_* = classify by polygon containment; territory_rule_* = external-label min-5 rule (v1)",17,17,0,False
