address_id,territory,street,house_number,lat,lon,source_object_type,normalized_object_type,deliverable_address_status,exclusion_reason,manual_review_required
n11222053152,Протягайловка,Славянская улица,10,46.84806,29.43703,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n11888388469,Бендеры,улица Титова,80,46.84501,29.47388,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n12143937485,Бендеры,улица Победы,6,46.80289,29.46625,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2321749385,Гиска,улица Ленина,13,46.79278,29.45251,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749386,Гиска,улица Суворова,62,46.79275,29.4535,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749387,Гиска,улица Ленина,17,46.79169,29.45193,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749388,Гиска,улица Ленина,26,46.79247,29.45177,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749389,Гиска,улица Ленина,28,46.79173,29.45107,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749390,Гиска,улица Интернационалистов,2,46.79213,29.45135,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749391,Гиска,улица Суворова,75,46.79225,29.45278,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749392,Гиска,улица Суворова,46,46.79295,29.45712,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749393,Гиска,улица Суворова,23,46.79257,29.4577,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749394,Гиска,улица Суворова,34,46.79309,29.45901,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749401,Гиска,улица Интернационалистов,8,46.79203,29.45019,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749410,Гиска,улица Ленина,21,46.79099,29.45131,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749411,Гиска,улица Ленина,47,46.78877,29.44952,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749412,Гиска,улица Ленина,49,46.788,29.44903,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749413,Гиска,улица Гоголя,1,46.78855,29.44965,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749414,Гиска,улица Гоголя,9,46.78873,29.45073,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749415,Гиска,улица Гоголя,2,46.78814,29.44956,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749416,Гиска,улица Гоголя,16,46.78841,29.45076,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749417,Гиска,улица Гоголя,11,46.78847,29.45147,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749418,Гиска,улица Гоголя,59,46.79076,29.45722,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749419,Гиска,Молодёжная улица,1,46.78731,29.44941,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749420,Гиска,Молодёжная улица,19,46.78775,29.45124,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749421,Гиска,Молодёжная улица,2,46.78697,29.44944,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749422,Гиска,Молодёжная улица,21,46.78798,29.45183,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749424,Гиска,Молодёжная улица,48,46.78974,29.45634,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749428,Гиска,переулок Мира,8,46.78878,29.45778,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749430,Гиска,улица Ленина,58,46.7882,29.44847,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749431,Гиска,улица Ленина,59,46.78737,29.4486,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749432,Гиска,Молодёжная улица,61,46.78673,29.44846,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749433,Гиска,улица Ленина,71,46.78582,29.44779,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749435,Гиска,улица Ленина,75,46.78487,29.44695,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749436,Гиска,улица Ленина,77,46.78436,29.44666,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749437,Гиска,улица Ленина,90а,46.78491,29.44641,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749438,Гиска,улица Ленина,92,46.78431,29.44607,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749439,Гиска,улица Мира,82,46.78503,29.44757,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749440,Гиска,улица Мира,80,46.78523,29.4481,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749441,Гиска,улица Мира,93,46.78498,29.44848,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749442,Гиска,улица Мира,95,46.78472,29.44777,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749444,Гиска,улица Ленина,101,46.78455,29.44714,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749445,Гиска,Госпитальная улица,55,46.7869,29.45445,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
