address_id,territory,district,street,house_number,lat,lon,fixed_origin_lat,fixed_origin_lon,fixed_origin_km,metric_source,legacy_expected_km,delta_fixed_minus_legacy_km,provenance
n11222053152,Протягайловка,,Славянская улица,10,46.84806,29.43703,46.82388,29.48313,7.939,central_km,7.532,0.407,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n11888388469,Бендеры,Липканы,улица Титова,80,46.84501,29.47388,46.82388,29.48313,3.777,central_km,3.382,0.395,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n12143937485,Бендеры,,улица Победы,6,46.80289,29.46625,46.82388,29.48313,3.241,central_km,3.562,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749385,Гиска,,улица Ленина,13,46.79278,29.45251,46.82388,29.48313,4.574,central_km,4.895,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749386,Гиска,,улица Суворова,62,46.79275,29.4535,46.82388,29.48313,4.751,central_km,5.072,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749387,Гиска,,улица Ленина,17,46.79169,29.45193,46.82388,29.48313,4.72,central_km,5.04,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749388,Гиска,,улица Ленина,26,46.79247,29.45177,46.82388,29.48313,4.634,central_km,4.955,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749389,Гиска,,улица Ленина,28,46.79173,29.45107,46.82388,29.48313,4.732,central_km,5.052,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749390,Гиска,,улица Интернационалистов,2,46.79213,29.45135,46.82388,29.48313,4.696,central_km,5.017,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749391,Гиска,,улица Суворова,75,46.79225,29.45278,46.82388,29.48313,4.696,central_km,4.998,-0.302,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749392,Гиска,,улица Суворова,46,46.79295,29.45712,46.82388,29.48313,5.029,central_km,5.304,-0.275,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749393,Гиска,,улица Суворова,23,46.79257,29.4577,46.82388,29.48313,5.068,central_km,5.389,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749394,Гиска,,улица Суворова,34,46.79309,29.45901,46.82388,29.48313,5.174,central_km,5.494,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749401,Гиска,,улица Интернационалистов,8,46.79203,29.45019,46.82388,29.48313,4.816,central_km,5.137,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749410,Гиска,,улица Ленина,21,46.79099,29.45131,46.82388,29.48313,4.794,central_km,5.115,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
