canonical_address_id,address,territory,latitude,longitude,route_km,route_geometry_source,polyline_length_km,route_length_difference_km,route_length_difference_m,route_length_difference_percent,route_validation_status,boundary_source,boundary_verification_status,outside_city_km,base_city_fee,external_surcharge,final_fee,calculation_status,status_reason,geographic_zone_analytics_only
n2323343711,улица Ленина 1,Парканы,46.83471,29.50995,3.167,docs/data/stage-09a-control-routes.geojson,3.1648,0.0022,2.2,0.069,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,15,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
n2457586634,улица Ленина 3,Парканы,46.83459,29.50999,3.181,docs/data/stage-09a-control-routes.geojson,3.1793,0.0017,1.7,0.052,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,15,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
n2457586635,улица Ленина 5,Парканы,46.83442,29.51002,3.199,docs/data/stage-09a-control-routes.geojson,3.1983,0.0007,0.7,0.023,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,15,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
n2457586636,улица Ленина 7,Парканы,46.83429,29.51004,3.214,docs/data/stage-09a-control-routes.geojson,3.2128,0.0012,1.2,0.037,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,15,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
n2457586637,улица Ленина 9,Парканы,46.83415,29.51008,3.23,docs/data/stage-09a-control-routes.geojson,3.2287,0.0013,1.3,0.041,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,15,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
w353619672,улица Суворова 6,Гиска,46.79347,29.47629,3.66,docs/data/stage-09a-control-routes.geojson,3.6639,0.0039,3.9,0.106,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,17,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
w353817270,улица Суворова 79,Гиска,46.79347,29.47698,3.66,docs/data/stage-09a-control-routes.geojson,3.6637,0.0037,3.7,0.1,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,17,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
w353817271,улица Суворова 81,Гиска,46.79323,29.47704,3.686,docs/data/stage-09a-control-routes.geojson,3.6901,0.0041,4.1,0.11,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,17,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
w353817272,улица Суворова 83а,Гиска,46.79304,29.47697,3.708,docs/data/stage-09a-control-routes.geojson,3.7112,0.0032,3.2,0.087,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,17,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",2
n2321749482,Госпитальная улица 8,Гиска,46.78606,29.45664,6.385,docs/data/stage-09b-map-routes.geojson,6.3859,0.0009,0.9,0.015,LENGTH_OK,bender_relation_12463379 (PROVISIONAL_PROXY),PROVISIONAL_UNVERIFIED,,28,,,CITY_BOUNDARY_UNAVAILABLE,"route geometry OK, but no VERIFIED_FOR_TARIFF city boundary (12463379 is a provisional proxy); see scenario CSV",4
