canonical_address_id,address,territory,latitude,longitude,route_km,route_geometry_source,polyline_length_km,route_length_difference,boundary_source,outside_city_km,base_city_fee,external_surcharge,final_fee,calculation_status,status_reason,geographic_zone_analytics_only
n11222053152,Славянская улица 10,Протягайловка,46.84806,29.43703,7.939,,,,source-boundaries.geojson#bender (relation 12463379),,34,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749385,улица Ленина 13,Гиска,46.79278,29.45251,4.574,,,,source-boundaries.geojson#bender (relation 12463379),,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749386,улица Суворова 62,Гиска,46.79275,29.4535,4.751,,,,source-boundaries.geojson#bender (relation 12463379),,22,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749387,улица Ленина 17,Гиска,46.79169,29.45193,4.72,,,,source-boundaries.geojson#bender (relation 12463379),,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749388,улица Ленина 26,Гиска,46.79247,29.45177,4.634,,,,source-boundaries.geojson#bender (relation 12463379),,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749389,улица Ленина 28,Гиска,46.79173,29.45107,4.732,,,,source-boundaries.geojson#bender (relation 12463379),,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749390,улица Интернационалистов 2,Гиска,46.79213,29.45135,4.696,,,,source-boundaries.geojson#bender (relation 12463379),,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749391,улица Суворова 75,Гиска,46.79225,29.45278,4.696,,,,source-boundaries.geojson#bender (relation 12463379),,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749392,улица Суворова 46,Гиска,46.79295,29.45712,5.029,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749393,улица Суворова 23,Гиска,46.79257,29.4577,5.068,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749394,улица Суворова 34,Гиска,46.79309,29.45901,5.174,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749401,улица Интернационалистов 8,Гиска,46.79203,29.45019,4.816,,,,source-boundaries.geojson#bender (relation 12463379),,22,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749410,улица Ленина 21,Гиска,46.79099,29.45131,4.794,,,,source-boundaries.geojson#bender (relation 12463379),,22,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749411,улица Ленина 47,Гиска,46.78877,29.44952,5.082,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749412,улица Ленина 49,Гиска,46.788,29.44903,5.176,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749413,улица Гоголя 1,Гиска,46.78855,29.44965,5.23,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749414,улица Гоголя 9,Гиска,46.78873,29.45073,5.315,,,,source-boundaries.geojson#bender (relation 12463379),,24,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749415,улица Гоголя 2,Гиска,46.78814,29.44956,5.213,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
n2321749416,улица Гоголя 16,Гиска,46.78841,29.45076,5.305,,,,source-boundaries.geojson#bender (relation 12463379),,24,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749417,улица Гоголя 11,Гиска,46.78847,29.45147,5.407,,,,source-boundaries.geojson#bender (relation 12463379),,24,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749418,улица Гоголя 59,Гиска,46.79076,29.45722,5.494,,,,source-boundaries.geojson#bender (relation 12463379),,24,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749419,Молодёжная улица 1,Гиска,46.78731,29.44941,5.406,,,,source-boundaries.geojson#bender (relation 12463379),,24,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749420,Молодёжная улица 19,Гиска,46.78775,29.45124,5.557,,,,source-boundaries.geojson#bender (relation 12463379),,25,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749421,Молодёжная улица 2,Гиска,46.78697,29.44944,5.399,,,,source-boundaries.geojson#bender (relation 12463379),,24,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749422,Молодёжная улица 21,Гиска,46.78798,29.45183,5.609,,,,source-boundaries.geojson#bender (relation 12463379),,25,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749424,Молодёжная улица 48,Гиска,46.78974,29.45634,5.623,,,,source-boundaries.geojson#bender (relation 12463379),,25,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749428,переулок Мира 8,Гиска,46.78878,29.45778,6.466,,,,source-boundaries.geojson#bender (relation 12463379),,28,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,4
n2321749430,улица Ленина 58,Гиска,46.7882,29.44847,5.17,,,,source-boundaries.geojson#bender (relation 12463379),,23,,,ROUTE_GEOMETRY_UNAVAILABLE,no per-address route polyline stored; only canonical route_km exists. Regenerating requires the OSRM engine + protected routing graph.,3
