address_id,territory,route_km,outside_city_km,base_city_fee,external_surcharge,final_fee,calculation_status,geographic_zone_analytics_only,taxi_reference,client_saving,driver_gap,passes_old_balanced
w160140720,Бендеры,0.5,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
w222794975,Бендеры,1.0,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
w295540309,Бендеры,1.5,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
w303323464,Бендеры,1.999,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
w304087554,Бендеры,2.5,0.0,14,0,14,CITY_OK,2,18.0,4.0,-1.0,False
w531651451,Бендеры,2.897,0.0,14,0,14,CITY_OK,2,18.0,4.0,-1.0,False
w352306780,Бендеры,2.99,0.0,14,0,14,CITY_OK,2,18.0,4.0,-1.0,False
w352307871,Бендеры,3.0,0.0,14,0,14,CITY_OK,2,18.0,4.0,-1.0,False
w354300758,Бендеры,3.005,0.0,15,0,15,CITY_OK,2,18.03,3.03,-1.97,False
w531651458,Бендеры,3.048,0.0,15,0,15,CITY_OK,2,18.29,3.29,-1.71,False
w352468414,Бендеры,3.1,0.0,15,0,15,CITY_OK,2,18.6,3.6,-1.4,False
w330883126,Бендеры,3.252,0.0,16,0,16,CITY_OK,2,19.51,3.51,-1.49,False
w352312106,Бендеры,3.499,0.0,16,0,16,CITY_OK,2,20.99,4.99,-0.01,False
w404791979,Бендеры,3.748,0.0,17,0,17,CITY_OK,2,22.49,5.49,0.49,True
w404798022,Бендеры,3.999,0.0,18,0,18,CITY_OK,2,23.99,5.99,0.99,True
w304088417,Бендеры,4.5,0.0,20,0,20,CITY_OK,3,27.0,7.0,2.0,True
w115331461,Бендеры,5.0,0.0,22,0,22,CITY_OK,3,30.0,8.0,3.0,False
w318084687,Бендеры,5.501,0.0,25,0,25,CITY_OK,3,33.01,8.01,3.01,False
w209273575,Бендеры,5.999,0.0,26,0,26,CITY_OK,3,35.99,9.99,4.99,False
w209267113,Бендеры,6.496,0.0,28,0,28,CITY_OK,4,38.98,10.98,5.98,False
n2334334346,Бендеры,7.0,0.0,30,0,30,CITY_OK,3,42.0,12.0,7.0,False
w299956671,Бендеры,7.458,0.0,32,0,32,CITY_OK,4,44.75,12.75,7.75,False
w162030333,Бендеры,0.032,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2323152058,Парканы,4.551,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749385,Гиска,4.574,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n11222053152,Протягайловка,7.939,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
