address_id,territory,route_km,outside_city_km,base_city_fee,external_surcharge,final_fee,calculation_status,geographic_zone_analytics_only,taxi_reference,client_saving,driver_gap,passes_old_balanced
n11222053152,Протягайловка,7.939,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n11888388469,Бендеры,3.777,0.0,18,0,18,CITY_OK,2,22.66,4.66,-0.34,False
n12143937485,Бендеры,3.241,0.0,15,0,15,CITY_OK,2,19.45,4.45,-0.55,False
n2321749385,Гиска,4.574,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749386,Гиска,4.751,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749387,Гиска,4.72,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749388,Гиска,4.634,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749389,Гиска,4.732,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749390,Гиска,4.696,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749391,Гиска,4.696,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749392,Гиска,5.029,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749393,Гиска,5.068,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749394,Гиска,5.174,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749401,Гиска,4.816,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749410,Гиска,4.794,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749411,Гиска,5.082,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749412,Гиска,5.176,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749413,Гиска,5.23,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749414,Гиска,5.315,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749415,Гиска,5.213,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749416,Гиска,5.305,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749417,Гиска,5.407,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749418,Гиска,5.494,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749419,Гиска,5.406,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749420,Гиска,5.557,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749421,Гиска,5.399,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749422,Гиска,5.609,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749424,Гиска,5.623,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749428,Гиска,6.466,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749430,Гиска,5.17,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749431,Гиска,5.254,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2321749432,Гиска,5.323,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749433,Гиска,5.466,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749435,Гиска,5.638,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749436,Гиска,5.62,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749437,Гиска,5.571,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749438,Гиска,5.642,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749439,Гиска,5.559,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749440,Гиска,5.559,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749441,Гиска,5.577,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749442,Гиска,5.576,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749444,Гиска,5.643,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749445,Гиска,6.142,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749446,Гиска,6.175,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749447,Гиска,6.134,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749451,Гиска,5.697,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749452,Гиска,5.687,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749453,Гиска,6.255,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749454,Гиска,6.248,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749456,Гиска,5.618,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749458,Гиска,5.638,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749459,Гиска,5.682,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749460,Гиска,5.725,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749461,Гиска,5.907,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749462,Гиска,5.722,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749463,Гиска,5.86,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749464,Гиска,5.864,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749465,Гиска,5.921,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749466,Гиска,5.909,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749467,Гиска,5.964,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749468,Гиска,5.971,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749469,Гиска,5.804,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749470,Гиска,5.816,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749471,Гиска,5.798,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749472,Гиска,5.805,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749473,Гиска,5.73,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749474,Гиска,6.323,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749475,Гиска,6.302,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749476,Гиска,6.39,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749477,Гиска,6.477,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749478,Гиска,6.484,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749479,Гиска,6.366,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749482,Гиска,6.385,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749483,Гиска,6.322,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749484,Гиска,6.17,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749485,Гиска,6.229,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749486,Гиска,6.177,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749487,Гиска,5.714,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749488,Гиска,5.771,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749489,Гиска,5.77,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749490,Гиска,5.969,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749491,Гиска,5.961,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749492,Гиска,5.809,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749493,Гиска,5.878,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749494,Гиска,5.804,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321749495,Гиска,5.812,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2321833111,Бендеры,5.725,0.0,25,0,25,CITY_OK,3,34.35,9.35,4.35,False
n2321834521,Бендеры,5.562,0.0,25,0,25,CITY_OK,3,33.37,8.37,3.37,False
n2321834524,Бендеры,5.42,0.0,24,0,24,CITY_OK,3,32.52,8.52,3.52,False
n2321834527,Бендеры,5.414,0.0,24,0,24,CITY_OK,3,32.48,8.48,3.48,False
n2321834534,Бендеры,5.375,0.0,24,0,24,CITY_OK,3,32.25,8.25,3.25,False
n2321855312,Бендеры,5.202,0.0,23,0,23,CITY_OK,3,31.21,8.21,3.21,False
n2321855313,Бендеры,5.16,0.0,23,0,23,CITY_OK,3,30.96,7.96,2.96,False
n2321855335,Бендеры,5.328,0.0,24,0,24,CITY_OK,3,31.97,7.97,2.97,False
n2321855336,Бендеры,5.264,0.0,24,0,24,CITY_OK,3,31.58,7.58,2.58,True
n2321951516,Бендеры,5.228,0.0,23,0,23,CITY_OK,3,31.37,8.37,3.37,False
n2321951519,Бендеры,5.294,0.0,24,0,24,CITY_OK,3,31.76,7.76,2.76,False
n2321951523,Бендеры,5.1,0.0,23,0,23,CITY_OK,3,30.6,7.6,2.6,False
n2321993999,Бендеры,5.136,0.0,23,0,23,CITY_OK,3,30.82,7.82,2.82,False
n2321994003,Бендеры,5.071,0.0,23,0,23,CITY_OK,3,30.43,7.43,2.43,True
n2321994021,Бендеры,5.038,0.0,23,0,23,CITY_OK,3,30.23,7.23,2.23,True
n2321994025,Бендеры,5.266,0.0,24,0,24,CITY_OK,3,31.6,7.6,2.6,True
n2322107937,Бендеры,4.379,0.0,20,0,20,CITY_OK,3,26.27,6.27,1.27,True
n2322107940,Бендеры,6.515,0.0,29,0,29,CITY_OK,4,39.09,10.09,5.09,False
n2322107942,Бендеры,6.325,0.0,28,0,28,CITY_OK,4,37.95,9.95,4.95,False
n2322107948,Бендеры,6.543,0.0,29,0,29,CITY_OK,4,39.26,10.26,5.26,False
n2322107950,Бендеры,6.431,0.0,28,0,28,CITY_OK,4,38.59,10.59,5.59,False
n2322107952,Бендеры,6.373,0.0,28,0,28,CITY_OK,4,38.24,10.24,5.24,False
n2322107953,Бендеры,6.288,0.0,28,0,28,CITY_OK,4,37.73,9.73,4.73,False
n2322107954,Бендеры,6.368,0.0,28,0,28,CITY_OK,4,38.21,10.21,5.21,False
n2322107955,Бендеры,6.181,0.0,27,0,27,CITY_OK,4,37.09,10.09,5.09,False
n2322107956,Бендеры,6.191,0.0,27,0,27,CITY_OK,4,37.15,10.15,5.15,False
n2322107957,Бендеры,6.646,0.0,29,0,29,CITY_OK,4,39.88,10.88,5.88,False
n2322112853,Бендеры,6.527,0.0,29,0,29,CITY_OK,4,39.16,10.16,5.16,False
n2322112854,Бендеры,6.434,0.0,28,0,28,CITY_OK,4,38.6,10.6,5.6,False
n2322118077,Бендеры,6.171,0.0,27,0,27,CITY_OK,4,37.03,10.03,5.03,False
n2322118089,Бендеры,4.968,0.0,22,0,22,CITY_OK,3,29.81,7.81,2.81,False
n2322916164,Бендеры,1.497,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2322916165,Бендеры,1.532,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2322975402,Бендеры,1.686,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2322975403,Бендеры,1.688,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2323031531,Бендеры,1.492,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2323051089,Бендеры,0.903,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2323051105,Бендеры,0.71,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2323119091,Бендеры,0.832,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2323152058,Парканы,4.551,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2323152060,Парканы,5.464,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2323152061,Парканы,5.428,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2323152062,Парканы,5.748,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2323152063,Парканы,5.785,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2323152064,Парканы,5.654,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2323152065,Парканы,5.691,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2323152066,Парканы,5.684,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2323152068,Парканы,5.266,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2323152069,Парканы,5.396,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2323152070,Парканы,5.191,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2323152072,Парканы,5.443,,24,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2323152073,Парканы,5.508,,25,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
