address_id,street,house_number,router_distance_km,nearest_threshold_km,distance_to_threshold_m,provisional_zone,neighbor_zone_discontinuity,snap_risk,manual_review_required,reason
n2321749418,улица Гоголя,59,5.4940,5.577,83.0,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2321749419,Молодёжная улица,1,5.4060,5.577,171.0,Zone 3,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
n2321749420,Молодёжная улица,19,5.5564,5.577,20.6,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749421,Молодёжная улица,2,5.3988,5.577,178.2,Zone 3,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
n2321749422,Молодёжная улица,21,5.6095,5.577,32.5,Zone 4,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749424,Молодёжная улица,48,5.6228,5.577,45.8,Zone 4,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749432,Молодёжная улица,61,5.3224,5.577,254.6,Zone 3,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
n2321749433,улица Ленина,71,5.4656,5.577,111.4,Zone 3,True,False,True,WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749435,улица Ленина,75,5.6383,5.577,61.3,Zone 4,True,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749436,улица Ленина,77,5.6195,5.577,42.5,Zone 4,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749437,улица Ленина,90а,5.5705,5.577,6.5,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749438,улица Ленина,92,5.6416,5.577,64.6,Zone 4,True,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749439,улица Мира,82,5.5594,5.577,17.6,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749440,улица Мира,80,5.5590,5.577,18.0,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749441,улица Мира,93,5.5763,5.577,0.7,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749442,улица Мира,95,5.5758,5.577,1.2,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749444,улица Ленина,101,5.6427,5.577,65.7,Zone 4,True,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321749446,улица Мира,30а,6.1753,5.577,598.3,Zone 4,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
n2321749451,улица 60 лет Октября,2,5.6964,5.577,119.4,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321749452,улица 60 лет Октября,1,5.6868,5.577,109.8,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321749456,улица 60 лет Октября,3,5.6183,5.577,41.3,Zone 4,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2321749458,улица 60 лет Октября,4,5.6382,5.577,61.2,Zone 4,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2321749459,улица Бориса Главана,5,5.6816,5.577,104.6,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321749460,улица Бориса Главана,6,5.7248,5.577,147.8,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321749462,улица Бориса Главана,7,5.7221,5.577,145.1,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321749473,Госпитальная улица,54,5.7299,5.577,152.9,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321749487,улица Ленина,15,5.7142,5.577,137.2,Zone 4,True,False,True,WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2321833111,улица Толстого,21,5.7248,5.577,147.8,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321834521,улица Лермонтова,18,5.5622,5.577,14.8,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2321834524,улица Лермонтова,39,5.4197,5.577,157.3,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2321834527,улица Лермонтова,38,5.4143,5.577,162.7,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152060,улица Горького,126,5.4634,5.577,113.6,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152061,улица Горького,128,5.5354,5.577,41.6,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152062,улица Будённого,190,5.7488,5.577,171.8,Zone 4,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
n2323152064,улица Маяковского,198,5.6542,5.577,77.2,Zone 4,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152065,улица Маяковского,185,5.6907,5.577,113.7,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152066,улица Маяковского,48,5.6839,5.577,106.9,Zone 4,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152072,улица Маяковского,3,5.4432,5.577,133.8,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152073,улица Маяковского,168,5.5084,5.577,68.6,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152075,улица Будённого,24,5.5496,5.577,27.4,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152099,улица Ворошилова,2,3.9576,4.076,118.4,Zone 2,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152115,улица Фрунзе,122,5.4632,5.577,113.8,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152117,улица Ворошилова,25,4.1810,4.076,105.0,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152119,улица Ворошилова,30,4.1785,4.076,102.5,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323152130,улица Будённого,155,5.6209,5.577,43.9,Zone 4,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2323152131,улица Ворошилова,157,5.6259,5.577,48.9,Zone 4,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152132,улица Маяковского,165,5.5399,5.577,37.1,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152138,улица Котовского,31,4.1206,4.076,44.6,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152139,улица Котовского,26,4.1183,4.076,42.3,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2323152140,улица Котовского,28,4.1221,4.076,46.1,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323152152,Комсомольская улица,39,3.9900,4.076,86.0,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323343702,улица Гагарина,40,5.4512,5.577,125.8,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323343704,улица Гагарина,43,5.4310,5.577,146.0,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323352013,улица Сергея Лазо,2,3.9858,4.076,90.2,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323352014,улица Гоголя,15,4.0362,4.076,39.8,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2323352015,улица Энгельса,1,4.1467,4.076,70.7,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323352016,улица Энгельса,2,4.1500,4.076,74.0,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323352017,улица Гоголя,17,4.1806,4.076,104.6,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323407151,улица Благоева,49,4.1914,4.076,115.4,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
n2323407154,улица Димитрова,44,4.0073,4.076,68.7,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323407157,улица Чехова,2,4.0325,4.076,43.5,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323407160,улица Чехова,8,4.1353,4.076,59.3,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323407237,улица Карла Маркса,119,5.6156,5.577,38.6,Zone 4,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2323407240,улица Карла Маркса,166,5.6131,5.577,36.1,Zone 4,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323407244,улица Карла Маркса,125,5.6375,5.577,60.5,Zone 4,True,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2323407247,улица Карла Маркса,172,5.6314,5.577,54.4,Zone 4,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323407288,Садовая улица,54,4.0750,4.076,1.0,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2323407289,улица Чехова,15,4.1224,4.076,46.4,Zone 3,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
n2323407290,улица Петра Николаева,1,4.1703,4.076,94.3,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323407291,улица Петра Николаева,2,4.1665,4.076,90.5,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
n2323588981,улица Русакова,23,5.4891,5.577,87.9,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
