candidate_id,exception_row_id,osm_type,osm_id,source_dataset,source_sha256,source_recovery_status,lat,lon,settlement,street,house_number,name,building,building_part,amenity,healthcare,shop,office,industrial,craft,tourism,leisure,government,public_transport,railway,entrance,access,lifecycle_status,parent_object_id,facility_category,has_separate_address,independent_delivery_entrance,candidate_delivery_status,exclusion_reason_original,recovery_evidence,manual_yandex_review_required,owner_review_required,notes
REC-001,n457637288,n,457637288,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8360422,29.5283052,,Тираспольское шоссе,33,Нистру,roof,,fuel,,,,,,,,,,,,,,w222819595,RETAIL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n457637288 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w222819595 recovered from the same PBF,True,True,legacy unit_type=address_in_outbuilding
REC-002,n1496224401,n,1496224401,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8356503,29.5215913,Парканы,улица Карла Маркса,1a,Виктория,retail,,,,supermarket,,,,,,,,,,,,w319405639,RETAIL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n1496224401 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w319405639 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-003,n3246657472,n,3246657472,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8371396,29.5100978,Парканы,улица Гоголя,1,Квинт-Маркет №11,civic,,,,alcohol,,,,,,,,,,,,w284652949,RETAIL,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n3246657472 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w284652949 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-004,n3258150351,n,3258150351,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8371774,29.5096424,Парканы,улица Гоголя,1,Агропромбанк,civic,,bank,,,,,,,,,,,,,,w284652949,PUBLIC_SERVICE,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n3258150351 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w284652949 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-005,n3258150352,n,3258150352,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8372057,29.5099585,Парканы,улица Гоголя,1,Госадминистрация с. Парканы,civic,,townhall,,,,,,,,,,,,,,w284652949,GOVERNMENT,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n3258150352 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w284652949 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-006,n3258173221,n,3258173221,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8370951,29.5097170,Парканы,улица Гоголя,1,Приднестровский Сбербанк,civic,,bank,,,,,,,,,,,,,,w284652949,PUBLIC_SERVICE,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n3258173221 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w284652949 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-007,n5528573498,n,5528573498,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8371239,29.5095042,,улица Гоголя,1,Вивафарм,civic,,pharmacy,pharmacy,,,,,,,,,,,,,w284652949,MEDICAL,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n5528573498 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w284652949 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-008,n5531917132,n,5531917132,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8356601,29.5217426,Парканы,улица Карла Маркса,1а,Фармпункт №15,retail,,pharmacy,pharmacy,,,,,,,,,,,,,w319405639,MEDICAL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n5531917132 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w319405639 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-009,n5541004129,n,5541004129,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8356689,29.5222701,Парканы,Тираспольское шоссе,25,Национальный Методологический Ресурсный Центр по Правам Человека,retail,,,,,ngo,,,,,,,,,,,w284650851,OFFICE,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n5541004129 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w284650851 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-010,n6383773810,n,6383773810,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8357233,29.5220926,Парканы,Тираспольское шоссе,25,Болгарское возрождение,retail,,community_centre,,,,,,,,,,,,,,w284650851,PUBLIC_SERVICE,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n6383773810 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w284650851 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential; same recovered address as REC-009
