uid,address,territory,is_city,route_km,base_price,external_status,external_km,external_surcharge,reference_price,old_k4_zone_id,proposed_zone
n11222053152,"Протягайловка, Славянская улица, 10",Протягайловка,False,7.939,33.756,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n11888388469,"Бендеры, улица Титова, 80",Бендеры,True,3.777,17.108,n/a (city),0.0,0.0,17.108,2,1
n12143937485,"Бендеры, улица Победы, 6",Бендеры,True,3.241,14.964,n/a (city),0.0,0.0,14.964,2,1
n2321749385,"Гиска, улица Ленина, 13",Гиска,False,4.574,20.296,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749386,"Гиска, улица Суворова, 62",Гиска,False,4.751,21.004,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749387,"Гиска, улица Ленина, 17",Гиска,False,4.72,20.88,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749388,"Гиска, улица Ленина, 26",Гиска,False,4.634,20.536,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749389,"Гиска, улица Ленина, 28",Гиска,False,4.732,20.928,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749390,"Гиска, улица Интернационалистов, 2",Гиска,False,4.696,20.784,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749391,"Гиска, улица Суворова, 75",Гиска,False,4.696,20.784,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749392,"Гиска, улица Суворова, 46",Гиска,False,5.029,22.116,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749393,"Гиска, улица Суворова, 23",Гиска,False,5.068,22.272,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749394,"Гиска, улица Суворова, 34",Гиска,False,5.174,22.696,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749401,"Гиска, улица Интернационалистов, 8",Гиска,False,4.816,21.264,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749410,"Гиска, улица Ленина, 21",Гиска,False,4.794,21.176,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749411,"Гиска, улица Ленина, 47",Гиска,False,5.082,22.328,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749412,"Гиска, улица Ленина, 49",Гиска,False,5.176,22.704,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749413,"Гиска, улица Гоголя, 1",Гиска,False,5.23,22.92,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749414,"Гиска, улица Гоголя, 9",Гиска,False,5.315,23.26,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749415,"Гиска, улица Гоголя, 2",Гиска,False,5.213,22.852,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749416,"Гиска, улица Гоголя, 16",Гиска,False,5.305,23.22,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749417,"Гиска, улица Гоголя, 11",Гиска,False,5.407,23.628,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749418,"Гиска, улица Гоголя, 59",Гиска,False,5.494,23.976,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749419,"Гиска, Молодёжная улица, 1",Гиска,False,5.406,23.624,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749420,"Гиска, Молодёжная улица, 19",Гиска,False,5.557,24.228,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749421,"Гиска, Молодёжная улица, 2",Гиска,False,5.399,23.596,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749422,"Гиска, Молодёжная улица, 21",Гиска,False,5.609,24.436,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749424,"Гиска, Молодёжная улица, 48",Гиска,False,5.623,24.492,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749428,"Гиска, переулок Мира, 8",Гиска,False,6.466,27.864,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749430,"Гиска, улица Ленина, 58",Гиска,False,5.17,22.68,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749431,"Гиска, улица Ленина, 59",Гиска,False,5.254,23.016,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2321749432,"Гиска, Молодёжная улица, 61",Гиска,False,5.323,23.292,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749433,"Гиска, улица Ленина, 71",Гиска,False,5.466,23.864,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
