abs_diff_km,address,alt_provider_length_km,attempt_number,canonical_address_id,canonical_route_km,dest_lat,dest_lon,geometry_sha256,had_prior_polyline,http_result,mode,origin_key,origin_lat,origin_lon,pct_diff,profile,provider,raw_response_path,raw_sha256,request_params,request_timestamp_utc,request_url,retry_count,route_id,territory,validation_status
0.0001,Госпитальная улица 8,6.3849,1,n2321749482,6.385,46.78606,29.45664,cd8fcfc9c768daf5bda51f2013f9286577e79c677ae8d800aecf3d7a8b17eeb3,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2321749482.osrm.json,29e49f97fbe93765a363fed9a7355df000870d0f30e6c7d431b5669b1c58bd4d,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:24Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.456640,46.786060?overview=full&geometries=geojson",0,route_n2321749482,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0007,улица Ленина 1,3.1663,1,n2323343711,3.167,46.83471,29.50995,d632127e0a388c541612921873251274cdc5275fd51cda546e30673a838679f6,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.02,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2323343711.osrm.json,5adb7a0471d02cf9be13aaac7e95b30bab240c78c0e94a4f1cab81a05303cdb8,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:24Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.509950,46.834710?overview=full&geometries=geojson",0,route_n2323343711,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0002,улица Ленина 3,3.1808,1,n2457586634,3.181,46.83459,29.50999,507117673cd201573c75a1e9ca8f9a1d8723f1cb5aaad0735877d23de570bdba,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586634.osrm.json,91e07f1b4a79bf5e542d1b2bbeff05db3dd9de324ac6a78f9cfee84d7ead2ce4,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:25Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.509990,46.834590?overview=full&geometries=geojson",0,route_n2457586634,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0007,улица Ленина 5,3.1997,1,n2457586635,3.199,46.83442,29.51002,58ded6a0f40c16b688cd834453c615eeb0cdf507ca531e91ca5442071614a972,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.02,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586635.osrm.json,88c8a664704904d7b4b35b6887d76d15040260ef1839e914f9d00a6336afa55e,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:25Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.510020,46.834420?overview=full&geometries=geojson",0,route_n2457586635,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0003,улица Ленина 7,3.2143,1,n2457586636,3.214,46.83429,29.51004,d2336f8e233aaa508bf2da1d505308527f892982cd668c2c63401f3186670995,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586636.osrm.json,63458b0ce1e70841fe6d4240a7bccdf08b1d1e9c41e0b67b938a7445dab31b26,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:25Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.510040,46.834290?overview=full&geometries=geojson",0,route_n2457586636,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0001,улица Ленина 9,3.2301,1,n2457586637,3.23,46.83415,29.51008,54a65003ab33c108d6adfea0b1beba28c04f3aa497c3541388773736c6095b1a,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586637.osrm.json,7c68adf3186eafe43b6d9600ed71c4119e4aae583c86c7f5d23a4e420dbf0e2c,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:26Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.510080,46.834150?overview=full&geometries=geojson",0,route_n2457586637,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0004,Заводская улица 1,7.0754,1,n4418837238,7.075,46.86171,29.51571,6d281ba852444092d0f03a0ee9bfe53f574a6967997d703f5c59044a3ca54140,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n4418837238.osrm.json,eb2b0b4edfa83aab6f47ad3177c055d0c3fe4c93176cc9448b08d7cfbf6bee4b,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:26Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.515710,46.861710?overview=full&geometries=geojson",0,route_n4418837238,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0009,Банный переулок 1,6.9109,1,w353259234,6.91,46.82612,29.43508,43a33db56d0a5524eb95c2f672a590336cea3a82fdc14eada329da1542a0c4f6,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w353259234.osrm.json,5bd52df1dabc7c115cb25364dc7afc1f101a93cfc05b3fed418f16e1fc8b7dae,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:26Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.435080,46.826120?overview=full&geometries=geojson",0,route_w353259234,Протягайловка,ALT_PROVIDER_COMPARISON_ONLY
0.0001,улица Суворова 6,3.6601,1,w353619672,3.66,46.79347,29.47629,15eb5d8883eee6d14ffd4b98c6704be81fb08092717b5d6bcaa8107945cc7545,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w353619672.osrm.json,c3d5513d682ee84bd4497b740b302121ec2ae4e9d848f6e38f18b01fc914c8f0,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:27Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.476290,46.793470?overview=full&geometries=geojson",0,route_w353619672,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0002,улица Суворова 79,3.6598,1,w353817270,3.66,46.79347,29.47698,b334269be1ce0e88daa76457d662b9aeb9ff41d5b9f56fba2b6d9b5781ec72b9,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w353817270.osrm.json,3b319442d49e610e88a11a16ead4ce173fb3943e552926b8a82807258e5a2a6b,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:27Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.476980,46.793470?overview=full&geometries=geojson",0,route_w353817270,Гиска,ALT_PROVIDER_COMPARISON_ONLY
