control_id,district,destination_lat,destination_lon,yandex_fastest_km,current_router_km,signed_delta_km,absolute_divergence_pct,router_status,snapped_origin,snapped_destination,origin_snap_distance_m,snap_distance_m,router_main_streets,bridge_or_rail,uturn,route_node_ids,probable_root_cause,owner_review_required
MY-001,Борисовка,46.84126,29.4639,4.6510,4.5645,-0.0865,1.9,WITHIN_5_PERCENT,"46.8241540,29.4833040","46.8413720,29.4640160",33.23,15.28,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Кишинёв-Тирасполь; улица Титова; Кишинёвский тупик; Варницкий тупик,BRIDGE,YES,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545;3098266727;514211060;5167642540;5167642536;4163083409;5167642537;6377775702;2371301092;6431014257;6431014256;6015468030;514211064;6015468029;5327380918;13633606275;514211117;13633606282;1730974929;1730975086;457637342;1017949217;4169801768;9673906525;457637354;514211193;5687920427;7553610454;457637161;2986853007;7553639729;457637163;6840424181;1771733180;1062096442;457637243;7415898585;7415898084;7415898082;7415898081;7415898080;457637246;6649405927;7415898074;457637248;6063471447;6063471446;9271802751;11247602742;1772919033;11247602744;11185832828;11247602743;11247602745;271258256;6063550669;457637155;1121783507;1121784347;1730975250;6063471441;6649736707;514211151;1121783542;1121783403;271258254;4164051705;13128826648;4164051712;457637370;4164051714;4164051716;1062096508;457637373;457637374;4164051721;1062096256;457637376;457637377;457637380;457637381;1464239929;457637383;1062096645;457637385;1062096706;457637387;1121782993;517234915;457637388;517234914;6807662286;1309929190;760366802;2325430730;760366759;3255469819;760367262;760367152;760367052;760367219;6776505299;760366845;760367280;760367167;2325402383;2325402909;2325402908,ADDRESS_ANCHOR_AMBIGUOUS,False
MY-002,Борисовка,46.83524,29.46735,4.8280,6.5654,1.7374,36.0,DIVERGENCE_GT20,"46.8241540,29.4833040","46.8354210,29.4677390",33.23,35.86,улица Сергея Лазо; Коммунистическая улица; улица Ечина; улица Бендерского Восстания; Кишинёвская улица,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;3330091804;2621497500;6367865578;2905509333;2621497496;2315990608;2315990604;6367865573;2337407447;2621497499;2905509346;4407068500;4407068499;3582599521;3582599522;2905509348;3582599523;3582599520;5170901775;2905509347;346864404;4391789152;346864415;5110069333;6367865572;1955645752;1955645764;5167470236;517232496;6367865571;5108370663;5108370662;6367865570;5167470239;517232497;1072729124;646891528;1017799997;5642523708;6367865568;5642523704;346864412;6367865569;583629127;1736087555;583629152;5110069339;2319384714;2319384708;5110069338;3594902144;583629156;1067380516;5167470245;2319384683;1736040947;12373570365;4523148453;794206734;4523148455;11752719700;4017877009;6367886213;2198533597;1774478927;2198533611;2319359043;1067380905;1309907699;1309907703;2322107929;595396016;6368053904;5642525322;3221451778;6368053905;1067380876;4264211255;346864409;2334338355;3221451783,ADDRESS_ANCHOR_AMBIGUOUS,True
MY-003,Борисовка,46.83333,29.45134,6.7592,7.2683,0.5091,7.5,DIVERGENCE_GT5,"46.8241540,29.4833040","46.8328690,29.4516170",33.23,55.44,улица Сергея Лазо; Коммунистическая улица; улица Ечина; улица Бендерского Восстания; улица 50 лет ВЛКСМ; Пионерская улица; улица Интернационалистов,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;3330091804;2621497500;6367865578;2905509333;2621497496;2315990608;2315990604;6367865573;2337407447;2621497499;2905509346;4407068500;4407068499;3582599521;3582599522;2905509348;3582599523;3582599520;5170901775;2905509347;346864404;4391789152;346864415;5110069333;6367865572;1955645752;1955645764;5167470236;517232496;6367865571;5108370663;5108370662;6367865570;5167470239;517232497;1072729124;646891528;1017799997;5642523708;6367865568;5642523704;346864412;6367865569;583629127;1736087555;583629152;5110069339;2319384714;2319384708;5110069338;3594902144;583629156;1067380516;5167470245;2319384683;1736040947;12373570365;4523148453;794206734;4523148455;11752719700;4017877009;2198533585;1067380749;1464239931;794206717;1464239934;794206718;5110068986;2198533633;4410427116;2198533678;2198533705;2319359067;3584244547;3584244542;1067380547;5110068994;1067380600;2319359112;2319359116;2319359128;4400844321;1067380678;1067380846;5188172889;4410401919;4400844299;4400844300;4400844301;4400844302,TERRITORY_OR_BOUNDARY_AMBIGUOUS,True
MY-004,Борисовка,46.84066,29.47281,3.6210,3.5015,-0.1195,3.3,WITHIN_5_PERCENT,"46.8241540,29.4833040","46.8408320,29.4726610",33.23,22.25,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Кишинёв-Тирасполь; улица Петровского,BRIDGE,NO,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545;3098266727;514211060;5167642540;5167642536;4163083409;5167642537;6377775702;2371301092;6431014257;6431014256;6015468030;514211064;6015468029;5327380918;13633606275;514211117;13633606282;1730974929;1730975086;457637342;1017949217;4169801768;9673906525;457637354;514211193;5687920427;7553610454;457637161;2986853007;7553639729;457637163;6840424181;1771733180;1062096442;457637243;7415898585;7415898084;7415898082;7415898081;7415898080;457637246;6649405927;7415898074;457637248;6063471447;6063471446;9271802751;11247602742;1772919033;11247602744;11185832828;11247602743;11247602745;271258256;6063550669;457637155;1121783507;1121784347;1730975250;6063471441;6649736707;514211151;1121783542;1121783403;271258254;4164051705;13128826648;4164051712;457637370;4164051714;4164051716;1062096508;457637373;457637374;4164051721;1062096256;457637376;457637377;457637380;457637381;1464239929;457637383;1062096645;457637385;1062096706;457637387;1121782993;517234915;457637388;1772931242;1772931226,YANDEX_VENDOR_DIFFERENCE,False
MY-005,Гиска,46.79873,29.45711,4.0716,4.6932,0.6216,15.3,DIVERGENCE_GT10,"46.8241540,29.4833040","46.7984240,29.4570760",33.23,34.12,улица Сергея Лазо; Коммунистическая улица; улица Ленина; Первомайская улица; Студенческая улица,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;4406521329;2315847668;2315847664;6367501426;2315847706;2315847691;596499538;6367715198;1722299831;1463803723;6367715199;2315788476;2315788494;8930975533;9175566943;6819864673;596499362;2905509353;2613876405;2621486707;2621486708;2613876403;1955645684;1955645683;596499363;2621486706;2621486709;13318750745;2318435426;2621486705;2318435431;346864390;2318435429;2318435425;2318435437;2323111907;2318435424;2613892834;2616654147;2616658532;12541704217;12541704219;12541704221;12541704223,ROUTER_CHOOSES_DIFFERENT_VALID_ROUTE,True
MY-006,Гиска,46.78254,29.44565,5.9546,5.8633,-0.0913,1.5,WITHIN_5_PERCENT,"46.8241540,29.4833040","46.7826150,29.4459270",33.23,22.74,улица Сергея Лазо; Коммунистическая улица; улица Ленина,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;4406521329;2315847668;2315847664;6367501426;2315847706;2315847691;596499538;6367715198;1722299831;1463803723;6367715199;2315788476;2315788494;8930975533;9175566943;6819864673;596499362;2905509353;2613876405;2621486707;2621486708;2613876403;1955645684;1955645683;596499363;2621486706;2621486709;13318750745;2318435426;2621486705;2318435431;346864390;2613778344;2625085356;6367705192;1955645672;6367705191;6367705190;6367705189;8416403949;2613868754;6367705187;596499369;2613868757;596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;346864383;2613880260;596499342;2613880261;596499343;2321469092;346864378;596499345;2321467758;5020765183;596499349;2321436918;2321470588;596499353;5160932147;596499355;2321467764;2321437653;2321467765,ADDRESS_ANCHOR_AMBIGUOUS,False
MY-007,Гиска,46.78277,29.44638,5.9546,5.8600,-0.0946,1.6,WITHIN_5_PERCENT,"46.8241540,29.4833040","46.7826430,29.4459110",33.23,38.50,улица Сергея Лазо; Коммунистическая улица; улица Ленина,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;4406521329;2315847668;2315847664;6367501426;2315847706;2315847691;596499538;6367715198;1722299831;1463803723;6367715199;2315788476;2315788494;8930975533;9175566943;6819864673;596499362;2905509353;2613876405;2621486707;2621486708;2613876403;1955645684;1955645683;596499363;2621486706;2621486709;13318750745;2318435426;2621486705;2318435431;346864390;2613778344;2625085356;6367705192;1955645672;6367705191;6367705190;6367705189;8416403949;2613868754;6367705187;596499369;2613868757;596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;346864383;2613880260;596499342;2613880261;596499343;2321469092;346864378;596499345;2321467758;5020765183;596499349;2321436918;2321470588;596499353;5160932147;596499355;2321467764;2321437653;2321467765,TERRITORY_OR_BOUNDARY_AMBIGUOUS,False
MY-008,Гиска,46.78265,29.44423,5.9546,5.8779,-0.0767,1.3,WITHIN_5_PERCENT,"46.8241540,29.4833040","46.7826010,29.4443150",33.23,8.47,улица Сергея Лазо; Коммунистическая улица; улица Ленина,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;4406521329;2315847668;2315847664;6367501426;2315847706;2315847691;596499538;6367715198;1722299831;1463803723;6367715199;2315788476;2315788494;8930975533;9175566943;6819864673;596499362;2905509353;2613876405;2621486707;2621486708;2613876403;1955645684;1955645683;596499363;2621486706;2621486709;13318750745;2318435426;2621486705;2318435431;346864390;2613778344;2625085356;6367705192;1955645672;6367705191;6367705190;6367705189;8416403949;2613868754;6367705187;596499369;2613868757;596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;346864383;2613880260;596499342;2613880261;596499343;2321469092;346864378;596499345;2321467758;5020765183;596499349;2321436918;2321470588;596499353;5160932147;596499355;2321467764;5158883195;596499358;6367769588;346864371;596499361,ADDRESS_ANCHOR_AMBIGUOUS,False
MY-009,Гиска,46.78939,29.40243,9.4951,9.3699,-0.1252,1.3,WITHIN_5_PERCENT,"46.8241540,29.4833040","46.7893150,29.4024160",33.23,8.41,улица Сергея Лазо; Коммунистическая улица; улица Ленина,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;4406521329;2315847668;2315847664;6367501426;2315847706;2315847691;596499538;6367715198;1722299831;1463803723;6367715199;2315788476;2315788494;8930975533;9175566943;6819864673;596499362;2905509353;2613876405;2621486707;2621486708;2613876403;1955645684;1955645683;596499363;2621486706;2621486709;13318750745;2318435426;2621486705;2318435431;346864390;2613778344;2625085356;6367705192;1955645672;6367705191;6367705190;6367705189;8416403949;2613868754;6367705187;596499369;2613868757;596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;346864383;2613880260;596499342;2613880261;596499343;2321469092;346864378;596499345;2321467758;5020765183;596499349;2321436918;2321470588;596499353;5160932147;596499355;2321467764;5158883195;596499358;6367769588;346864371;596499361;623722907;2325391528;2325392867;2321749498;2321749496;346864366;6367537417;6367537418;2325545209;623722901;623722902;623722903;623722899;2325541370;2325654101;6367780436;6367780435;2325607290;1723286897;623722892;4004179519;623722891;12541628196;4370845407;4004179508;2325649150;6367537416;12541628198;346864354;5901284760;2325439227;2325443144;2325439229;2325439230;2325439231;2325439233;2325439234;2325452864;2325439235;2341956695;2325459749;2325462532;2325439237;2325439238;2330160614;2325439240;2325439241;2325439242;2325439243;2325439244;2325439245;2325463475;6367501422;2325464427;2325439246;2325637974;2325642430;2325439248;5901276579;2325439249;2325439250;5901276580;2325439251;4505243718,ADDRESS_ANCHOR_AMBIGUOUS,False
MY-010,Гиска,46.78846,29.40535,9.3342,9.1248,-0.2094,2.2,WITHIN_5_PERCENT,"46.8241540,29.4833040","46.7885490,29.4054130",33.23,11.00,улица Сергея Лазо; Коммунистическая улица; улица Ленина,NONE_OBSERVED,NO,2586302556;2586302559;1062096644;4004084774;6369871658;1730683134;2333273586;2333271783;1062096280;2315735279;13063618060;2315735278;13063618061;11178044306;2334815877;4004082888;6367677317;514211074;6367677315;7567419210;7566968090;514211069;7566968089;6369946623;6369946625;7566968087;1062096500;7566968088;7566942183;1062096328;7566942182;6367725401;2317282115;2987588681;514211025;7566942181;514211028;1017871069;2316437061;12595847339;12595847340;2316437062;1730582932;6367654516;5167642522;6367724083;2316402834;514210988;1731202503;12595847337;604245199;12595847336;6367501427;5108494898;1730582908;6367865579;12595847338;604245177;2905509350;4406521329;2315847668;2315847664;6367501426;2315847706;2315847691;596499538;6367715198;1722299831;1463803723;6367715199;2315788476;2315788494;8930975533;9175566943;6819864673;596499362;2905509353;2613876405;2621486707;2621486708;2613876403;1955645684;1955645683;596499363;2621486706;2621486709;13318750745;2318435426;2621486705;2318435431;346864390;2613778344;2625085356;6367705192;1955645672;6367705191;6367705190;6367705189;8416403949;2613868754;6367705187;596499369;2613868757;596499370;2616622555;596499371;596499373;2321403925;2613880259;2321468036;346864383;2613880260;596499342;2613880261;596499343;2321469092;346864378;596499345;2321467758;5020765183;596499349;2321436918;2321470588;596499353;5160932147;596499355;2321467764;5158883195;596499358;6367769588;346864371;596499361;623722907;2325391528;2325392867;2321749498;2321749496;346864366;6367537417;6367537418;2325545209;623722901;623722902;623722903;623722899;2325541370;2325654101;6367780436;6367780435;2325607290;1723286897;623722892;4004179519;623722891;12541628196;4370845407;4004179508;2325649150;6367537416;12541628198;346864354;5901284760;2325439227;2325443144;2325439229;2325439230;2325439231;2325439233;2325439234;2325452864;2325439235;2341956695;2325459749;2325462532;2325439237;2325439238;2330160614;2325439240;2325439241;2325439242;2325439243;2325439244;2325439245;2325463475;6367501422;2325464427;2325439246;2325637974;2325642430;2325439248;5901276579,ADDRESS_ANCHOR_AMBIGUOUS,False
