recheck_id,original_sample_id,address_id,territory,street,our_house_number,our_lat,our_lon,original_status,original_yandex_label,original_yandex_house_number,second_checked_date,second_search_query,second_yandex_label,second_yandex_street,second_yandex_house_number,second_coordinate_distance_m,coordinate_click_label,visible_neighbor_numbers,requested_number_visible_anywhere,nearest_result_only,independent_confirmation,resolved_conflict_type,resolution_confidence,owner_review_required,evidence_summary,notes
YCR-0001,YAV-0004,n2321749390,Гиска,улица Интернационалистов,2,46.79213,29.45135,SETTLEMENT_ONLY,"село Гиска, Бендеры, Приднестровье",,2026-07-27,"Гиска, улица Интернационалистов 2, Бендеры || улица Интернационалистов 2, Гиска","улица Интернационалистов, 2, Бендеры, Приднестровье",улица Интернационалистов,2,4651,"Интернациональная улица, село Гиска, Бендеры, Приднестровье",,false,true,false,STREET_RENAME_OR_VARIANT,MEDIUM,true,Exact query resolved to a different Bender location; alternative opened Giska settlement; coordinate review showed the local street as Интернациональная улица without house 2.,No automatic canonical edit.
YCR-0002,YAV-0005,n2321749391,Гиска,улица Суворова,75,46.79225,29.45278,SETTLEMENT_ONLY,"улица Суворова, село Гиска, Бендеры, Приднестровье",,2026-07-27,"Гиска, улица Суворова 75, Бендеры || улица Суворова 75, Гиска","улица Суворова, село Гиска, Бендеры, Приднестровье",улица Суворова,,267,"село Гиска, Бендеры, Приднестровье",,false,false,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Two independent address queries returned only the Giska street card; the canonical-coordinate review returned only the settlement and no house 75.,
YCR-0003,YAV-0006,n2321749401,Гиска,улица Интернационалистов,8,46.79203,29.45019,SETTLEMENT_ONLY,"село Гиска, Бендеры, Приднестровье",,2026-07-27,"Гиска, улица Интернационалистов 8, Бендеры || улица Интернационалистов 8, Гиска","улица Интернационалистов, 8, Бендеры, Приднестровье",улица Интернационалистов,8,4631,"Интернациональная улица, село Гиска, Бендеры, Приднестровье",,false,true,false,STREET_RENAME_OR_VARIANT,MEDIUM,true,Exact query resolved to another Bender location; alternate query opened Giska settlement; coordinate review showed Интернациональная улица without house 8.,
YCR-0004,YAV-0007,n2321749413,Гиска,улица Гоголя,1,46.78855,29.44965,DIFFERENT_HOUSE_NUMBER,"улица Гоголя, 11, село Гиска, Бендеры, Приднестровье",11,2026-07-27,"Гиска, улица Гоголя 1, Бендеры || улица Гоголя 1, Гиска","улица Гоголя, 11, село Гиска, Бендеры, Приднестровье",улица Гоголя,11,130,"улица Гоголя, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both address queries substituted house 11; the canonical coordinate opened only the street, so house 1 was not independently confirmed.",
YCR-0005,YAV-0008,n2321749414,Гиска,улица Гоголя,9,46.78873,29.45073,DIFFERENT_HOUSE_NUMBER,"улица Гоголя, 11, село Гиска, Бендеры, Приднестровье",11,2026-07-27,"Гиска, улица Гоголя 9, Бендеры || улица Гоголя 9, Гиска","улица Гоголя, 11, село Гиска, Бендеры, Приднестровье",улица Гоголя,11,57,"улица Гоголя, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both address variants opened house 11; the canonical coordinate exposed only the street, not requested house 9.",
YCR-0006,YAV-0009,n2321749415,Гиска,улица Гоголя,2,46.78814,29.44956,DIFFERENT_HOUSE_NUMBER,"улица Гоголя, 11, село Гиска, Бендеры, Приднестровье",11,2026-07-27,"Гиска, улица Гоголя 2, Бендеры || улица Гоголя 2, Гиска","улица Гоголя, 11, село Гиска, Бендеры, Приднестровье",улица Гоголя,11,141,"село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both address queries substituted house 11; coordinate review showed no addressed object for house 2.,
YCR-0007,YAV-0013,n2321749421,Гиска,Молодёжная улица,2,46.78697,29.44944,DIFFERENT_HOUSE_NUMBER,"Молодёжная улица, 3, село Гиска, Бендеры, Приднестровье",3,2026-07-27,"Гиска, Молодёжная улица 2, Бендеры || Молодёжная улица 2, Гиска","Молодёжная улица, 3, село Гиска, Бендеры, Приднестровье",Молодёжная улица,3,48,"село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both queries substituted house 3, 49 m from the canonical point; coordinate review did not expose house 2. Proximity alone is not treated as renumbering.",
YCR-0008,YAV-0014,n2321749422,Гиска,Молодёжная улица,21,46.78798,29.45183,DIFFERENT_HOUSE_NUMBER,"Молодёжная улица, 19, село Гиска, Бендеры, Приднестровье",19,2026-07-27,"Гиска, Молодёжная улица 21, Бендеры || Молодёжная улица 21, Гиска","Молодёжная улица, 19, село Гиска, Бендеры, Приднестровье",Молодёжная улица,19,40,"Молодёжная улица, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both address variants substituted house 19; coordinate review opened only the street and did not confirm house 21.,
YCR-0009,YAV-0015,n2321749424,Гиска,Молодёжная улица,48,46.78974,29.45634,DIFFERENT_HOUSE_NUMBER,"Молодёжная улица, 49, село Гиска, Бендеры, Приднестровье",49,2026-07-27,"Гиска, Молодёжная улица 48, Бендеры || Молодёжная улица 48, Гиска","Молодёжная улица, 49, село Гиска, Бендеры, Приднестровье",Молодёжная улица,49,78,"Молодёжная улица, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both searches substituted house 49; the canonical coordinate exposed only the street, so proximity is not treated as proof of renumbering.",
YCR-0010,YAV-0017,n2321749431,Гиска,улица Ленина,59,46.78737,29.44860,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 61, село Гиска, Бендеры, Приднестровье",61,2026-07-27,"Гиска, улица Ленина 59, Бендеры || улица Ленина 59, Гиска","улица Ленина, 61, село Гиска, Бендеры, Приднестровье",улица Ленина,61,55,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 61; coordinate review did not independently expose requested house 59.,
