probability_sample_id,address_id,territory,district,street,house_number,lat,lon,deliverable_status,street_group_size,number_type,geographic_stratum,inclusion_probability,sampling_weight,selection_seed,already_reviewed,linked_forward_sample_id
YPS-0001,w301982110,Бендеры,,Путейская улица,10а,46.81924,29.46456,DELIVERABLE,19,LETTERED,Бендеры:NW,0.052631578947,19.000000000000,20260727,False,
YPS-0002,n4919312070,Бендеры,,1-й Братский переулок,1 А,46.83975,29.46641,UNKNOWN_REQUIRES_REVIEW,5,LETTERED,Бендеры:NW,1.000000000000,1.000000000000,20260727,True,YAV-0736
YPS-0003,w209273612,Бендеры,,улица Павлика Морозова,6,46.83029,29.45485,DELIVERABLE,13,ORDINARY,Бендеры:NW,0.033557046980,29.800000000000,20260727,False,
YPS-0004,w352149830,Бендеры,,Каховский тупик,1а,46.84757,29.45444,DELIVERABLE,10,LETTERED,Бендеры:NW,0.052631578947,19.000000000000,20260727,False,
YPS-0005,w285074328,Бендеры,,Коммунистическая улица,89,46.82105,29.47751,DELIVERABLE,138,ORDINARY,Бендеры:NE,0.032040472175,31.210526315789,20260727,False,
YPS-0006,n2337948159,Протягайловка,,улица Мунтяна,14,46.82812,29.43502,DELIVERABLE,39,ORDINARY,Протягайловка:NW,0.042253521127,23.666666666667,20260727,False,
YPS-0007,w295342534,Бендеры,,Садовая улица,37,46.81521,29.48636,DELIVERABLE,91,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0008,w315035700,Бендеры,,Индустриальная улица,"4в, 4/1, 4д",46.79987,29.48656,DELIVERABLE,56,FRACTIONAL,Бендеры:SE,0.142857142857,7.000000000000,20260727,False,
YPS-0009,w353143173,Протягайловка,,Главный переулок,5,46.81971,29.44284,DELIVERABLE,7,ORDINARY,Протягайловка:SE,0.057692307692,17.333333333333,20260727,False,
YPS-0010,n4905410988,Гиска,,улица Ленина,275,46.78592,29.41215,UNKNOWN_REQUIRES_REVIEW,74,ORDINARY,Гиска:SW,0.333333333333,3.000000000000,20260727,True,YAV-0720
YPS-0011,n2458498648,Парканы,,улица Энгельса,7,46.84035,29.51762,DELIVERABLE,85,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0012,n2459265327,Парканы,,Молодёжная улица,99,46.85466,29.5224,DELIVERABLE,114,ORDINARY,Парканы:NE,0.033149171271,30.166666666667,20260727,False,
YPS-0013,n2323407237,Парканы,,улица Карла Маркса,119,46.84988,29.51512,DELIVERABLE,295,ORDINARY,Парканы:NW,0.032139577594,31.114285714286,20260727,False,
YPS-0014,w295619135,Бендеры,,Херсонский проезд,94,46.81413,29.47573,DELIVERABLE,3,ORDINARY,Бендеры:SE,0.117647058824,8.500000000000,20260727,False,
YPS-0015,w306219469,Бендеры,,Бельцкая улица,22,46.83857,29.47169,DELIVERABLE,46,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0016,w290334247,Бендеры,,Коммунистическая улица,117,46.81882,29.47636,DELIVERABLE,138,ORDINARY,Бендеры:NE,0.032040472175,31.210526315789,20260727,False,
YPS-0017,w303836266,Бендеры,,улица Карбышева,16,46.8148,29.4688,DELIVERABLE,45,ORDINARY,Бендеры:SW,0.032148900169,31.105263157895,20260727,False,
YPS-0018,n2460690905,Парканы,,улица Русакова,40,46.84832,29.5186,DELIVERABLE,79,ORDINARY,Парканы:NE,0.033149171271,30.166666666667,20260727,False,
YPS-0019,w324427417,Бендеры,,улица Тамары Кручок,82,46.80231,29.48707,DELIVERABLE,85,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0020,w316027893,Бендеры,,улица Ивана Федько,5,46.83566,29.46888,DELIVERABLE,26,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0021,w299357718,Бендеры,,Рыбницкий переулок,44,46.81552,29.47145,DELIVERABLE,11,ORDINARY,Бендеры:SW,0.035532994924,28.142857142857,20260727,False,
YPS-0022,n2337985528,Протягайловка,,Главная улица,2а,46.81659,29.4511,DELIVERABLE,41,LETTERED,Протягайловка:SE,1.000000000000,1.000000000000,20260727,False,
YPS-0023,n2457458994,Парканы,,Комсомольская улица,139,46.8241,29.52074,DELIVERABLE,154,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0024,n2322975403,Бендеры,,улица Горького,7,46.81753,29.47135,DELIVERABLE,15,ORDINARY,Бендеры:SW,0.035532994924,28.142857142857,20260727,False,
YPS-0025,n2323674210,Парканы,,улица Суворова,145,46.85106,29.51963,DELIVERABLE,162,ORDINARY,Парканы:NE,0.033149171271,30.166666666667,20260727,False,
YPS-0026,n4988630198,Протягайловка,,улица Академика Берга,вагончик,46.84486,29.43768,UNKNOWN_REQUIRES_REVIEW,19,LETTERED,Протягайловка:NW,1.000000000000,1.000000000000,20260727,True,YAV-0754
YPS-0027,n2458688107,Парканы,,улица Карла Маркса,177,46.85462,29.51397,DELIVERABLE,295,ORDINARY,Парканы:NW,0.032139577594,31.114285714286,20260727,False,
YPS-0028,n4905411576,Гиска,,Госпитальная улица,12 В,46.78624,29.45546,UNKNOWN_REQUIRES_REVIEW,24,LETTERED,Гиска:NE,0.500000000000,2.000000000000,20260727,True,YAV-0732
YPS-0029,n4988630634,Протягайловка,,Главная улица,172,46.82406,29.43417,UNKNOWN_REQUIRES_REVIEW,41,ORDINARY,Протягайловка:SW,1.000000000000,1.000000000000,20260727,False,
YPS-0030,n4988629683,Протягайловка,,улица Академика Берга,8,46.84796,29.43595,UNKNOWN_REQUIRES_REVIEW,19,ORDINARY,Протягайловка:NW,0.125000000000,8.000000000000,20260727,True,YAV-0743
YPS-0031,w315851322,Бендеры,,улица Осипенко,55,46.82529,29.45775,DELIVERABLE,34,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0032,w531442969,Гиска,,улица 40 лет МССР,70,46.7828,29.47573,DELIVERABLE,10,ORDINARY,Гиска:SE,0.142857142857,7.000000000000,20260727,False,
YPS-0033,n4816665218,Парканы,,Молодёжная улица,71,46.85242,29.5234,UNKNOWN_REQUIRES_REVIEW,114,ORDINARY,Парканы:NE,1.000000000000,1.000000000000,20260727,True,YAV-0702
YPS-0034,n4905411564,Гиска,,Госпитальная улица,63,46.78477,29.45282,UNKNOWN_REQUIRES_REVIEW,24,ORDINARY,Гиска:SE,1.000000000000,1.000000000000,20260727,True,YAV-0731
YPS-0035,w405112654,Бендеры,,улица Тимирязева,6,46.78528,29.48745,DELIVERABLE,16,ORDINARY,Бендеры:SE,0.035040431267,28.538461538462,20260727,False,
YPS-0036,w319390758,Бендеры,Липканы,Колхозный переулок,14,46.84334,29.47866,DELIVERABLE,12,ORDINARY,Бендеры:NE,0.035714285714,28.000000000000,20260727,False,
YPS-0037,n2457246804,Парканы,,Комсомольская улица,33,46.83263,29.5158,DELIVERABLE,154,ORDINARY,Парканы:SW,0.033149171271,30.166666666667,20260727,False,
YPS-0038,w164988237,Бендеры,,Коммунистическая улица,77,46.82195,29.47779,DELIVERABLE,138,ORDINARY,Бендеры:NE,0.032040472175,31.210526315789,20260727,False,
YPS-0039,w222794982,Бендеры,,Советская улица,58,46.8192,29.4797,DELIVERABLE,48,ORDINARY,Бендеры:NE,0.032040472175,31.210526315789,20260727,False,
YPS-0040,w295003786,Бендеры,,улица Кавриаго,37,46.81708,29.48372,DELIVERABLE,84,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0041,n4905411200,Гиска,,улица Ленина,254 А,46.78671,29.41134,UNKNOWN_REQUIRES_REVIEW,74,LETTERED,Гиска:NW,1.000000000000,1.000000000000,20260727,True,YAV-0724
YPS-0042,n2459459672,Парканы,,улица Пушкина,50,46.83052,29.51389,DELIVERABLE,104,ORDINARY,Парканы:SW,0.033149171271,30.166666666667,20260727,False,
YPS-0043,n2321749437,Гиска,,улица Ленина,90а,46.78491,29.44641,DELIVERABLE,74,LETTERED,Гиска:SW,0.250000000000,4.000000000000,20260727,False,
YPS-0044,n2457459013,Парканы,,Комсомольская улица,149,46.82319,29.52132,DELIVERABLE,154,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0045,w320438943,Бендеры,,улица Калашникова,53,46.82178,29.45283,DELIVERABLE,47,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0046,w209287666,Бендеры,,улица Ползунова,41,46.82517,29.46133,DELIVERABLE,64,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0047,n2459780626,Парканы,,улица Романенко,55,46.85229,29.51125,DELIVERABLE,181,ORDINARY,Парканы:NW,0.032139577594,31.114285714286,20260727,False,
YPS-0048,w299220284,Бендеры,,Песчанная улица,132а,46.81234,29.48065,DELIVERABLE,46,LETTERED,Бендеры:SE,0.051282051282,19.500000000000,20260727,False,
YPS-0049,n2453786266,Парканы,,улица Ворошилова,117,46.82531,29.52526,DELIVERABLE,156,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0050,n6560452192,Бендеры,,улица Сергея Лазо,11-12,46.82301,29.4855,UNKNOWN_REQUIRES_REVIEW,29,FRACTIONAL,Бендеры:NE,0.500000000000,2.000000000000,20260727,False,
YPS-0051,n4905411373,Гиска,,улица Ленина,253 А,46.78402,29.41662,UNKNOWN_REQUIRES_REVIEW,74,LETTERED,Гиска:SW,0.250000000000,4.000000000000,20260727,True,YAV-0729
YPS-0052,w222762485,Бендеры,,Первомайская улица,36,46.816,29.47015,DELIVERABLE,119,ORDINARY,Бендеры:SW,0.032148900169,31.105263157895,20260727,False,
YPS-0053,n2459459679,Парканы,,улица Пушкина,64,46.82953,29.51461,DELIVERABLE,104,ORDINARY,Парканы:SW,0.033149171271,30.166666666667,20260727,False,
YPS-0054,n2450962243,Парканы,,улица Горького,140,46.82588,29.52948,DELIVERABLE,174,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0055,w290336191,Бендеры,,Комсомольская улица,101,46.81983,29.47719,DELIVERABLE,65,ORDINARY,Бендеры:NE,0.032040472175,31.210526315789,20260727,False,
YPS-0056,n2459893755,Парканы,,улица Романенко,124,46.85874,29.50826,DELIVERABLE,181,ORDINARY,Парканы:NW,0.032139577594,31.114285714286,20260727,False,
YPS-0057,n4991183336,Гиска,,Заречная улица,13,46.77567,29.4397,UNKNOWN_REQUIRES_REVIEW,1,ORDINARY,Гиска:SW,1.000000000000,1.000000000000,20260727,False,
YPS-0058,w405297213,Бендеры,,улица Строителей,19,46.79137,29.49284,DELIVERABLE,12,ORDINARY,Бендеры:SE,0.035040431267,28.538461538462,20260727,False,
YPS-0059,w353825064,Гиска,,улица Суворова,101,46.79152,29.47688,DELIVERABLE,39,ORDINARY,Гиска:NE,0.043478260870,23.000000000000,20260727,False,
YPS-0060,n4919278864,Бендеры,,улица Лермонтова,38а,46.82261,29.45645,UNKNOWN_REQUIRES_REVIEW,31,LETTERED,Бендеры:NW,0.333333333333,3.000000000000,20260727,True,YAV-0734
YPS-0061,n2322107937,Бендеры,,Киевская улица,43,46.81817,29.46011,UNKNOWN_REQUIRES_REVIEW,30,ORDINARY,Бендеры:SW,0.200000000000,5.000000000000,20260727,True,YAV-0055
YPS-0062,n2341959256,Гиска,,Учительская улица,1,46.78205,29.44479,DELIVERABLE,12,ORDINARY,Гиска:SW,0.040404040404,24.750000000000,20260727,False,
