zone_id,lower_km,upper_km,address_count,taxi_ref_lo,taxi_ref_hi,min_fee_required_by_driver,max_fee_allowed_by_client,balanced_feasible_fee
1,0.032,3.239,2528,18.0,19.43,13,13,13
2,3.241,3.424,108,19.45,20.54,14,14,14
3,3.426,3.611,125,20.56,21.67,15,15,15
4,3.612,3.796,86,21.67,22.78,16,16,16
5,3.803,3.981,89,22.82,23.89,17,17,17
6,3.982,4.163,115,23.89,24.98,18,18,18
7,4.169,4.537,430,25.01,27.22,20,20,20
8,4.538,4.907,323,27.23,29.44,22,22,22
9,4.908,5.275,319,29.45,31.65,24,24,24
10,5.282,5.644,279,31.69,33.86,26,26,26
11,5.649,5.999,179,33.89,35.99,28,28,28
12,6.007,6.496,180,36.04,38.98,31,31,31
13,6.508,7.0,81,39.05,42.0,34,34,34
14,7.018,7.458,24,42.11,44.75,37,37,37
