territory,city_rate,outside_rate,minimum_fare,address_count,median_route_km,p90_route_km,taxi_lower_rub,taxi_upper_rub,driver_take_lower_rub,driver_take_upper_rub,taxi_reference_bracket_rub,direct_feasible_lower_rub,direct_feasible_upper_rub,status
Гиска,5.0,8.0,15.0,399,5.878,8.249,29.39,47.02,24.39,42.02,29.39..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,8.0,18.0,399,5.878,8.249,29.39,47.02,24.39,42.02,29.39..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,8.0,20.0,399,5.878,8.249,29.39,47.02,24.39,42.02,29.39..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,8.0,25.0,399,5.878,8.249,29.39,47.02,24.39,42.02,29.39..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,9.0,15.0,399,5.878,8.249,29.39,52.9,24.39,47.9,29.39..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,9.0,18.0,399,5.878,8.249,29.39,52.9,24.39,47.9,29.39..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,9.0,20.0,399,5.878,8.249,29.39,52.9,24.39,47.9,29.39..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,9.0,25.0,399,5.878,8.249,29.39,52.9,24.39,47.9,29.39..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,10.0,15.0,399,5.878,8.249,29.39,58.78,24.39,53.78,29.39..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,10.0,18.0,399,5.878,8.249,29.39,58.78,24.39,53.78,29.39..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,10.0,20.0,399,5.878,8.249,29.39,58.78,24.39,53.78,29.39..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,10.0,25.0,399,5.878,8.249,29.39,58.78,24.39,53.78,29.39..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,11.0,15.0,399,5.878,8.249,29.39,64.66,24.39,59.66,29.39..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,11.0,18.0,399,5.878,8.249,29.39,64.66,24.39,59.66,29.39..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,11.0,20.0,399,5.878,8.249,29.39,64.66,24.39,59.66,29.39..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,11.0,25.0,399,5.878,8.249,29.39,64.66,24.39,59.66,29.39..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,12.0,15.0,399,5.878,8.249,29.39,70.54,24.39,65.54,29.39..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,12.0,18.0,399,5.878,8.249,29.39,70.54,24.39,65.54,29.39..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,12.0,20.0,399,5.878,8.249,29.39,70.54,24.39,65.54,29.39..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,5.0,12.0,25.0,399,5.878,8.249,29.39,70.54,24.39,65.54,29.39..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,8.0,15.0,399,5.878,8.249,35.27,47.02,30.27,42.02,35.27..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,8.0,18.0,399,5.878,8.249,35.27,47.02,30.27,42.02,35.27..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,8.0,20.0,399,5.878,8.249,35.27,47.02,30.27,42.02,35.27..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,8.0,25.0,399,5.878,8.249,35.27,47.02,30.27,42.02,35.27..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,9.0,15.0,399,5.878,8.249,35.27,52.9,30.27,47.9,35.27..52.9,,,RANGE_ONLY_NOT_TARIFF
