address_id,route_km,taxi_reference_rub,driver_best_take_rub,formula_fee_rub,client_saving_rub,driver_gap_rub,balanced_ok
w531651455,2.882,18.0,13.0,12,6.0,1.0,True
n2323574999,2.883,18.0,13.0,12,6.0,1.0,True
w161048739,2.885,18.0,13.0,12,6.0,1.0,True
w352306070,2.885,18.0,13.0,12,6.0,1.0,True
w354300764,2.887,18.0,13.0,12,6.0,1.0,True
w340414544,2.891,18.0,13.0,12,6.0,1.0,True
w323694276,2.892,18.0,13.0,12,6.0,1.0,True
w405169693,2.893,18.0,13.0,12,6.0,1.0,True
w340414535,2.895,18.0,13.0,12,6.0,1.0,True
w352307860,2.895,18.0,13.0,12,6.0,1.0,True
w531651451,2.897,18.0,13.0,12,6.0,1.0,True
w317089143,2.908,18.0,13.0,12,6.0,1.0,True
w352306787,2.911,18.0,13.0,12,6.0,1.0,True
w405169694,2.911,18.0,13.0,12,6.0,1.0,True
w323694277,2.912,18.0,13.0,12,6.0,1.0,True
w340414537,2.912,18.0,13.0,12,6.0,1.0,True
w352307861,2.912,18.0,13.0,12,6.0,1.0,True
w352306788,2.913,18.0,13.0,12,6.0,1.0,True
w352307862,2.925,18.0,13.0,12,6.0,1.0,True
w315035701,2.926,18.0,13.0,12,6.0,1.0,True
w315035700,2.928,18.0,13.0,12,6.0,1.0,True
w340414542,2.928,18.0,13.0,12,6.0,1.0,True
w317058938,2.929,18.0,13.0,12,6.0,1.0,True
w352306789,2.929,18.0,13.0,12,6.0,1.0,True
w352306791,2.93,18.0,13.0,12,6.0,1.0,True
w161048734,2.932,18.0,13.0,12,6.0,1.0,True
w47475158,2.933,18.0,13.0,12,6.0,1.0,True
w531651450,2.934,18.0,13.0,12,6.0,1.0,True
w405169691,2.937,18.0,13.0,12,6.0,1.0,True
w352307864,2.941,18.0,13.0,12,6.0,1.0,True
w209654376,2.944,18.0,13.0,12,6.0,1.0,True
w406631293,2.944,18.0,13.0,12,6.0,1.0,True
w352306790,2.947,18.0,13.0,12,6.0,1.0,True
w315036780,2.95,18.0,13.0,12,6.0,1.0,True
w352306792,2.95,18.0,13.0,12,6.0,1.0,True
w352307863,2.95,18.0,13.0,12,6.0,1.0,True
w428778441,2.951,18.0,13.0,12,6.0,1.0,True
w317089142,2.952,18.0,13.0,12,6.0,1.0,True
w354626503,2.954,18.0,13.0,12,6.0,1.0,True
w352307865,2.962,18.0,13.0,12,6.0,1.0,True
w161048749,2.971,18.0,13.0,12,6.0,1.0,True
w319384388,2.972,18.0,13.0,12,6.0,1.0,True
w354300756,2.972,18.0,13.0,12,6.0,1.0,True
w405169697,2.973,18.0,13.0,12,6.0,1.0,True
w354300763,2.975,18.0,13.0,12,6.0,1.0,True
w352307867,2.977,18.0,13.0,12,6.0,1.0,True
w354300759,2.988,18.0,13.0,12,6.0,1.0,True
w352306780,2.99,18.0,13.0,12,6.0,1.0,True
w209654289,2.991,18.0,13.0,12,6.0,1.0,True
w319384387,2.995,18.0,13.0,12,6.0,1.0,True
w352307871,3.0,18.0,13.0,13,5.0,0.0,True
w224082046,3.003,18.02,13.02,13,5.02,0.02,True
w352307872,3.003,18.02,13.02,13,5.02,0.02,True
w354300758,3.005,18.03,13.03,13,5.03,0.03,True
w352464261,3.02,18.12,13.12,13,5.12,0.12,True
w405169696,3.025,18.15,13.15,13,5.15,0.15,True
w317089144,3.026,18.16,13.16,13,5.16,0.16,True
w352307870,3.026,18.16,13.16,13,5.16,0.16,True
