address_id,territory,district,street,house_number,lat,lon,route_km,route_duration_min,route_metric_status,in_city_km,outside_city_km,outside_split_status,boundary_anchor_id,effective_km_1667,taxi_model_a_reference_rub,taxi_model_b_reference_rub,driver_take_fixed_a_rub,driver_take_percent_a_rub,driver_best_taxi_take_a_rub,current_zone_id,data_confidence,evidence_notes
n11222053152,Протягайловка,,Славянская улица,10,46.84806,29.43703,7.532,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,4,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
n11888388469,Бендеры,Липканы,улица Титова,80,46.84501,29.47388,3.382,,expected_km_osrm,3.382,0.0,CITY_ALL_IN,,3.382,20.29,20.29,15.29,13.19,15.29,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
n12143937485,Бендеры,,улица Победы,6,46.80289,29.46625,3.562,,expected_km_osrm,3.562,0.0,CITY_ALL_IN,,3.562,21.37,21.37,16.37,13.89,16.37,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
n2321749385,Гиска,,улица Ленина,13,46.79278,29.45251,4.895,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,3,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
n2321749386,Гиска,,улица Суворова,62,46.79275,29.4535,5.072,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,3,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
n2321749387,Гиска,,улица Ленина,17,46.79169,29.45193,5.04,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,3,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
n2321749388,Гиска,,улица Ленина,26,46.79247,29.45177,4.955,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,3,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
n2321749389,Гиска,,улица Ленина,28,46.79173,29.45107,5.052,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,3,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
n2321749390,Гиска,,улица Интернационалистов,2,46.79213,29.45135,5.017,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,3,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
n2321749391,Гиска,,улица Суворова,75,46.79225,29.45278,4.998,,expected_km_osrm,,,OUTSIDE_SPLIT_UNKNOWN,,,,,,,,3,EXTERNAL_SPLIT_UNKNOWN,external territory; in/out split unproven; see commit 2 brackets
