model_id,metric,method,k,zone_id,lower_bound,upper_bound,all_address_count,all_population_share,city_address_count,city_population_share,economic_scope,median_route_km,median_effective_km,median_taxi_reference,candidate_delivery_fee_rub,client_median_saving_rub,driver_median_gap_rub,boundary_instability_count,confidence,notes
BASELINE_4,legacy_expected_km,released,4,1,0.0,2.424,1659,0.18,1659,0.3409,DIAGNOSTIC_ROUTE_ONLY,1.542,,,,,,2029,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
BASELINE_4,legacy_expected_km,released,4,2,2.424,4.076,1902,0.2064,1493,0.3068,DIAGNOSTIC_ROUTE_ONLY,3.302,,,,,,2029,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
BASELINE_4,legacy_expected_km,released,4,3,4.076,5.577,3413,0.3703,1413,0.2904,DIAGNOSTIC_ROUTE_ONLY,4.869,,,,,,2029,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
BASELINE_4,legacy_expected_km,released,4,4,5.577,,2242,0.2433,301,0.0619,DIAGNOSTIC_ROUTE_ONLY,6.233,,,,,,2029,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_quantile,legacy_expected_km,quantile,4,1,0.0,2.939,2304,0.25,2304,0.4735,DIAGNOSTIC_ROUTE_ONLY,1.819,,,,,,2578,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_quantile,legacy_expected_km,quantile,4,2,2.939,4.642,2304,0.25,1239,0.2546,DIAGNOSTIC_ROUTE_ONLY,4.014,,,,,,2578,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_quantile,legacy_expected_km,quantile,4,3,4.642,5.546,2302,0.2498,1003,0.2061,DIAGNOSTIC_ROUTE_ONLY,5.043,,,,,,2578,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_quantile,legacy_expected_km,quantile,4,4,5.546,,2306,0.2502,320,0.0658,DIAGNOSTIC_ROUTE_ONLY,6.212,,,,,,2578,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_kmeans,legacy_expected_km,kmeans,4,1,0.0,2.462,1692,0.1836,1692,0.3477,DIAGNOSTIC_ROUTE_ONLY,1.555,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_kmeans,legacy_expected_km,kmeans,4,2,2.462,4.149,1963,0.213,1493,0.3068,DIAGNOSTIC_ROUTE_ONLY,3.386,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_kmeans,legacy_expected_km,kmeans,4,3,4.149,5.75,3685,0.3998,1499,0.3081,DIAGNOSTIC_ROUTE_ONLY,4.943,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_kmeans,legacy_expected_km,kmeans,4,4,5.75,,1876,0.2036,182,0.0374,DIAGNOSTIC_ROUTE_ONLY,6.35,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,4,1,0.0,2.475,1705,0.185,1705,0.3504,DIAGNOSTIC_ROUTE_ONLY,1.559,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,4,2,2.475,4.175,1982,0.2151,1487,0.3056,DIAGNOSTIC_ROUTE_ONLY,3.41,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,4,3,4.175,5.775,3700,0.4015,1512,0.3107,DIAGNOSTIC_ROUTE_ONLY,4.955,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K4R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,4,4,5.775,,1829,0.1985,162,0.0333,DIAGNOSTIC_ROUTE_ONLY,6.362,,,,,,2019,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_quantile,legacy_expected_km,quantile,5,1,0.0,2.584,1843,0.2,1843,0.3788,DIAGNOSTIC_ROUTE_ONLY,1.626,,,,,,3479,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
