model_id,rounding_km,edges,policy,zone_id,lower_bound,upper_bound,boundary_convention,address_count,policy_status,minimum_fee_required_by_driver,maximum_fee_allowed_by_client,candidate_fee_rub,fallback_fee_rub,hard_constraint_coverage,violated_address_count,minimum_taxi_reference,median_taxi_reference,minimum_driver_best_take,median_driver_best_take,maximum_driver_gap,minimum_client_saving,median_client_saving,client_constraint_coverage,driver_constraint_coverage,joint_coverage,notes
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,CUSTOMER_FIRST,1,0.0,1.725,"[lower_bound, upper_bound)",1349,FEASIBLE,12,13,12,,1.0,0,18.0,18.0,13.0,13.0,1.0,6.0,6.0,1.0,1.0,1.0,FEASIBLE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,BALANCED,1,0.0,1.725,"[lower_bound, upper_bound)",1349,FEASIBLE,12,13,12,,1.0,0,18.0,18.0,13.0,13.0,1.0,6.0,6.0,1.0,1.0,1.0,FEASIBLE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,DRIVER_CONSERVATIVE,1,0.0,1.725,"[lower_bound, upper_bound)",1349,FEASIBLE,11,17,12,,1.0,0,18.0,18.0,13.0,13.0,1.0,6.0,6.0,1.0,1.0,1.0,FEASIBLE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,CUSTOMER_FIRST,2,1.725,3.275,"[lower_bound, upper_bound)",1192,FEASIBLE,13,13,13,,1.0,0,18.0,18.0,13.0,13.0,1.63,5.0,5.0,1.0,1.0,1.0,FEASIBLE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,BALANCED,2,1.725,3.275,"[lower_bound, upper_bound)",1192,INFEASIBLE,14,13,,13,0.9891,13,18.0,18.0,13.0,13.0,1.63,5.0,5.0,1.0,0.9891,0.9891,INFEASIBLE — driver floor 14 > client ceiling 13; fallback=FALLBACK_PARTIAL_COVERAGE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,DRIVER_CONSERVATIVE,2,1.725,3.275,"[lower_bound, upper_bound)",1192,FEASIBLE,13,17,13,,1.0,0,18.0,18.0,13.0,13.0,1.63,5.0,5.0,1.0,1.0,1.0,FEASIBLE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,CUSTOMER_FIRST,3,3.275,4.975,"[lower_bound, upper_bound)",1321,INFEASIBLE,22,14,,20,0.4777,690,19.68,25.93,14.68,20.93,4.84,-0.32,5.93,0.6139,0.8637,0.4777,INFEASIBLE — driver floor 22 > client ceiling 14; fallback=FALLBACK_PARTIAL_COVERAGE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,BALANCED,3,3.275,4.975,"[lower_bound, upper_bound)",1321,INFEASIBLE,23,14,,21,0.3285,887,19.68,25.93,14.68,20.93,3.84,-1.32,4.93,0.4845,0.8441,0.3285,INFEASIBLE — driver floor 23 > client ceiling 14; fallback=FALLBACK_PARTIAL_COVERAGE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,DRIVER_CONSERVATIVE,3,3.275,4.975,"[lower_bound, upper_bound)",1321,INFEASIBLE,23,18,,23,0.6949,403,19.68,25.93,14.68,20.93,1.84,-3.32,2.93,0.6949,1.0,0.6949,INFEASIBLE — driver floor 23 > client ceiling 18; fallback=FALLBACK_PARTIAL_COVERAGE
CITY_K4R_dp_optimal_jenks,raw,1.725|3.275|4.975,CUSTOMER_FIRST,4,4.975,,"[lower_bound, upper_bound)",1004,INFEASIBLE,35,24,,25,0.5737,428,29.85,33.49,24.85,28.49,14.75,4.85,8.49,0.9791,0.5946,0.5737,INFEASIBLE — driver floor 35 > client ceiling 24; fallback=FALLBACK_PARTIAL_COVERAGE
