uid,osm_type,osm_id,unit_type,lon,lat,reason
w52142023,w,52142023,unaddressed_residential_building,29.152917,47.241996,outside_service_area
w125872293,w,125872293,unaddressed_residential_building,29.609374,46.929099,outside_service_area
w251907036,w,251907036,unaddressed_residential_building,29.544961,46.921146,outside_service_area
w251916172,w,251916172,unaddressed_residential_building,29.60786,46.905282,outside_service_area
w284683423,w,284683423,unaddressed_residential_building,29.498497,46.861441,outside_service_area
w284829128,w,284829128,unaddressed_residential_building,29.510091,46.865386,outside_service_area
w284829129,w,284829129,unaddressed_residential_building,29.509739,46.865131,outside_service_area
w284829130,w,284829130,unaddressed_residential_building,29.509252,46.865613,outside_service_area
w285089949,w,285089949,unaddressed_residential_building,29.500366,46.844993,outside_service_area
w299374557,w,299374557,unaddressed_residential_building,29.522718,46.813489,outside_service_area
w306087465,w,306087465,unaddressed_residential_building,29.515628,46.810771,outside_service_area
w306087466,w,306087466,unaddressed_residential_building,29.515847,46.810936,outside_service_area
w315799706,w,315799706,unaddressed_residential_building,29.523001,46.807979,outside_service_area
w316643125,w,316643125,unaddressed_residential_building,29.523215,46.812856,outside_service_area
w316643126,w,316643126,unaddressed_residential_building,29.523023,46.813148,outside_service_area
w316643127,w,316643127,unaddressed_residential_building,29.523361,46.812595,outside_service_area
w316643138,w,316643138,unaddressed_residential_building,29.527598,46.81621,outside_service_area
w318189584,w,318189584,unaddressed_residential_building,29.493631,46.829953,outside_service_area
w352479618,w,352479618,unaddressed_residential_building,29.493608,46.830941,outside_service_area
w406633140,w,406633140,unaddressed_residential_building,29.498381,46.861823,outside_service_area
w425926820,w,425926820,unaddressed_residential_building,29.499789,46.834058,outside_service_area
w425926823,w,425926823,unaddressed_residential_building,29.500444,46.83607,outside_service_area
w425926824,w,425926824,unaddressed_residential_building,29.50074,46.836211,outside_service_area
w425926827,w,425926827,unaddressed_residential_building,29.501007,46.835987,outside_service_area
w429023771,w,429023771,unaddressed_residential_building,29.501589,46.80654,outside_service_area
w429024200,w,429024200,unaddressed_residential_building,29.501351,46.806382,outside_service_area
w429024201,w,429024201,unaddressed_residential_building,29.501718,46.806459,outside_service_area
w429024202,w,429024202,unaddressed_residential_building,29.501828,46.80617,outside_service_area
w430828388,w,430828388,unaddressed_residential_building,29.502743,46.902402,outside_service_area
w431131512,w,431131512,unaddressed_residential_building,29.544697,46.901703,outside_service_area
w516139335,w,516139335,unaddressed_residential_building,29.50597,46.833989,outside_service_area
w632462339,w,632462339,unaddressed_residential_building,29.46967,46.912451,outside_service_area
w680014737,w,680014737,unaddressed_residential_building,29.532791,46.82226,outside_service_area
w694653571,w,694653571,unaddressed_residential_building,29.486236,46.876887,outside_service_area
w694653572,w,694653572,unaddressed_residential_building,29.48661,46.876717,outside_service_area
w694653573,w,694653573,unaddressed_residential_building,29.489496,46.87792,outside_service_area
w757715457,w,757715457,unaddressed_residential_building,29.499127,46.891812,outside_service_area
w757715458,w,757715458,unaddressed_residential_building,29.498764,46.891326,outside_service_area
w757715459,w,757715459,unaddressed_residential_building,29.498761,46.89084,outside_service_area
w813224302,w,813224302,unaddressed_residential_building,29.495698,46.835173,outside_service_area
w813224303,w,813224303,unaddressed_residential_building,29.501416,46.835676,outside_service_area
w813224305,w,813224305,unaddressed_residential_building,29.533007,46.834985,outside_service_area
w813224306,w,813224306,unaddressed_residential_building,29.532989,46.835107,outside_service_area
w823782587,w,823782587,unaddressed_residential_building,29.502212,46.87897,outside_service_area
w823784441,w,823784441,unaddressed_residential_building,29.509067,46.882471,outside_service_area
w823784443,w,823784443,unaddressed_residential_building,29.493082,46.872242,outside_service_area
w257673115,w,257673115,addressed_residential_building,29.442445,46.797223,outside_service_area
w257673116,w,257673116,unaddressed_residential_building,29.442376,46.797019,outside_service_area
