uid,osm_type,osm_id,unit_type,settlement,street_ru,housenumber,tier,lon,lat,weight,expected_km,expected_min,central_km,central_min,bam_km,bam_min,worst_origin_km,band_k4,band_k5
w704801763,w,704801763,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48259,46.8238,0.5,0.361,0.554,0.001,0.002,2.9341,4.607,2.976,1,1
w291432101,w,291432101,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48255,46.82369,0.5,0.362,0.554,0.001,0.002,2.9366,4.61,2.978,1,1
w316018729,w,316018729,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48253,46.82403,0.5,0.371,0.565,0.015,0.018,2.92,4.59,2.962,1,1
n7077586452,n,7077586452,standalone_address_node,bender_core,улица Сергея Лазо,16,A,29.48298,46.82408,1.0,0.375,0.571,0.014,0.018,2.9496,4.627,2.991,1,1
w700792421,w,700792421,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48239,46.82426,0.5,0.385,0.575,0.034,0.042,2.9009,4.492,2.943,1,1
w160140429,w,160140429,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48306,46.82393,0.5,0.387,0.586,0.026,0.033,2.9615,4.642,3.003,1,1
w290334285,w,290334285,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48222,46.82411,0.5,0.388,0.584,0.039,0.047,2.9052,4.548,2.939,1,1
w700792420,w,700792420,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48301,46.82381,0.5,0.388,0.587,0.028,0.035,2.9628,4.643,3.005,1,1
w165627327,w,165627327,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.4838,46.82439,0.5,0.417,0.622,0.057,0.07,2.9917,4.678,3.034,1,1
w162030333,w,162030333,addressed_residential_building,bender_core,улица Сергея Лазо,35,A,29.4838,46.82421,1.0,0.426,0.634,0.065,0.082,3.0006,4.69,3.043,1,1
n4196596589,n,4196596589,standalone_address_node,bender_core,улица Сергея Лазо,55,A,29.48421,46.82375,1.0,0.45,0.622,0.114,0.167,2.7729,3.693,3.091,1,1
w165627306,w,165627306,addressed_residential_building,bender_core,улица Сергея Лазо,20/1,A,29.4846,46.82358,1.0,0.457,0.63,0.122,0.175,2.7804,3.702,3.099,1,1
w700797282,w,700797282,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48439,46.82361,0.5,0.46,0.633,0.124,0.178,2.7831,3.705,3.102,1,1
w165627348,w,165627348,addressed_residential_building,bender_core,площадь Освобождения,55A,A,29.48425,46.82361,1.0,0.463,0.635,0.127,0.18,2.7857,3.707,3.104,1,1
