canonical_address,full_address_ru,display_address_ru,settlement_ru,district_ru,street_ru,housenumber,coordinate_spread_m,candidate_uid,lon,lat,expected_km,status,resolution,direct_export_eligible
парканы||комсомольская улица|2,"Парканы, Комсомольская улица, дом 2",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,2,1644,n2323152067,29.52448,46.82041,5.351,disputed,owner_review_required,False
парканы||комсомольская улица|2,"Парканы, Комсомольская улица, дом 2",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,2,1644,n2323152071,29.52391,46.82111,5.264,disputed,owner_review_required,False
парканы||комсомольская улица|2,"Парканы, Комсомольская улица, дом 2",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,2,1644,n2323152093,29.51491,46.83522,3.628,disputed,owner_review_required,False
парканы||улица будённого|164,"Парканы, улица Будённого, дом 164",улица Будённого,Парканы,,улица Будённого,164,201,n2323152074,29.52678,46.82207,5.629,disputed,owner_review_required,False
парканы||улица будённого|164,"Парканы, улица Будённого, дом 164",улица Будённого,Парканы,,улица Будённого,164,201,n2323152079,29.52414,46.82153,5.292,disputed,owner_review_required,False
парканы||комсомольская улица|18,"Парканы, Комсомольская улица, дом 18",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,18,159,n2323152092,29.51421,46.8352,3.525,disputed,owner_review_required,False
парканы||комсомольская улица|18,"Парканы, Комсомольская улица, дом 18",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,18,159,n2456772560,29.5152,46.83377,3.791,disputed,owner_review_required,False
парканы||улица фрунзе|28,"Парканы, улица Фрунзе, дом 28",улица Фрунзе (Парканы),Парканы,,улица Фрунзе,28,240,n2323152102,29.52325,46.83528,4.221,disputed,owner_review_required,False
парканы||улица фрунзе|28,"Парканы, улица Фрунзе, дом 28",улица Фрунзе (Парканы),Парканы,,улица Фрунзе,28,240,w285191965,29.52326,46.83312,4.429,disputed,owner_review_required,False
парканы||улица чкалова|34,"Парканы, улица Чкалова, дом 34",улица Чкалова (Парканы),Парканы,,улица Чкалова,34,255,n2323152103,29.52496,46.8353,4.35,disputed,owner_review_required,False
парканы||улица чкалова|34,"Парканы, улица Чкалова, дом 34",улица Чкалова (Парканы),Парканы,,улица Чкалова,34,255,n2451248436,29.52601,46.833,4.658,disputed,owner_review_required,False
парканы||комсомольская улица|40,"Парканы, Комсомольская улица, дом 40",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,40,837,n2323152153,29.51542,46.83197,3.91,disputed,owner_review_required,False
парканы||комсомольская улица|40,"Парканы, Комсомольская улица, дом 40",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,40,837,n2323152158,29.52001,46.82443,4.789,disputed,owner_review_required,False
парканы||комсомольская улица|24,"Парканы, Комсомольская улица, дом 24",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,24,823,n2323152156,29.51913,46.82592,4.612,disputed,owner_review_required,False
парканы||комсомольская улица|24,"Парканы, Комсомольская улица, дом 24",Комсомольская улица (Парканы),Парканы,,Комсомольская улица,24,823,n2456772563,29.51526,46.83333,3.84,disputed,owner_review_required,False
