uid,osm_type,osm_id,settlement_ru,district_ru,street_ru,housenumber,full_address_ru,canonical_address_key,zone_id,expected_km,central_km,bam_km,service_status,address_status,assignment_basis,source_dataset_version,owner_review_required,direct_export_eligible
n4919312070,n,4919312070,Бендеры,,1-й Братский переулок,1 А,"Бендеры, 1-й Братский переулок, дом 1 А",бендеры||1-й братский переулок|1 а,2,3.873,4.284,0.949,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w319402241,w,319402241,Бендеры,,1-й Братский переулок,12,"Бендеры, 1-й Братский переулок, дом 12",бендеры||1-й братский переулок|12,2,3.828,4.239,0.9037,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w319305814,w,319305814,Бендеры,,1-й Братский переулок,14,"Бендеры, 1-й Братский переулок, дом 14",бендеры||1-й братский переулок|14,2,3.798,4.209,0.8739,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
n2325729678,n,2325729678,Бендеры,,1-й Братский переулок,16,"Бендеры, 1-й Братский переулок, дом 16",бендеры||1-й братский переулок|16,2,3.973,4.383,1.0484,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
n2325729685,n,2325729685,Бендеры,,1-й Братский переулок,23,"Бендеры, 1-й Братский переулок, дом 23",бендеры||1-й братский переулок|23,2,3.979,4.389,1.0543,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w319402244,w,319402244,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.847,4.258,0.923,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319305817,w,319305817,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.86,4.271,0.9356,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523929,w,319523929,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.885,4.296,0.9612,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523930,w,319523930,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.888,4.298,0.9636,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319524379,w,319524379,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.891,4.302,0.9667,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319615912,w,319615912,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.891,4.302,0.9672,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523931,w,319523931,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.9,4.311,0.9757,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523932,w,319523932,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.902,4.313,0.9782,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319524377,w,319524377,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.905,4.316,0.981,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523933,w,319523933,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.914,4.324,0.9894,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319524376,w,319524376,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.92,4.331,0.9961,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523937,w,319523937,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.927,4.338,1.0029,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523939,w,319523939,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.935,4.346,1.0109,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319524375,w,319524375,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.937,4.348,1.0129,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523938,w,319523938,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.941,4.352,1.0172,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523940,w,319523940,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.956,4.367,1.032,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319524371,w,319524371,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.956,4.367,1.0316,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523942,w,319523942,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.97,4.381,1.0459,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319620054,w,319620054,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.971,4.381,1.0464,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319524372,w,319524372,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.977,4.388,1.0526,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523941,w,319523941,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,3.979,4.389,1.0544,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w319523936,w,319523936,Бендеры,,1-й Братский переулок,,"Бендеры, 1-й Братский переулок",,2,4.045,4.456,1.121,standard,unaddressed_delivery_unit,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,False
w515864768,w,515864768,Бендеры,,1-й Измаильский переулок,3,"Бендеры, 1-й Измаильский переулок, дом 3",бендеры||1-й измаильский переулок|3,3,4.962,4.633,7.3247,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863623,w,515863623,Бендеры,,1-й Измаильский переулок,4,"Бендеры, 1-й Измаильский переулок, дом 4",бендеры||1-й измаильский переулок|4,3,5.16,4.83,7.5221,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515864766,w,515864766,Бендеры,,1-й Измаильский переулок,5,"Бендеры, 1-й Измаильский переулок, дом 5",бендеры||1-й измаильский переулок|5,3,4.994,4.664,7.3561,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863622,w,515863622,Бендеры,,1-й Измаильский переулок,6,"Бендеры, 1-й Измаильский переулок, дом 6",бендеры||1-й измаильский переулок|6,3,5.185,4.855,7.547,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515864767,w,515864767,Бендеры,,1-й Измаильский переулок,7,"Бендеры, 1-й Измаильский переулок, дом 7",бендеры||1-й измаильский переулок|7,3,5.009,4.679,7.3711,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863618,w,515863618,Бендеры,,1-й Измаильский переулок,8,"Бендеры, 1-й Измаильский переулок, дом 8",бендеры||1-й измаильский переулок|8,3,5.204,4.874,7.5663,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863636,w,515863636,Бендеры,,1-й Измаильский переулок,9,"Бендеры, 1-й Измаильский переулок, дом 9",бендеры||1-й измаильский переулок|9,3,5.024,4.695,7.3868,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515829316,w,515829316,Бендеры,,1-й Измаильский переулок,10,"Бендеры, 1-й Измаильский переулок, дом 10",бендеры||1-й измаильский переулок|10,3,5.226,4.896,7.5884,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863635,w,515863635,Бендеры,,1-й Измаильский переулок,11,"Бендеры, 1-й Измаильский переулок, дом 11",бендеры||1-й измаильский переулок|11,3,5.037,4.708,7.3998,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515862141,w,515862141,Бендеры,,1-й Измаильский переулок,12,"Бендеры, 1-й Измаильский переулок, дом 12",бендеры||1-й измаильский переулок|12,3,5.245,4.915,7.6073,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863633,w,515863633,Бендеры,,1-й Измаильский переулок,13,"Бендеры, 1-й Измаильский переулок, дом 13",бендеры||1-й измаильский переулок|13,3,5.052,4.722,7.4144,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863631,w,515863631,Бендеры,,1-й Измаильский переулок,15,"Бендеры, 1-й Измаильский переулок, дом 15",бендеры||1-й измаильский переулок|15,3,5.067,4.738,7.4299,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863629,w,515863629,Бендеры,,1-й Измаильский переулок,17,"Бендеры, 1-й Измаильский переулок, дом 17",бендеры||1-й измаильский переулок|17,3,5.082,4.753,7.4447,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863628,w,515863628,Бендеры,,1-й Измаильский переулок,19,"Бендеры, 1-й Измаильский переулок, дом 19",бендеры||1-й измаильский переулок|19,3,5.098,4.768,7.46,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863627,w,515863627,Бендеры,,1-й Измаильский переулок,21,"Бендеры, 1-й Измаильский переулок, дом 21",бендеры||1-й измаильский переулок|21,3,5.112,4.782,7.4743,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863626,w,515863626,Бендеры,,1-й Измаильский переулок,23,"Бендеры, 1-й Измаильский переулок, дом 23",бендеры||1-й измаильский переулок|23,3,5.126,4.796,7.4886,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863625,w,515863625,Бендеры,,1-й Измаильский переулок,25,"Бендеры, 1-й Измаильский переулок, дом 25",бендеры||1-й измаильский переулок|25,3,5.14,4.81,7.5024,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
w515863624,w,515863624,Бендеры,,1-й Измаильский переулок,27,"Бендеры, 1-й Измаильский переулок, дом 27",бендеры||1-й измаильский переулок|27,3,5.157,4.827,7.5195,standard,verified_osm_address,osrm_road_km_0.85_0.15 | K=4 Scenario A (owner-approved),moldova-pbf:09ba0c058e89,False,True
