settlement_ru,district_ru,street_ru,confirmed_houses,unaddressed_objects,zones,split_street,service_status,disputed_addresses,owner_review_objects
Бендеры,,1-й Братский переулок,5,22,2,False,standard,0,0
Бендеры,,1-й Измаильский переулок,39,12,3,False,standard,0,0
Бендеры,,1-й переулок Петровского,8,6,2,False,standard,0,0
Бендеры,,2-й Береговой переулок,3,4,1,False,standard,0,0
Бендеры,,2-й Братский переулок,8,13,2,False,standard,0,0
Бендеры,,2-й Измаильский переулок,17,4,3,False,standard,0,0
Бендеры,,2-й переулок Петровского,6,9,2,False,standard,0,0
Бендеры,,3-й Индустриальный переулок,8,2,3,False,standard,0,0
Бендеры,,4-й Береговой переулок,5,6,1,False,standard,0,0
Бендеры,,Безымянный переулок,7,4,3|4,True,standard,0,0
Бендеры,,Бельцкая улица,46,36,2|3|4,True,standard,2,2
Бендеры,,Братская улица,9,17,2,False,standard,0,0
Бендеры,,Варницкий переулок,7,4,3,False,standard,0,0
Бендеры,,Варницкий тупик,5,12,3,False,standard,0,0
Бендеры,,Восточная улица,8,5,3,False,standard,0,0
Бендеры,,Восточный переулок,8,3,3,False,standard,0,0
Бендеры,,Гвардейская улица,20,7,3,False,standard,0,0
Бендеры,,Гербовецкая улица,18,12,3|4,True,standard,0,0
Бендеры,,Главная улица,2,5,3,False,standard,0,0
Бендеры,,Глинная улица,5,4,3,False,standard,0,0
Бендеры,,Дачная улица,6,2,3,False,standard,0,0
Бендеры,,Деповская улица,1,28,4,False,standard,0,0
Бендеры,,Донецкая улица,30,11,2,False,standard,0,0
Бендеры,,Дубоссарская улица,26,21,2,False,standard,0,0
Бендеры,,Железнодорожная улица,74,42,3,False,standard,4,4
Бендеры,,Железнодорожный тупик,4,8,3,False,standard,0,0
Бендеры,,Загородная улица,49,21,2,False,standard,1,1
Бендеры,,Индустриальная улица,57,69,2|3,True,standard,7,7
Бендеры,,Кагульская улица,7,4,3|4,True,standard,0,0
Бендеры,,Карпатская улица,4,4,1,False,standard,0,0
Бендеры,,Каховская улица,23,5,3,False,standard,0,0
Бендеры,,Каховский тупик,10,9,3,False,standard,0,0
Бендеры,,Киевская улица,31,14,3,False,standard,4,4
Бендеры,,Киркаештская улица,10,5,3,False,standard,0,0
Бендеры,,Кирпичная улица,29,16,1|2,True,standard,0,0
Бендеры,,Кирпичный переулок,6,12,2,False,standard,0,0
Бендеры,,Кицканская улица,1,12,3,False,standard,0,0
Бендеры,,Кицканский переулок,16,20,2|3,True,standard,0,0
Бендеры,,Кишинёвская улица,23,42,2|4,True,standard,0,0
Бендеры,,Кишинёвский переулок,3,9,4,False,standard,0,0
Бендеры,,Кишинёвский тупик,10,12,2|3,True,standard,0,0
Бендеры,,Колодезная улица,12,9,1|2,True,standard,0,0
Бендеры,,Колодезный переулок,17,13,1|2,True,standard,0,0
Бендеры,,Коммунистическая улица,141,133,1|2|3,True,standard,4,4
Бендеры,,Комсомольская улица,72,84,1,False,standard,13,13
Бендеры,,Кооперативный тупик,2,6,2,False,standard,0,0
Бендеры,,Красноармейская улица,21,5,3,False,standard,0,0
Бендеры,,Красноармейский переулок,14,6,3,False,standard,0,0
Бендеры,,Ленинградская улица,26,27,2|3,True,standard,1,1
Бендеры,,Лесовой переулок,6,2,4,False,standard,0,0
Бендеры,,Мельничный переулок,3,3,1,False,standard,0,0
Бендеры,,Молдавская улица,25,28,1,False,standard,3,3
Бендеры,,Молодёжная улица,9,12,3,False,standard,0,0
Бендеры,,Московская улица,52,57,1,False,standard,6,6
Бендеры,,Новый проезд,9,39,3|4,True,standard,0,0
