uid,housenumber,lat,lon,old_distance_km,old_zone,corrected_central_km,corrected_bam_km,corrected_outer_km,corrected_weighted_km,candidate_new_zone,zone_changes,route_entry,corridor_km_via_putepovod,uses_confirmed_corridor,address_anchor_status,service_status,basis,owner_review_required
w209267167,1,46.83524,29.46735,5.886,4,4.5631,1.2304,3.0115,4.1522,3,да,южный/иной коридор,5.6244,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w316027129,3,46.8346,29.46786,5.761,4,4.5272,1.1946,2.9757,4.1164,3,да,южный/иной коридор,5.5886,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
n2334331709,4,46.83117,29.47257,6.443,4,4.9137,1.5811,3.3622,4.5029,3,да,южный/иной коридор,5.9751,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w316027128,5,46.83482,29.46799,5.767,4,4.5161,1.1834,2.9645,4.1053,3,да,южный/иной коридор,5.5775,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w316027126,7,46.83465,29.46752,5.762,4,4.5591,1.2264,3.0075,4.1482,3,да,южный/иной коридор,5.6204,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w303915656,8,46.83145,29.47282,6.476,4,4.9433,1.6106,3.3917,4.5325,3,да,южный/иной коридор,6.0047,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w316027125,9,46.83504,29.46751,5.744,4,4.5512,1.2185,2.9996,4.1403,3,да,южный/иной коридор,5.6125,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w303915657,10,46.8313,29.47251,6.448,4,4.9142,1.5815,3.3626,4.5034,3,да,южный/иной коридор,5.9756,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w303915659,12,46.8315,29.47231,6.377,4,4.8589,1.5262,3.3073,4.448,3,да,южный/иной коридор,5.9202,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w303915660,14,46.83163,29.47257,6.414,4,4.8868,1.5541,3.3352,4.476,3,да,южный/иной коридор,5.9482,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
n2334331706,16,46.83164,29.47203,6.352,4,4.8306,1.4979,3.279,4.4197,3,да,южный/иной коридор,5.8919,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w209267130,1а,46.83428,29.46736,5.805,4,4.6055,1.2729,3.054,4.1947,3,да,южный/иной коридор,5.6669,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w209267161,1б,46.83457,29.46711,5.788,4,4.5842,1.2515,3.0326,4.1733,3,да,южный/иной коридор,5.6455,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
n2334331710,20,46.83202,29.47169,6.34,4,4.8078,1.4751,3.2562,4.3969,3,да,южный/иной коридор,5.8692,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
n2334331711,24,46.83221,29.4715,6.277,4,4.7579,1.4252,3.2063,4.347,3,да,южный/иной коридор,5.8192,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w316027473,54,46.83443,29.46919,4.036,2,4.3996,1.0669,2.848,3.9888,2,нет,южный/иной коридор,5.461,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
w316027884,60,46.83502,29.46855,5.956,4,4.4737,1.141,2.9221,4.0628,2,да,южный/иной коридор,5.535,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
n2325366591,76,46.83618,29.46716,5.791,4,4.645,1.3123,3.0934,4.2342,3,да,южный/иной коридор,5.7064,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
n4886201637,78,46.83651,29.46737,5.783,4,4.6337,1.301,3.0822,4.2229,3,да,южный/иной коридор,5.6951,нет,not_compared,standard,"distance-optimized edge-valid engine (Stage 10D), origin weights 0.85 central / 0.10 BAM / 0.05 outer — same weighting as expected_km",True
