uid,housenumber,old_zone,new_zone,computed_zone,old_distance_km,corrected_weighted_km,corrected_central_km,borderline,address_anchor_status,basis,owner_review_required
w209267167,1,4,3,3,5.886,4.1522,4.5631,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w316027129,3,4,3,3,5.761,4.1164,4.5272,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n2334331709,4,4,3,3,6.443,4.5029,4.9137,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w316027128,5,4,3,3,5.767,4.1053,4.5161,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w316027126,7,4,3,3,5.762,4.1482,4.5591,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w303915656,8,4,3,3,6.476,4.5325,4.9433,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w316027125,9,4,3,3,5.744,4.1403,4.5512,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w303915657,10,4,3,3,6.448,4.5034,4.9142,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w303915659,12,4,3,3,6.377,4.448,4.8589,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w303915660,14,4,3,3,6.414,4.476,4.8868,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n2334331706,16,4,3,3,6.352,4.4197,4.8306,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w209267130,1а,4,3,3,5.805,4.1947,4.6055,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w209267161,1б,4,3,3,5.788,4.1733,4.5842,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n2334331710,20,4,3,3,6.34,4.3969,4.8078,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n2334331711,24,4,3,3,6.277,4.347,4.7579,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
w316027884,60,4,3,2,5.956,4.0628,4.4737,"да — вычисляется Zone 2, назначен разрешённый Zone 3",SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n2325366591,76,4,3,3,5.791,4.2342,4.645,нет,SAME_ROAD_SEGMENT_AS_YANDEX_LABEL,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n4886201637,78,4,3,3,5.783,4.2229,4.6337,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n5172819425,8/1,4,3,3,6.434,4.4905,4.9013,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n5172818452,8/2,4,3,3,6.443,4.5014,4.9123,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n5172818844,12/3,4,3,3,6.37,4.4378,4.8487,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
n5172818456,34/2,4,3,3,6.158,4.2291,4.6399,нет,not_compared,manual Yandex control (4.828 km via the Р2 путепровод) + distance-optimized edge-valid engine (Stage 10D); the old value came from a fastest-by-duration OSRM route of 6.565 km,True
