control_id,our_address,yandex_destination_label,yandex_destination_street,yandex_destination_house,destination_lat,destination_lon,flag,possible_cause,action,owner_review_required
MY-002,Кишинёвская улица 1,"Кишинёвская улица, 13",Кишинёвская улица,13,46.83524,29.46735,HOUSE_NUMBER_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-X01,Борисовка: Титова,"улица Титова, 62",улица Титова,62,46.84045,29.47431,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-003,улица Павлика Морозова 12,микрорайон Борисовка,микрорайон Борисовка,,46.83333,29.45134,SETTLEMENT_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-070,улица Бориса Главана 5а,"улица Бориса Главана, 5A",улица Бориса Главана,5A,46.81723,29.45868,HOUSE_NUMBER_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-085,улица Старого 128,"улица Бендерского Восстания, 128",улица Бендерского Восстания,128,46.82183,29.46083,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-X02,Хомутяновка: Московская,"улица Суворова, 42",улица Суворова,42,46.82075,29.48213,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-X03,Хомутяновка: Первомайская,"улица Суворова, 123",улица Суворова,123,46.81492,29.48,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-X04,Хомутяновка: Некрасова,"улица Суворова, 159",улица Суворова,159,46.80904,29.48073,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-023,улица Ленина 1,"улица Ленина, 3",улица Ленина,3,46.83471,29.50995,HOUSE_NUMBER_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-018,улица Суворова 79,"улица 40 лет МССР, 79",улица 40 лет МССР,79,46.79347,29.47698,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-055,Strada Dimitrie Cantemir 11,микрорайон Северный,микрорайон Северный,,46.88045,29.47674,SETTLEMENT_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-056,Strada Tighina 31/2,село Варница,село Варница,,46.8774,29.4757,SETTLEMENT_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-061,Strada Tighina 31/7,село Варница,село Варница,,46.87594,29.47546,SETTLEMENT_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-011,улица Ленина 329,улица Ленина,улица Ленина,,46.78922,29.40238,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-001,Варницкий тупик 1,Варницкий тупик,Варницкий тупик,,46.84126,29.4639,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-006,улица Бориса Главана 22а,Госпитальная улица,Госпитальная улица,,46.78254,29.44565,STREET_NAME_VARIANT;ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-007,улица Бориса Главана 27,село Гиска,село Гиска,,46.78277,29.44638,SETTLEMENT_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-008,улица Ленина 102,улица Ленина,улица Ленина,,46.78265,29.44423,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-009,улица Ленина 296,улица Ленина,улица Ленина,,46.78939,29.40243,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-010,улица Ленина 313,улица Ленина,улица Ленина,,46.78846,29.40535,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-012,улица Ленина 59,улица Ленина,улица Ленина,,46.78737,29.4486,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
