district,confirmed_entry_street,control_id,entry_evidence,confidence,source,owner_review_required
Протягайловка,Первомайская улица,MY-050,геометрия улицы пересекает границу «Протягайловка»; пересекающих улиц в маршруте: 3,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-023,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-018,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Ленина,MY-011,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 1,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-005,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 2,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-006,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 3,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-007,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 3,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-008,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 2,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-009,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 3,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-010,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 3,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-012,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 1,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-013,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 3,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-016,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 2,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-019,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Гиска,улица Суворова,MY-020,геометрия улицы пересекает границу «Гиска»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-021,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 6,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-022,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-024,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-025,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-026,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 6,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-027,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 6,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-028,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 5,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-029,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 7,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-030,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 7,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-031,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 7,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-032,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 7,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Парканы,улица Сергея Лазо,MY-034,геометрия улицы пересекает границу «Парканы»; пересекающих улиц в маршруте: 6,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
Протягайловка,Первомайская улица,MY-035,геометрия улицы пересекает границу «Протягайловка»; пересекающих улиц в маршруте: 2,CONFIRMED,ручной замер в веб-интерфейсе Яндекс Карт + геометрия границы,True
