control_id,label,our_address,district,destination_lat,destination_lon,checked_date,manual_batch_id,yandex_destination_label,yandex_units_displayed,yandex_fastest_distance_mi,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_shortest_distance_mi,yandex_shortest_distance_km,yandex_shortest_duration_min,yandex_variant_count,yandex_main_streets,yandex_destination_street,yandex_destination_house,manual_entry_street,manual_entry_previous_street,manual_entry_next_street,manual_entry_landmark,manual_entry_evidence,manual_entry_method,manual_entry_confidence,yandex_district_entry_evidence,yandex_district_entry_confidence,yandex_district_entry,yandex_bridge_or_rail,yandex_uturn,matches_owner_corridor,current_osrm_km,yandex_minus_osrm_km,divergence_pct,calibration_status,notes,owner_review_required,matched_control_distance_m
MY-002,Борисовка: Кишинёвская 1,Кишинёвская улица 1,Борисовка,46.83524,29.46735,2026-07-26,,"Кишинёвская улица, 13",мили (yandex.com),3.0,4.828,8,2.9,4.6671,9,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; Р2; улица Петровского; улица Зои Космодемьянской; улица Титова; Кишинёвская улица,Кишинёвская улица,13,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,да,не определено,6.565,-1.737,36.0,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,разворот (U-turn) на улице Петровского; маршрут идёт по Р2 (Кишинёв-Тирасполь) — северный путепровод,True,0.0
MY-X01,Борисовка: Титова,Борисовка: Титова,,46.84045,29.47431,2026-07-26,,"улица Титова, 62",мили (yandex.com),2.82,4.5384,7,2.93,4.7154,7,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; Р2; улица Петровского; улица Зои Космодемьянской; Бельцкая улица,улица Титова,62,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,да,не определено,3.51,1.028,22.7,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,разворот; через Р2 (северный путепровод),True,
MY-003,Борисовка: дальняя часть (рынок),улица Павлика Морозова 12,Борисовка,46.83333,29.45134,2026-07-26,,микрорайон Борисовка,мили (yandex.com),4.2,6.7592,12,4.2,6.7592,12,3,улица Сергея Лазо; Коммунистическая улица; улица Ечина; улица Григория Старого; улица Иона Крянгэ; улица 50 лет ВЛКСМ; улица Павлика Морозова,микрорайон Борисовка,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,да,не определено,7.268,-0.509,7.5,ENGINE_MATCHES_MANUAL_CONTROL,"ЮЖНЫЙ коридор через Ечина/Григория Старого, НЕ через Р2; без разворота",True,0.0
MY-079,Хомутяновка: Пивзавод (ближайший дом),улица Космонавтов 39,Хомутяновка,46.8003,29.47484,2026-07-26,,"улица Космонавтов, 39",мили (yandex.com),2.06,3.3152,6,2.51,4.0395,8,3,улица Сергея Лазо; улица Суворова; улица 40 лет МССР; улица Космонавтов,улица Космонавтов,39,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,да,не определено,3.193,0.122,3.7,ENGINE_MATCHES_MANUAL_CONTROL,без разворота; прямой южный выезд,True,0.0
MY-070,Хомутяновка: Главана,улица Бориса Главана 5а,Хомутяновка,46.81723,29.45868,2026-07-26,,"улица Бориса Главана, 5A",мили (yandex.com),2.77,4.4579,7,2.59,4.1682,8,3,улица Сергея Лазо; улица Суворова; Комсомольская улица; Коммунистическая улица; улица Ечина,улица Бориса Главана,5A,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,4.276,0.182,4.1,ENGINE_MATCHES_MANUAL_CONTROL,через Ечина; альтернатива короче (2.59 ми) но медленнее,True,0.0
MY-085,Хомутяновка: Старого,улица Старого 128,Хомутяновка,46.82183,29.46083,2026-07-26,,"улица Бендерского Восстания, 128",мили (yandex.com),3.3,5.3108,8,3.2,5.1499,9,3,улица Сергея Лазо; Коммунистическая улица; улица Ечина; улица Григория Старого; Железнодорожная улица; улица Добродеева; улица Бендерского Восстания,улица Бендерского Восстания,128,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,4.787,0.524,9.9,ENGINE_MATCHES_MANUAL_CONTROL,"РАСХОЖДЕНИЕ АДРЕСА: у нас 'улица Старого 128', Яндекс: 'улица Бендерского Восстания, 128'. Улица Старого у Яндекса = 'улица Григория Старого'",True,0.0
MY-X02,Хомутяновка: Московская,Хомутяновка: Московская,,46.82075,29.48213,2026-07-26,,"улица Суворова, 42",мили (yandex.com),0.35,0.5633,2,0.35,0.5633,2,1,улица Сергея Лазо; улица Суворова,улица Суворова,42,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,0.447,0.116,20.6,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,"РАСХОЖДЕНИЕ АДРЕСА: у нас 'Московская улица 42', Яндекс: 'улица Суворова, 42'",True,
MY-X03,Хомутяновка: Первомайская,Хомутяновка: Первомайская,,46.81492,29.48,2026-07-26,,"улица Суворова, 123",мили (yandex.com),0.76,1.2231,3,0.76,1.2231,3,1,улица Сергея Лазо; улица Суворова,улица Суворова,123,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,1.113,0.11,9.0,ENGINE_MATCHES_MANUAL_CONTROL,"РАСХОЖДЕНИЕ АДРЕСА: у нас 'Первомайская улица 123', Яндекс: 'улица Суворова, 123'",True,
MY-X04,Хомутяновка: Некрасова,Хомутяновка: Некрасова,,46.80904,29.48073,2026-07-26,,"улица Суворова, 159",мили (yandex.com),1.18,1.899,4,1.64,2.6393,6,2,улица Сергея Лазо; улица Суворова,улица Суворова,159,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,1.793,0.106,5.6,ENGINE_MATCHES_MANUAL_CONTROL,"РАСХОЖДЕНИЕ АДРЕСА: у нас 'улица Некрасова 159', Яндекс: 'улица Суворова, 159'",True,
MY-050,Протягайловка: Мира,улица Мира 4,Протягайловка,46.81843,29.45364,2026-07-26,,"улица Мира, 4",мили (yandex.com),3.1,4.989,9,3.1,4.989,9,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Бориса Главана; улица Куйбышева; переулок Куйбышева; улица Мира,улица Мира,4,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,4.9,0.089,1.8,ENGINE_MATCHES_MANUAL_CONTROL,ПОДТВЕРЖДАЕТ owner-коридор Протягайловки: Ечина -> Главана -> ... -> Мира,True,0.0
MY-023,Парканы: начало,улица Ленина 1,Парканы,46.83471,29.50995,2026-07-26,,"улица Ленина, 3",мили (yandex.com),2.04,3.2831,6,2.12,3.4118,6,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Ленина,улица Ленина,3,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,да,не определено,3.166,0.117,3.6,ENGINE_MATCHES_MANUAL_CONTROL,без разворота; въезд по Ленина/Котовского,True,0.0
MY-018,Гиска: начало,улица Суворова 79,Гиска,46.79347,29.47698,2026-07-26,,"улица 40 лет МССР, 79",мили (yandex.com),3.2,5.1499,9,3.2,5.1499,9,1,улица Сергея Лазо; улица Суворова; улица 40 лет МССР; улица Мира; улица Кирова; улица 40 лет МССР,улица 40 лет МССР,79,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.66,1.49,28.9,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,"РАСХОЖДЕНИЕ АДРЕСА: у нас 'улица Суворова 79', Яндекс: 'улица 40 лет МССР, 79'",True,0.0
