control_id,uid,district,target_district,street,housenumber,destination_lat,destination_lon,control_reason,checked_date,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_alternative_distance_km,yandex_alternative_duration_min,yandex_main_streets,yandex_district_entry,yandex_rail_crossing_or_bridge,matches_owner_corridor,current_zone,current_osrm_km,our_engine_km,expected_entry_our_engine,yandex_minus_osrm_km,yandex_osrm_ratio,calibration_status,owner_review_required
MY-001,n2325729718,Борисовка,Борисовка,Варницкий тупик,1,46.84126,29.4639,ранее проверенный контроль Борисовки (Stage 09C),,,,,,,,,,3,4.5645,4.3386,Бор-054 Кишинёвская улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-002,w209267167,Борисовка,Борисовка,Кишинёвская улица,1,46.83524,29.46735,ранее проверенный контроль Борисовки: путепровод,,,,,,,,,,4,6.5654,4.5631,Бор-086 улица Бендерского Восстания,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-003,w442395879,Борисовка,Борисовка,улица Павлика Морозова,12,46.83333,29.45134,ранее проверенный контроль Борисовки (Stage 09C),,,,,,,,,,4,7.2683,6.2502,Бор-087,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-004,n2325402378,Борисовка,Борисовка,улица Петровского,17,46.84066,29.47281,ранее проверенный контроль Борисовки (Stage 09C),,,,,,,,,,2,3.5015,3.4984,Бор-056,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-005,w222871674,Гиска,Гиска,Студенческая улица,8,46.79873,29.45711,дом у въезда Гис-017 (улица Ленина); дом у въезда Гис-022 (без имени),,,,,,,,,,3,4.6932,4.5794,Гис-017 улица Ленина,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-006,n2321749464,Гиска,Гиска,улица Бориса Главана,22а,46.78254,29.44565,3 средних,,,,,,,,,,4,5.8633,5.8287,Гис-017 улица Ленина,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-007,n2321749463,Гиска,Гиска,улица Бориса Главана,27,46.78277,29.44638,3 средних,,,,,,,,,,4,5.86,5.8424,Гис-017 улица Ленина,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-008,n2321749493,Гиска,Гиска,улица Ленина,102,46.78265,29.44423,3 средних,,,,,,,,,,4,5.8779,5.854,Гис-017 улица Ленина,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-009,n2341956746,Гиска,Гиска,улица Ленина,296,46.78939,29.40243,3 самых дальних,,,,,,,,,,4,9.3699,9.3334,Гис-023 Strada Ștefan cel Mare și Sfânt,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-010,n2341956745,Гиска,Гиска,улица Ленина,313,46.78846,29.40535,3 самых дальних,,,,,,,,,,4,9.1248,9.0921,Гис-023 Strada Ștefan cel Mare și Sfânt,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-011,n2341956747,Гиска,Гиска,улица Ленина,329,46.78922,29.40238,3 самых дальних,,,,,,,,,,4,9.3712,9.336,Гис-023 Strada Ștefan cel Mare și Sfânt,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-012,n2321749431,Гиска,Гиска,улица Ленина,59,46.78737,29.4486,граница Zone3/4,,,,,,,,,,3,5.2532,5.3161,Гис-017 улица Ленина,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-013,w367553908,Гиска,Гиска,улица Мира,32,46.79034,29.47627,дом у въезда Гис-018 (улица Мира),,,,,,,,,,3,4.0197,4.0269,Гис-018 улица Мира,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-014,w353619682,Гиска,Гиска,улица Суворова,16а,46.7923,29.47623,дом у въезда Гис-019 (улица Суворова),,,,,,,,,,3,3.8385,3.8443,Гис-019 улица Суворова,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-015,w256882651,Гиска,Гиска,улица Суворова,21,46.79263,29.4602,граница Zone3/4,,,,,,,,,,4,5.2621,5.2343,Гис-017 улица Ленина,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-016,w353619672,Гиска,Гиска,улица Суворова,6,46.79347,29.47629,3 ближайших к центру; дом у въезда Гис-020 (без имени),,,,,,,,,,2,3.6601,3.667,Гис-019 улица Суворова,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-017,w446100566,Гиска,Гиска,улица Суворова,6,46.79258,29.47492,3 ближайших к центру,,,,,,,,,,2,3.9425,3.9468,Гис-019 улица Суворова,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-018,w353817270,Гиска,Гиска,улица Суворова,79,46.79347,29.47698,3 ближайших к центру,,,,,,,,,,2,3.6598,3.6667,Гис-019 улица Суворова,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-019,w353818414,Гиска,Гиска,улица Суворова,87,46.79272,29.47697,граница Zone2/3,,,,,,,,,,2,3.7429,3.7493,Гис-019 улица Суворова,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-020,w353818415,Гиска,Гиска,улица Суворова,89,46.79262,29.47698,граница Zone2/3,,,,,,,,,,3,3.754,3.7604,Гис-019 улица Суворова,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
