uid,osm_type,osm_id,settlement,kind,housenumber,cluster_id,cluster_size,nearest_serviceable_road_m,lon,lat,flag,status
n9271467507,n,9271467507,bender_core,address,2,79,56,305.6,29.48749,46.8338,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1215604333,w,1215604333,bender_core,unaddressed_building,,79,56,284.2,29.48788,46.83362,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1292294499,w,1292294499,bender_core,unaddressed_building,,79,56,389.2,29.48734,46.83455,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1292294500,w,1292294500,bender_core,unaddressed_building,,79,56,407.3,29.48712,46.8347,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1292294501,w,1292294501,bender_core,unaddressed_building,,79,56,415.6,29.48758,46.83481,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1292294502,w,1292294502,bender_core,unaddressed_building,,79,56,426.1,29.48757,46.8349,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1374827653,w,1374827653,bender_core,unaddressed_building,,79,56,374.8,29.48742,46.83443,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1428096037,w,1428096037,bender_core,unaddressed_building,,79,56,425.6,29.48838,46.83489,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w1428096038,w,1428096038,bender_core,unaddressed_building,,79,56,407.4,29.48841,46.83473,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w293181394,w,293181394,bender_core,unaddressed_building,,79,56,388.9,29.48618,46.83437,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w293181397,w,293181397,bender_core,unaddressed_building,,79,56,394.5,29.48521,46.83476,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w295115441,w,295115441,bender_core,unaddressed_building,,79,56,342.8,29.48685,46.83407,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w295115442,w,295115442,bender_core,unaddressed_building,,79,56,415.8,29.4858,46.83462,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w303916706,w,303916706,bender_core,unaddressed_building,,79,56,385.4,29.48535,46.83455,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
w823856925,w,823856925,bender_core,unaddressed_building,,79,56,319.1,29.48776,46.83394,possible_missing_or_unnamed_access_road,excluded_pending_owner_review
