uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,in_city_km,outside_city_km,raw_km_A,eq_km_A,eq_km_B,recalculated_zone_A,recalculated_zone_B,reason_A
n4919312070,Бендеры,Борисовка,1-й Братский переулок,1 А,2,4.2784,0.0,3.7834,3.7786,3.868,2,2,stable
w319402241,Бендеры,Борисовка,1-й Братский переулок,12,2,4.2337,0.0,3.7387,3.7339,3.8233,2,2,stable
w319305814,Бендеры,Борисовка,1-й Братский переулок,14,2,4.2037,0.0,3.7086,3.7039,3.7933,2,2,stable
n2325729678,Бендеры,Борисовка,1-й Братский переулок,16,2,4.3777,0.0,3.8829,3.8779,3.9673,2,2,stable
n2325729685,Бендеры,Борисовка,1-й Братский переулок,23,2,4.384,0.0,3.8892,3.8842,3.9736,2,2,stable
w515864768,Бендеры,Шёлковый,1-й Измаильский переулок,3,3,4.6332,0.0,5.037,5.0366,4.9626,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863623,Бендеры,Шёлковый,1-й Измаильский переулок,4,3,4.8301,0.0,5.2339,5.2335,5.1595,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864766,Бендеры,Шёлковый,1-й Измаильский переулок,5,3,4.6638,0.0,5.0676,5.0672,4.9932,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863622,Бендеры,Шёлковый,1-й Измаильский переулок,6,3,4.8542,0.0,5.2581,5.2576,5.1836,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864767,Бендеры,Шёлковый,1-й Измаильский переулок,7,3,4.6791,0.0,5.0829,5.0825,5.0085,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863618,Бендеры,Шёлковый,1-й Измаильский переулок,8,3,4.874,0.0,5.2779,5.2774,5.2034,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863636,Бендеры,Шёлковый,1-й Измаильский переулок,9,3,4.6949,0.0,5.0987,5.0983,5.0243,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515829316,Бендеры,Шёлковый,1-й Измаильский переулок,10,3,4.8963,0.0,5.3002,5.2997,5.2257,2,2,shorter fastest valid route than catalog basis -> cheaper zone
