uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,why,fastest_distance_km,fastest_duration_s,min_alt_distance_km,n_alternatives,straight_line_km,detour_ratio,in_city_km,outside_city_km,snap_distance_m,nearest_road_highway,flags,verdict
n4919312070,Бендеры,Борисовка,1-й Братский переулок,1 А,2,district_Борисовка,4.2837,396.4,4.2837,0,2.175,1.969,4.2784,0.0,16.8,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319402241,Бендеры,Борисовка,1-й Братский переулок,12,2,district_Борисовка,4.239,390,4.239,0,2.142,1.979,4.2337,0.0,13.7,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319305814,Бендеры,Борисовка,1-й Братский переулок,14,2,district_Борисовка,4.2089,380.2,4.2089,0,2.132,1.974,4.2037,0.0,14.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325729678,Бендеры,Борисовка,1-й Братский переулок,16,2,district_Борисовка,4.3832,410.8,4.3832,0,2.279,1.923,4.3777,0.0,14.7,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325729685,Бендеры,Борисовка,1-й Братский переулок,23,2,district_Борисовка,4.3895,411.7,4.3895,0,2.276,1.928,4.384,0.0,16.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319141459,Бендеры,Борисовка,1-й переулок Петровского,1,2,district_Борисовка,3.9248,374.1,3.9248,0,2.148,1.827,3.9203,0.0,13.2,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319141457,Бендеры,Борисовка,1-й переулок Петровского,3,2,district_Борисовка,3.9567,378.7,3.9567,0,2.137,1.852,3.9522,0.0,13.8,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319615907,Бендеры,Борисовка,1-й переулок Петровского,4,2,district_Борисовка,3.9369,375.9,3.9369,0,2.174,1.811,3.9324,0.0,18.7,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319615909,Бендеры,Борисовка,1-й переулок Петровского,6,2,district_Борисовка,3.9552,378.5,3.9552,0,2.163,1.829,3.9507,0.0,13.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319402243,Бендеры,Борисовка,1-й переулок Петровского,10,2,district_Борисовка,4.1477,380.2,4.1477,0,2.153,1.926,4.1428,0.0,20.2,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319141434,Бендеры,Борисовка,1-й переулок Петровского,11,2,district_Борисовка,4.2061,379.8,4.2061,0,2.103,2.0,4.2009,0.0,15.5,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319227866,Бендеры,Борисовка,1-й переулок Петровского,16,2,district_Борисовка,4.1841,376.7,4.1841,0,2.132,1.963,4.1789,0.0,21.4,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325366583,Бендеры,Борисовка,1-й переулок Петровского,29,2,district_Борисовка,4.1587,373,4.1587,0,2.109,1.972,4.1535,0.0,5.2,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319305819,Бендеры,Борисовка,2-й Братский переулок,1,2,district_Борисовка,4.0201,389.9,4.0201,0,2.187,1.838,4.0155,0.0,14.7,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
