uid,settlement_ru,district_ru,street_ru,housenumber,lat,lon,snap_distance_m,snapped_name,nearest_road_name,nearest_road_highway,nearest_road_dist_m
n4919312070,Бендеры,Борисовка,1-й Братский переулок,1 А,46.83975,29.46641,16.8,1-й Братский переулок,1-й Братский переулок,residential,18.4
w319402241,Бендеры,Борисовка,1-й Братский переулок,12,46.83973,29.46712,13.7,1-й Братский переулок,1-й Братский переулок,residential,15.3
w319305814,Бендеры,Борисовка,1-й Братский переулок,14,46.83952,29.46691,14.3,1-й переулок Петровского,1-й Братский переулок,residential,16.0
n2325729678,Бендеры,Борисовка,1-й Братский переулок,16,46.84051,29.46561,14.7,1-й Братский переулок,1-й Братский переулок,residential,16.7
n2325729685,Бендеры,Борисовка,1-й Братский переулок,23,46.84032,29.4653,16.3,1-й Братский переулок,1-й Братский переулок,residential,17.7
w319141459,Бендеры,Борисовка,1-й переулок Петровского,1,46.84028,29.4682,13.2,1-й переулок Петровского,1-й переулок Петровского,residential,16.3
w319141457,Бендеры,Борисовка,1-й переулок Петровского,3,46.84005,29.46795,13.8,1-й переулок Петровского,1-й переулок Петровского,residential,17.3
w319615907,Бендеры,Борисовка,1-й переулок Петровского,4,46.84037,29.46777,18.7,1-й переулок Петровского,1-й переулок Петровского,residential,22.6
w319615909,Бендеры,Борисовка,1-й переулок Петровского,6,46.84021,29.46768,13.3,1-й переулок Петровского,1-й переулок Петровского,residential,15.8
w319402243,Бендеры,Борисовка,1-й переулок Петровского,10,46.83991,29.46725,20.2,1-й переулок Петровского,1-й переулок Петровского,residential,24.8
w319141434,Бендеры,Борисовка,1-й переулок Петровского,11,46.83934,29.4672,15.5,1-й переулок Петровского,1-й переулок Петровского,residential,19.4
w319227866,Бендеры,Борисовка,1-й переулок Петровского,16,46.83938,29.46664,21.4,1-й переулок Петровского,1-й переулок Петровского,residential,25.8
n2325366583,Бендеры,Борисовка,1-й переулок Петровского,29,46.83911,29.46661,5.2,1-й переулок Петровского,1-й переулок Петровского,residential,5.9
w319305819,Бендеры,Борисовка,2-й Братский переулок,1,46.84019,29.46706,14.7,2-й Братский переулок,2-й Братский переулок,residential,16.5
n2325729693,Бендеры,Борисовка,2-й Братский переулок,2,46.84021,29.46734,0.0,2-й Братский переулок,2-й Братский переулок,residential,0.2
w319615908,Бендеры,Борисовка,2-й Братский переулок,3,46.84044,29.46666,11.0,2-й Братский переулок,2-й Братский переулок,residential,12.3
w351855709,Бендеры,Борисовка,2-й Братский переулок,5,46.8406,29.46625,15.8,2-й Братский переулок,2-й Братский переулок,residential,17.5
n4919312077,Бендеры,Борисовка,2-й Братский переулок,6 Б,46.84018,29.46759,8.8,2-й Братский переулок,2-й Братский переулок,residential,9.7
w351855710,Бендеры,Борисовка,2-й Братский переулок,7,46.84056,29.46604,29.0,2-й Братский переулок,2-й Братский переулок,residential,32.2
w351855713,Бендеры,Борисовка,2-й Братский переулок,9,46.84081,29.46587,14.7,2-й Братский переулок,2-й Братский переулок,residential,16.3
n2325729692,Бендеры,Борисовка,2-й Братский переулок,12,46.84097,29.46596,3.6,2-й Братский переулок,2-й Братский переулок,residential,4.1
w319141416,Бендеры,Борисовка,2-й переулок Петровского,4,46.83959,29.46828,21.9,2-й переулок Петровского,2-й переулок Петровского,residential,24.7
w319141422,Бендеры,Борисовка,2-й переулок Петровского,4,46.83919,29.46862,13.4,2-й переулок Петровского,2-й переулок Петровского,residential,19.3
w319141417,Бендеры,Борисовка,2-й переулок Петровского,5,46.83979,29.46769,13.0,2-й переулок Петровского,2-й переулок Петровского,residential,15.0
w319141418,Бендеры,Борисовка,2-й переулок Петровского,8,46.83973,29.4679,17.1,2-й переулок Петровского,2-й переулок Петровского,residential,19.6
n5708918557,Бендеры,Борисовка,2-й переулок Петровского,15,46.83952,29.46763,13.8,2-й переулок Петровского,2-й переулок Петровского,residential,14.7
w319139366,Бендеры,Борисовка,2-й переулок Петровского,45,46.8389,29.46863,9.1,2-й переулок Петровского,2-й переулок Петровского,residential,13.2
w317148593,Бендеры,Борисовка,Безымянный переулок,23,46.83218,29.46566,25.8,улица Бендерского Восстания,улица Бендерского Восстания,primary,36.1
w209273615,Бендеры,Борисовка,Безымянный переулок,42,46.8328,29.46519,27.4,улица Бендерского Восстания,улица Бендерского Восстания,primary,38.2
w317055539,Бендеры,Борисовка,Безымянный переулок,44,46.83267,29.46526,18.3,улица Бендерского Восстания,улица Бендерского Восстания,primary,25.6
w209273643,Бендеры,Борисовка,Безымянный переулок,46,46.83247,29.46516,19.6,улица Бендерского Восстания,улица Бендерского Восстания,primary,27.5
w209273632,Бендеры,Борисовка,Безымянный переулок,48,46.83237,29.46467,15.5,Безымянный переулок,Безымянный переулок,residential,16.0
w209273614,Бендеры,Борисовка,Безымянный переулок,50в,46.83211,29.46422,14.2,,Безымянный переулок,residential,22.1
w318090595,Бендеры,Борисовка,Безымянный переулок,63,46.83269,29.46339,21.8,Безымянный переулок,Безымянный переулок,residential,22.7
w319139357,Бендеры,Борисовка,Бельцкая улица,1,46.83796,29.46588,17.3,Бельцкая улица,Бельцкая улица,tertiary,17.7
w318185745,Бендеры,Борисовка,Бельцкая улица,2,46.83772,29.46673,12.4,Бельцкая улица,Бельцкая улица,tertiary,12.0
n4580309456,Бендеры,Борисовка,Бельцкая улица,3,46.83802,29.4661,23.2,Бельцкая улица,Бельцкая улица,tertiary,23.6
w318058451,Бендеры,Борисовка,Бельцкая улица,4,46.83776,29.46784,12.1,Бельцкая улица,Бельцкая улица,tertiary,11.8
w319139352,Бендеры,Борисовка,Бельцкая улица,5,46.83814,29.46626,35.8,Бельцкая улица,Бельцкая улица,tertiary,36.3
w319139353,Бендеры,Борисовка,Бельцкая улица,7,46.83802,29.46662,21.3,Бельцкая улица,Бельцкая улица,tertiary,21.7
w318058455,Бендеры,Борисовка,Бельцкая улица,8,46.83776,29.46809,13.0,Бельцкая улица,Бельцкая улица,tertiary,12.8
w319139349,Бендеры,Борисовка,Бельцкая улица,9,46.83813,29.46695,32.4,Бельцкая улица,Бельцкая улица,tertiary,32.7
n2325366580,Бендеры,Борисовка,Бельцкая улица,10,46.8378,29.46938,17.2,Бельцкая улица,Бельцкая улица,tertiary,17.4
w319139344,Бендеры,Борисовка,Бельцкая улица,11,46.83818,29.46734,36.5,Бельцкая улица,Бельцкая улица,tertiary,36.8
w319135683,Бендеры,Борисовка,Бельцкая улица,13,46.83802,29.46769,17.4,Бельцкая улица,Бельцкая улица,tertiary,17.6
