district,uid,entry_id,entry_road,entry_basis,via_distance_km,via_duration_s,unrestricted_distance_km,delta_km
Парканы,n2457589696,Пар-000,Бендерский мост,osm_admin_boundary,3.6258,266.1,3.6258,0.0
Парканы,n2457589696,Пар-001,Бендерский мост,osm_admin_boundary,6.6363,461.4,3.6258,3.0105
Парканы,n2457589696,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.7931,682.6,3.6258,4.1673
Парканы,n2457589696,Пар-003,,osm_admin_boundary,41.9001,3077.3,3.6258,38.2743
Парканы,n2457589696,Пар-005,,osm_admin_boundary,32.912,2954.2,3.6258,29.2862
Парканы,n2457589696,Пар-009,Парканы-Бычок,osm_admin_boundary,25.3437,1492.1,3.6258,21.7179
Парканы,n2457589696,Пар-010,,osm_admin_boundary,20.2196,2015.7,3.6258,16.5938
Парканы,n2457586882,Пар-000,Бендерский мост,osm_admin_boundary,3.5797,262.1,3.5797,0.0
Парканы,n2457586882,Пар-001,Бендерский мост,osm_admin_boundary,6.5902,457.4,3.5797,3.0105
Парканы,n2457586882,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.7748,677.3,3.5797,4.1951
Парканы,n2457586882,Пар-003,,osm_admin_boundary,41.8818,3072,3.5797,38.3021
Парканы,n2457586882,Пар-005,,osm_admin_boundary,32.8937,2948.9,3.5797,29.314
Парканы,n2457586882,Пар-009,Парканы-Бычок,osm_admin_boundary,25.2976,1488.1,3.5797,21.7179
Парканы,n2457586882,Пар-010,,osm_admin_boundary,20.2013,2010.4,3.5797,16.6216
Парканы,n2457586660,Пар-000,Бендерский мост,osm_admin_boundary,3.6046,264.2,3.6046,0.0
Парканы,n2457586660,Пар-001,Бендерский мост,osm_admin_boundary,6.6151,459.5,3.6046,3.0105
Парканы,n2457586660,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.772,680.7,3.6046,4.1674
Парканы,n2457586660,Пар-003,,osm_admin_boundary,41.8789,3075.4,3.6046,38.2743
Парканы,n2457586660,Пар-005,,osm_admin_boundary,32.8908,2952.3,3.6046,29.2862
Парканы,n2457586660,Пар-009,Парканы-Бычок,osm_admin_boundary,25.3226,1490.2,3.6046,21.718
Парканы,n2457586660,Пар-010,,osm_admin_boundary,20.1984,2013.8,3.6046,16.5938
Парканы,n2457586881,Пар-000,Бендерский мост,osm_admin_boundary,3.5572,260.1,3.5573,-0.0001
Парканы,n2457586881,Пар-001,Бендерский мост,osm_admin_boundary,6.5677,455.4,3.5573,3.0104
Парканы,n2457586881,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.7973,679.3,3.5573,4.24
Парканы,n2457586881,Пар-003,,osm_admin_boundary,41.9043,3074,3.5573,38.347
Парканы,n2457586881,Пар-005,,osm_admin_boundary,32.9162,2950.9,3.5573,29.3589
Парканы,n2457586881,Пар-009,Парканы-Бычок,osm_admin_boundary,25.2752,1486.1,3.5573,21.7179
Парканы,n2457586881,Пар-010,,osm_admin_boundary,20.2237,2012.4,3.5573,16.6664
Парканы,n2457589695,Пар-000,Бендерский мост,osm_admin_boundary,3.6446,267.8,3.6446,0.0
Парканы,n2457589695,Пар-001,Бендерский мост,osm_admin_boundary,6.6551,463.1,3.6446,3.0105
Парканы,n2457589695,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.8119,684.3,3.6446,4.1673
Парканы,n2457589695,Пар-003,,osm_admin_boundary,41.9189,3079,3.6446,38.2743
Парканы,n2457589695,Пар-005,,osm_admin_boundary,32.9308,2955.9,3.6446,29.2862
Парканы,n2457589695,Пар-009,Парканы-Бычок,osm_admin_boundary,25.3625,1493.8,3.6446,21.7179
Парканы,n2457589695,Пар-010,,osm_admin_boundary,20.2384,2017.4,3.6446,16.5938
Парканы,n2457589697,Пар-000,Бендерский мост,osm_admin_boundary,3.6623,269.4,3.6624,-0.0001
Парканы,n2457589697,Пар-001,Бендерский мост,osm_admin_boundary,6.6728,464.7,3.6624,3.0104
Парканы,n2457589697,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.8297,685.9,3.6624,4.1673
Парканы,n2457589697,Пар-003,,osm_admin_boundary,41.9367,3080.6,3.6624,38.2743
Парканы,n2457589697,Пар-005,,osm_admin_boundary,32.9486,2957.5,3.6624,29.2862
Парканы,n2457589697,Пар-009,Парканы-Бычок,osm_admin_boundary,25.3803,1495.4,3.6624,21.7179
Парканы,n2457589697,Пар-010,,osm_admin_boundary,20.2562,2019,3.6624,16.5938
Парканы,n2457586879,Пар-000,Бендерский мост,osm_admin_boundary,3.5102,255.9,3.5102,0.0
Парканы,n2457586879,Пар-001,Бендерский мост,osm_admin_boundary,6.5206,451.2,3.5102,3.0104
Парканы,n2457586879,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.8443,683.5,3.5102,4.3341
Парканы,n2457586879,Пар-003,,osm_admin_boundary,41.9513,3078.2,3.5102,38.4411
Парканы,n2457586879,Пар-005,,osm_admin_boundary,32.9632,2955.1,3.5102,29.453
Парканы,n2457586879,Пар-009,Парканы-Бычок,osm_admin_boundary,25.2281,1481.9,3.5102,21.7179
Парканы,n2457586879,Пар-010,,osm_admin_boundary,20.2708,2016.6,3.5102,16.7606
Парканы,n2457586880,Пар-000,Бендерский мост,osm_admin_boundary,3.5331,257.9,3.5332,-0.0001
Парканы,n2457586880,Пар-001,Бендерский мост,osm_admin_boundary,6.5436,453.2,3.5332,3.0104
Парканы,n2457586880,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.8214,681.5,3.5332,4.2882
Парканы,n2457586880,Пар-003,,osm_admin_boundary,41.9284,3076.2,3.5332,38.3952
Парканы,n2457586880,Пар-005,,osm_admin_boundary,32.9403,2953.1,3.5332,29.4071
Парканы,n2457586880,Пар-009,Парканы-Бычок,osm_admin_boundary,25.2511,1483.9,3.5332,21.7179
Парканы,n2457586880,Пар-010,,osm_admin_boundary,20.2479,2014.6,3.5332,16.7147
Парканы,n2457589700,Пар-000,Бендерский мост,osm_admin_boundary,3.7049,273.3,3.7049,0.0
Парканы,n2457589700,Пар-001,Бендерский мост,osm_admin_boundary,6.7154,468.6,3.7049,3.0105
Парканы,n2457589700,Пар-002,Кишинёв-Тирасполь,osm_admin_boundary,7.8722,689.8,3.7049,4.1673
Парканы,n2457589700,Пар-003,,osm_admin_boundary,41.9792,3084.5,3.7049,38.2743
Парканы,n2457589700,Пар-005,,osm_admin_boundary,32.9911,2961.4,3.7049,29.2862
Парканы,n2457589700,Пар-009,Парканы-Бычок,osm_admin_boundary,25.4228,1499.3,3.7049,21.7179
