uid,settlement_ru,district,street_ru,housenumber,current_zone,snap_distance_m,central_A_duration_min,central_B_distance_km,central_C_generalized_km,central_D_time_value,central_shortest_distance_km,central_segment_status,central_segment_flags,bam_B_distance_km,outer_B_distance_km
n4919312070,Бендеры,Борисовка,1-й Братский переулок,1 А,2,16.8,6.61,4.2837,4.2784,7.587,4.2837,OWNER_REVIEW_ROUTE,segment_highway_service,0.9486,2.7382
w319402241,Бендеры,Борисовка,1-й Братский переулок,12,2,13.7,6.5,4.239,4.2337,7.489,4.239,OWNER_REVIEW_ROUTE,segment_highway_service,0.9038,2.6935
w319305814,Бендеры,Борисовка,1-й Братский переулок,14,2,14.3,6.34,4.2089,4.2037,7.377,4.2089,OWNER_REVIEW_ROUTE,segment_highway_service,0.8738,2.6634
n2325729678,Бендеры,Борисовка,1-й Братский переулок,16,2,14.7,6.85,4.3832,4.3777,7.807,4.3832,OWNER_REVIEW_ROUTE,segment_highway_service,1.0481,2.8378
n2325729685,Бендеры,Борисовка,1-й Братский переулок,23,2,16.3,6.86,4.3895,4.384,7.82,4.3895,OWNER_REVIEW_ROUTE,segment_highway_service,1.0544,2.8441
w319141459,Бендеры,Борисовка,1-й переулок Петровского,1,2,13.2,6.24,3.9248,3.9203,7.042,3.9248,OWNER_REVIEW_ROUTE,segment_highway_service,0.5897,2.3793
w319141457,Бендеры,Борисовка,1-й переулок Петровского,3,2,13.8,6.31,3.9567,3.9522,7.113,3.9567,OWNER_REVIEW_ROUTE,segment_highway_service,0.8566,2.4113
w319615907,Бендеры,Борисовка,1-й переулок Петровского,4,2,18.7,6.26,3.9369,3.9324,7.069,3.9369,OWNER_REVIEW_ROUTE,segment_highway_service,0.6018,2.3914
w319615909,Бендеры,Борисовка,1-й переулок Петровского,6,2,13.3,6.31,3.9552,3.9507,7.109,3.9552,OWNER_REVIEW_ROUTE,segment_highway_service,0.8581,2.4097
w319402243,Бендеры,Борисовка,1-й переулок Петровского,10,2,20.2,6.34,4.1477,4.1428,7.316,4.1477,OWNER_REVIEW_ROUTE,segment_highway_service,0.8126,2.6022
w319141434,Бендеры,Борисовка,1-й переулок Петровского,11,2,15.5,6.33,4.2061,4.2009,7.371,4.2061,OWNER_REVIEW_ROUTE,segment_highway_service,0.871,2.6606
w319227866,Бендеры,Борисовка,1-й переулок Петровского,16,2,21.4,6.28,4.1841,4.1789,7.323,4.1841,OWNER_REVIEW_ROUTE,segment_highway_service,0.849,2.6387
n2325366583,Бендеры,Борисовка,1-й переулок Петровского,29,2,5.2,6.22,4.1587,4.1535,7.267,4.1587,OWNER_REVIEW_ROUTE,segment_highway_service,0.8236,2.6132
w319305819,Бендеры,Борисовка,2-й Братский переулок,1,2,14.7,6.5,4.0201,4.0155,7.269,4.0201,OWNER_REVIEW_ROUTE,segment_highway_service,0.892,2.4746
n2325729693,Бендеры,Борисовка,2-й Братский переулок,2,2,0.0,6.46,4.0045,3.9999,7.235,4.0045,OWNER_REVIEW_ROUTE,segment_highway_service,0.8764,2.459
w319615908,Бендеры,Борисовка,2-й Братский переулок,3,2,11.0,6.6,4.0612,4.0565,7.36,4.0612,OWNER_REVIEW_ROUTE,segment_highway_service,0.9331,2.5158
w351855709,Бендеры,Борисовка,2-й Братский переулок,5,2,15.8,6.68,4.0969,4.0922,7.438,4.0969,OWNER_REVIEW_ROUTE,segment_highway_service,0.9688,2.5515
n4919312077,Бендеры,Борисовка,2-й Братский переулок,6 Б,2,8.8,6.42,3.9873,3.9827,7.196,3.9873,OWNER_REVIEW_ROUTE,segment_highway_service,0.8592,2.4418
w351855710,Бендеры,Борисовка,2-й Братский переулок,7,2,29.0,6.71,4.1069,4.1021,7.46,4.1069,OWNER_REVIEW_ROUTE,segment_highway_service,0.9788,2.5614
w351855713,Бендеры,Борисовка,2-й Братский переулок,9,2,14.7,6.77,4.1341,4.1292,7.52,4.1341,OWNER_REVIEW_ROUTE,segment_highway_service,1.006,2.5886
n2325729692,Бендеры,Борисовка,2-й Братский переулок,12,2,3.6,6.78,4.1395,4.1346,7.531,4.1395,OWNER_REVIEW_ROUTE,segment_highway_service,1.0113,2.594
