car_way_id,car_name,car_highway,rail_way_id,classification,car_access,car_motor_vehicle,car_bridge,car_tunnel,car_layer,lon,lat
28796004,Кишинёв-Тирасполь,primary,856797214,BRIDGE,,,yes,,2,29.476785,46.840552
28796004,Кишинёв-Тирасполь,primary,856618467,BRIDGE,,,yes,,2,29.477205,46.840652
28796004,Кишинёв-Тирасполь,primary,856586330,BRIDGE,,,yes,,2,29.477139,46.840636
28796004,Кишинёв-Тирасполь,primary,856618466,BRIDGE,,,yes,,2,29.477297,46.840674
28796004,Кишинёв-Тирасполь,primary,856613151,BRIDGE,,,yes,,2,29.477076,46.840621
28796004,Кишинёв-Тирасполь,primary,856613150,BRIDGE,,,yes,,2,29.477009,46.840605
28796004,Кишинёв-Тирасполь,primary,1091323520,BRIDGE,,,yes,,2,29.476942,46.840589
28796004,Кишинёв-Тирасполь,primary,856806124,BRIDGE,,,yes,,2,29.47679,46.840553
28796004,Кишинёв-Тирасполь,primary,856595315,BRIDGE,,,yes,,2,29.476875,46.840573
28796008,Кишинёв-Тирасполь,primary,1323965452,BRIDGE,,,yes,,2,29.486314,46.832433
28796008,Кишинёв-Тирасполь,primary,115331451,BRIDGE,,,yes,,2,29.486314,46.832436
38633099,,primary,793066072,BRIDGE,,,yes,,1,29.488078,46.832453
38633117,,primary,856618467,BRIDGE,,,yes,,2,29.47713,46.840826
38633117,,primary,856586330,BRIDGE,,,yes,,2,29.477063,46.840813
38633117,,primary,856618466,BRIDGE,,,yes,,2,29.477222,46.840843
38633117,,primary,856613151,BRIDGE,,,yes,,2,29.476998,46.8408
38633117,,primary,856613150,BRIDGE,,,yes,,2,29.476929,46.840787
38633117,,primary,1091323520,BRIDGE,,,yes,,2,29.47686,46.840774
38633117,,primary,856806124,BRIDGE,,,yes,,2,29.476704,46.840744
38633117,,primary,856595315,BRIDGE,,,yes,,2,29.476794,46.840761
41851868,,service,857052728,LEVEL_CROSSING,,,,,,29.476648,46.831719
41851868,,service,857709882,LEVEL_CROSSING,,,,,,29.476641,46.831767
63221762,Коммунистическая улица,secondary,861248129,TUNNEL,,,,,,29.469453,46.809264
63221762,Коммунистическая улица,secondary,50737788,TUNNEL,,,,,,29.469413,46.809227
63221762,Коммунистическая улица,secondary,47475965,TUNNEL,,,,,,29.469525,46.809329
87506328,Индустриальная улица,tertiary,41749652,LEVEL_CROSSING,,,,,,29.478385,46.790135
115331435,,primary,857688720,BRIDGE,,,yes,,2,29.479186,46.801747
115331435,,primary,857688719,BRIDGE,,,yes,,2,29.479169,46.801709
115331505,,service,857688722,LEVEL_CROSSING,,,,,,29.479749,46.798335
115331526,,primary,41749652,LEVEL_CROSSING,,,,,,29.477855,46.800876
115331526,,primary,47475956,LEVEL_CROSSING,,,,,,29.477976,46.80092
115331526,,primary,857688722,LEVEL_CROSSING,,,,,,29.478357,46.80105
205450434,Индустриальная улица,secondary,857692883,LEVEL_CROSSING,,,,,,29.488301,46.797992
