uid,street,house,current_zone,fastest_km,shortest_km,via_south_brewery_km,south_shorter_than_shortest
n2334331709,Кишинёвская улица,4,4,7.1895,4.9513,8.4796,False
n2334338351,Новый проезд,10,4,7.1078,4.8696,8.3979,False
n2334331723,Новый проезд,46,4,6.8938,4.6556,8.1839,False
n2337326466,улица Глядковской,7,2,4.2318,4.2318,8.5725,False
w317055539,Безымянный переулок,44,3,6.0384,5.0822,7.3285,False
w317484800,улица Ивана Федько,2,2,4.3742,4.3742,8.1519,False
w318051676,улица Гастелло,1,2,4.2329,4.2329,8.3659,False
w317055533,улица Ивана Шимкова,37,4,6.1569,5.1658,7.447,False
w209267146,улица Богдана Хмельницкого,20,4,6.2398,4.8809,7.5299,False
w318051681,улица Гастелло,7,2,4.2796,4.2796,8.3192,False
w318071327,улица Клары Цеткин,5,2,4.0998,4.0998,8.4405,False
n2325366600,улица Ивана Федько,19,2,4.4695,4.4695,8.2473,False
w318072382,улица Ивана Шимкова,26,4,6.2755,5.0502,7.5656,False
w318072347,улица Ивана Шимкова,11,4,6.3838,4.9392,7.6739,False
w318072345,улица Ивана Шимкова,7,4,6.4141,4.9089,7.7042,False
w306219465,Бельцкая улица,28,2,4.1479,4.1479,8.4886,False
w319134694,Фонтанная улица,30,4,6.2634,5.2273,7.5535,False
w317148284,улица Зои Космодемьянской,29,2,3.9461,3.9461,9.263,False
w318701784,Бельцкая улица,23,3,4.7248,4.7248,8.2109,False
w318058443,улица Ивана Федько,32,3,4.6196,4.6196,8.1057,False
w532689733,улица Титова,44,2,3.6726,3.6726,8.9895,False
w319144217,улица Титова,58,2,3.5335,3.5335,8.8504,False
w319141430,улица Зои Космодемьянской,53,2,3.8235,3.8235,9.1095,False
w319141424,улица Титова,49,2,3.9458,3.9458,9.2627,False
w319139349,Бельцкая улица,9,3,4.5702,4.5702,8.0563,False
w319144149,улица Петровского,37,2,3.6567,3.6567,9.1482,False
w319141442,улица Титова,41,2,4.0324,4.0324,9.3493,False
w319226848,улица Герцена,8,4,6.6316,4.8829,7.9217,False
w319139367,улица Титова,6,2,4.1365,4.1365,9.4534,False
w319141461,улица Петровского,49,2,3.855,3.855,8.9499,False
w319305801,улица 12 Октября,41,4,6.6766,5.1398,7.9667,False
w209267152,Одесская улица,10,3,4.8966,4.8966,8.1373,False
n2325366575,улица Титова,114,2,4.323,4.323,8.102,False
w319523923,улица Титова,120,2,4.3926,4.3926,8.1716,False
w351855713,2-й Братский переулок,9,2,4.1341,4.1341,8.6873,False
n2337855692,Братская улица,11,2,4.1498,4.1498,8.6774,False
w321410561,улица Зои Космодемьянской,10/1,2,4.1483,4.1483,9.8516,False
w352148076,Кишинёвский тупик,8а,2,4.2193,4.2193,8.5856,False
w319620043,улица Титова,130,2,4.4699,4.4699,8.3851,False
w224682791,Одесская улица,67а,3,4.5904,4.5904,8.3694,False
w352667478,Варницкий тупик,14,3,4.8179,4.8179,8.5969,False
w352667496,Хотинская улица,4б,3,4.8267,4.8267,8.6057,False
w91848283,Хотинская улица,53,3,4.5063,4.5063,8.9402,False
