corridor_street,osm_way_id,way_name,highway,bridge,tunnel,layer,oneway,maxspeed,access,motor_vehicle,n_nodes,first_node,last_node,present_in_pbf,present_in_osrm_graph
Кишинёв-Тирасполь,28796004,Кишинёв-Тирасполь,primary,yes,,2,yes,50,,,2,271257727,316623749,True,True
Кишинёв-Тирасполь,28796006,Кишинёв-Тирасполь,primary,,,,yes,50,,,7,316623749,271258253,True,True
Кишинёв-Тирасполь,28796008,Кишинёв-Тирасполь,primary,yes,,2,yes,60,,,2,316623750,271258257,True,True
Кишинёв-Тирасполь,28796010,Кишинёв-Тирасполь,primary,,,,yes,60,,,4,271258257,457637269,True,True
Кишинёв-Тирасполь,38633102,Кишинёв-Тирасполь,primary,,,,yes,50,,,6,457637248,316623750,True,True
Кишинёв-Тирасполь,38633114,Кишинёв-Тирасполь,primary,,,,yes,60,,,2,457637388,517234914,True,True
Кишинёв-Тирасполь,38633124,Кишинёв-Тирасполь,primary_link,,,,yes,50,,,7,457637403,604245217,True,True
Кишинёв-Тирасполь,58427503,Кишинёв-Тирасполь,primary_link,,,,yes,,,,8,457637159,457637161,True,True
Кишинёв-Тирасполь,132957184,Кишинёв-Тирасполь,primary,,,,yes,50,,,13,457637163,271258258,True,True
Кишинёв-Тирасполь,132957188,Кишинёв-Тирасполь,primary,,,,yes,60,,,4,457637161,457637163,True,True
Кишинёв-Тирасполь,133143205,Кишинёв-Тирасполь,primary,,,,yes,60,,,7,457637269,457637159,True,True
Кишинёв-Тирасполь,185144051,Кишинёв-Тирасполь,primary,,,,,,,,16,457637141,5835052318,True,True
Кишинёв-Тирасполь,385234576,Кишинёв-Тирасполь,primary,,,,yes,50,,,6,517234914,271257727,True,True
Кишинёв-Тирасполь,415365320,Кишинёв-Тирасполь,primary,,,,yes,50,,,4,1017948896,271258254,True,True
Кишинёв-Тирасполь,28584680,Кишинёв-Тирасполь,primary,,,,yes,90,,,7,313965464,966102452,True,True
Кишинёв-Тирасполь,83039093,Кишинёв-Тирасполь,primary,,,,yes,,,,17,5812853360,4163930723,True,True
Кишинёв-Тирасполь,83039114,Кишинёв-Тирасполь,primary,,,,yes,,,,8,966102452,5812853359,True,True
Кишинёв-Тирасполь,83039154,Кишинёв-Тирасполь,primary,,,,,70,,,10,5812853355,7913569464,True,True
