uid,street,house,current_zone,snap_distance_m,A_fastest_km,A_fastest_s,B_shortest_km,B_shortest_s,C_forced_brewery_km,C_forced_brewery_s,D_n_alternatives,E_driver_cost_fastest,E_driver_cost_shortest,diff_forced_minus_fastest_km,diff_forced_minus_fastest_s,fastest_uses_brewery_crossing,fastest_uses_service_segment,route_valid
w291423975,улица Дзержинского,36,1,35.1,1.2239,113.2,1.2239,113.2,6.1625,406.2,0,1.79,1.79,4.939,293.0,False,False,OK
w291423988,Московская улица,9,1,20.5,1.2893,117.3,1.2893,117.3,6.2278,410.3,1,1.876,1.876,4.939,293.0,False,True,OWNER_REVIEW_ROUTE
w291423977,улица Дзержинского,38,1,35.6,1.2567,117.9,1.2567,117.9,6.1952,410.9,1,1.846,1.846,4.938,293.0,False,False,OK
w290851733,улица Дзержинского,42A,1,25.8,1.2967,123.7,1.2967,123.7,5.9668,414.5,1,1.915,1.915,4.67,290.8,False,False,OK
w290851735,улица Дзержинского,42,1,27.4,1.3203,127.1,1.3203,127.1,5.9431,411.1,1,1.956,1.956,4.623,284.0,False,False,OK
w290334258,Комсомольская улица,44,1,29.1,1.4077,139.6,1.4077,139.6,5.9068,404,3,2.106,2.106,4.499,264.4,False,False,OK
w161058097,Московская улица,2,1,16.1,1.3123,127.3,1.3123,127.3,6.2508,420.3,0,1.949,1.949,4.938,293.0,False,True,OWNER_REVIEW_ROUTE
w222774405,улица Академика Фёдорова,16,1,14.9,1.3519,120.1,1.244,124,6.2905,413.1,1,1.952,1.864,4.939,293.0,False,False,OK
w211496781,Комсомольская улица,7A,1,28.6,1.4449,144.9,1.4449,144.9,5.944,409.3,3,2.169,2.169,4.499,264.4,False,False,OK
w161058100,улица Академика Фёдорова,3,1,15.3,1.3544,137.4,1.3544,137.4,6.2929,430.4,1,2.041,2.041,4.939,293.0,False,True,OWNER_REVIEW_ROUTE
w316759220,улица Осипенко,35,3,22.2,5.6636,396.6,5.6636,396.6,6.9538,446.5,1,7.647,7.647,1.29,49.9,False,False,OK
w310488384,Киевская улица,27,3,18.0,4.4511,292.3,4.4511,292.3,5.7412,342.2,1,5.913,5.913,1.29,49.9,False,False,OK
w316759073,улица Осипенко,39,3,22.1,5.6313,391.9,5.6313,391.9,6.9214,441.8,1,7.591,7.591,1.29,49.9,False,False,OK
w310488388,Киевская улица,142,3,24.6,4.3567,277.4,4.3567,277.4,5.6468,327.3,1,5.744,5.744,1.29,49.9,False,False,OK
n4997937710,улица Чехова,1,3,10.5,4.8401,342.9,4.8401,342.9,6.1302,392.8,1,6.555,6.555,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w302066948,Школьная улица,13,3,17.7,4.6607,310.8,4.6607,310.8,5.9509,360.7,1,6.215,6.215,1.29,49.9,False,False,OK
w315807224,улица Осипенко,45,3,26.7,5.6284,395,5.6284,395,6.9185,444.9,1,7.603,7.603,1.29,49.9,False,False,OK
w315807222,улица 40 лет Советской Пионерии,43,3,19.1,5.5697,381,5.5697,381,6.8598,430.9,1,7.475,7.475,1.29,49.9,False,False,OK
w315851307,улица Осипенко,49,3,26.2,5.5199,393.2,5.5199,393.2,6.81,443.1,1,7.486,7.486,1.29,49.9,False,False,OK
w315109562,улица Бориса Главана,144,3,14.9,4.3259,275.7,4.3259,275.7,5.616,325.6,1,5.704,5.704,1.29,49.9,False,False,OK
w91850356,улица Интернационалистов,13,4,12.9,7.2609,541.1,6.7125,629.6,8.551,591,2,9.966,9.861,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w353974255,Главная улица,3,3,21.5,4.4589,360.2,4.4589,360.2,5.749,410.1,1,6.26,6.26,1.29,49.9,False,False,OK
w352326939,улица Кошевого,38,4,13.1,6.0665,461.2,6.0665,461.2,7.3567,511.1,0,8.372,8.372,1.29,49.9,False,False,OK
w284637187,переулок Полоза,6,4,13.2,6.2271,467.3,6.2271,467.3,7.5172,517.2,0,8.564,8.564,1.29,49.9,False,False,OK
n2337992799,улица Чернышевского,26,3,8.2,4.4511,366.8,4.4511,366.8,5.7412,416.7,1,6.285,6.285,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w353974419,Главная улица,1,3,18.1,4.505,366.9,4.505,366.9,5.7952,416.8,1,6.339,6.339,1.29,49.9,False,False,OK
w284637197,переулок Полоза,78,4,25.6,6.3173,485.9,6.3173,485.9,7.6074,535.8,0,8.747,8.747,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w222986064,улица Интернационалистов,13а,4,18.2,6.6682,532.9,6.6682,532.9,7.9583,582.8,1,9.333,9.333,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w442395876,улица Интернационалистов,13б,4,18.1,6.6479,528,6.6479,528,7.938,577.9,1,9.288,9.288,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w91850336,улица Интернационалистов,15,4,14.0,6.3696,524,6.3696,524,7.6597,573.9,1,8.99,8.99,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w222764128,улица Георге Асаке,8,2,72.9,2.4511,236.5,2.4511,236.5,5.571,410.9,1,3.634,3.634,3.12,174.4,False,False,OK
w302074741,улица Сергея Ревенялэ,3,3,17.2,5.2323,361.3,5.2323,361.3,6.5225,411.2,1,7.039,7.039,1.29,49.9,False,False,OK
n4835050371,улица Сергея Ревенялэ,8 кв. 1,3,15.2,5.3581,380.8,5.3581,380.8,6.6482,430.7,1,7.262,7.262,1.29,49.9,False,False,OK
n4835076144,Треугольный переулок,8 кв. 2,3,15.0,5.3294,376.6,5.3294,376.6,6.6195,426.5,1,7.212,7.212,1.29,49.9,False,False,OK
w302074740,улица Сергея Ревенялэ,5,3,16.1,5.2172,354.2,5.2172,354.2,6.5074,404.1,0,6.988,6.988,1.29,49.9,False,False,OK
n4835050372,улица Сергея Ревенялэ,"6 кв. 3,4",3,25.9,5.3508,378.4,5.3508,378.4,6.641,428.3,1,7.243,7.243,1.29,49.9,False,False,OK
n4835076146,переулок Бородина,6 кв. 1,3,15.4,5.2684,368.5,5.2684,368.5,6.5586,418.4,1,7.111,7.111,1.29,49.9,False,False,OK
n2321994025,переулок Бородина,9,3,8.5,5.2664,368.2,5.2664,368.2,6.5565,418.1,1,7.107,7.107,1.29,49.9,False,False,OK
n4835076145,Треугольный переулок,8 кв. 3,3,27.5,5.3232,375.7,5.3232,375.7,6.6133,425.6,1,7.202,7.202,1.29,49.9,False,False,OK
w299956671,Деповская улица,5,4,22.3,7.4577,505.9,5.2194,512,8.7478,555.8,1,9.987,7.779,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w317149174,улица Гоголя,5,4,23.6,6.2301,404.4,5.6817,492.9,7.5202,454.3,1,8.252,8.146,1.29,49.9,False,False,OK
w317149177,улица Гоголя,3,4,18.9,6.2129,401.9,5.6645,490.4,7.503,451.8,1,8.222,8.117,1.29,49.9,False,False,OK
w317149178,улица Гоголя,1,4,20.3,6.1953,399.4,5.6469,487.9,7.4854,449.3,1,8.192,8.086,1.29,49.9,False,False,OK
w209273611,Пионерская улица,3,4,13.6,6.3295,439.9,5.7811,528.4,7.6196,489.8,1,8.529,8.423,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
w318070643,улица Гоголя,2,4,12.7,6.2273,404,5.6789,492.5,7.5174,453.9,1,8.247,8.141,1.29,49.9,False,False,OK
w318070645,улица 50 лет ВЛКСМ,1,4,14.6,6.251,402.8,5.7026,491.3,7.5411,452.7,2,8.265,8.159,1.29,49.9,False,False,OK
w209273613,Пионерская улица,5,4,14.3,6.3156,437.7,5.7672,526.2,7.6057,487.6,1,8.504,8.398,1.29,49.9,False,True,OWNER_REVIEW_ROUTE
