settlement_or_district,uid,street,house,current_zone,current_route_km,current_route_s,reverse_route_km,corridorA_km,corridorA_s,corridorB_km,corridorB_s,shortest_valid_km,best_valid_km,chosen_route,difference_current_minus_best_km,driver_cost_current,provisional_proposed_zone,owner_review_required
Протягайловка,w353259234,Банный переулок,1,4,6.9109,503.7,6.9109,8.2011,553.6,7.4561,612.1,6.9109,6.9109,fastest,0.0,9.429,4,True
Протягайловка,w356957296,Банный переулок,3,4,6.9609,510.9,6.9609,8.251,560.8,7.5061,619.3,6.9609,6.9609,fastest,0.0,9.515,4,True
Протягайловка,n2337938419,Банный переулок,5,4,7.0235,519.9,7.0235,8.3137,569.8,7.5688,628.3,7.0235,7.0235,fastest,0.0,9.623,4,True
Протягайловка,n2337938418,Банный переулок,9,4,7.0843,528.7,7.0843,8.3744,578.6,7.6295,637.1,7.0843,7.0843,fastest,0.0,9.728,4,True
Протягайловка,n2337938422,Банный переулок,105,4,6.8706,497.9,6.8706,8.1607,547.8,7.4158,606.3,6.8706,6.8706,fastest,0.0,9.36,4,True
Протягайловка,w352162004,Гербовецкая улица,2,4,5.8464,402.6,5.8464,7.1366,452.5,6.3916,511,5.8464,5.8464,fastest,0.0,7.859,4,True
Протягайловка,n2337964959,Гербовецкая улица,3,4,5.8611,408.8,5.8611,7.1512,458.7,6.4063,517.2,5.8611,5.8611,fastest,0.0,7.905,4,True
Протягайловка,w224936654,Гербовецкая улица,11,4,6.342,454.3,6.342,7.6321,504.2,6.8872,562.7,6.342,6.342,fastest,0.0,8.614,4,True
Протягайловка,w224936656,Гербовецкая улица,15,4,6.5232,512.1,6.5232,7.8133,562,7.0684,620.5,6.5232,6.5232,fastest,0.0,9.084,4,True
Протягайловка,w352158436,Гербовецкая улица,32,4,5.8554,407.9,5.8554,7.1455,457.8,6.4006,516.3,5.8554,5.8554,fastest,0.0,7.895,4,True
Протягайловка,w352158439,Гербовецкая улица,34,4,5.8757,405.3,5.8757,7.1658,455.2,6.4209,513.7,5.8757,5.8757,fastest,0.0,7.902,4,True
Протягайловка,w352158450,Гербовецкая улица,36,4,5.892,406.7,5.892,7.1821,456.6,6.4372,515.1,5.892,5.892,fastest,0.0,7.925,4,True
Протягайловка,w352158444,Гербовецкая улица,38,4,5.9179,409,5.9179,7.208,458.9,6.4631,517.4,5.9179,5.9179,fastest,0.0,7.963,4,True
Протягайловка,w352158464,Гербовецкая улица,39,4,6.2065,435,6.2065,7.4966,484.9,6.7517,543.4,6.2065,6.2065,fastest,0.0,8.381,4,True
Протягайловка,w352158442,Гербовецкая улица,40,4,5.9334,410.4,5.9334,7.2235,460.3,6.4786,518.8,5.9334,5.9334,fastest,0.0,7.985,4,True
Протягайловка,w352158458,Гербовецкая улица,41,4,6.2268,436.9,6.2268,7.5169,486.8,6.772,545.3,6.2268,6.2268,fastest,0.0,8.411,4,True
Протягайловка,w352158434,Гербовецкая улица,42,4,5.948,411.7,5.948,7.2382,461.6,6.4932,520.1,5.948,5.948,fastest,0.0,8.007,4,True
Протягайловка,w224936649,Гербовецкая улица,43,4,6.4045,469,6.4045,7.6946,518.9,6.9497,577.4,6.4045,6.4045,fastest,0.0,8.749,4,True
Протягайловка,w352158431,Гербовецкая улица,44,4,5.9726,413.9,5.9726,7.2627,463.8,6.5178,522.3,5.9726,5.9726,fastest,0.0,8.042,4,True
Протягайловка,w352158480,Гербовецкая улица,45,4,6.3508,456.2,6.3508,7.641,506.1,6.8961,564.6,6.3508,6.3508,fastest,0.0,8.632,4,True
Протягайловка,w352158426,Гербовецкая улица,46,4,5.9889,415.4,5.9889,7.279,465.3,6.5341,523.8,5.9889,5.9889,fastest,0.0,8.066,4,True
Протягайловка,w352160183,Гербовецкая улица,47,4,6.3597,448.7,6.3597,7.6498,498.6,6.9049,557.1,6.3597,6.3597,fastest,0.0,8.603,4,True
Протягайловка,w352158429,Гербовецкая улица,48,4,6.001,416.5,6.001,7.2911,466.4,6.5462,524.9,6.001,6.001,fastest,0.0,8.084,4,True
Протягайловка,w352160184,Гербовецкая улица,49,4,6.377,450.3,6.377,7.6671,500.2,6.9222,558.7,6.377,6.377,fastest,0.0,8.628,4,True
Протягайловка,w352156653,Гербовецкая улица,50,4,6.0128,417.6,6.0128,7.3029,467.5,6.558,526,6.0128,6.0128,fastest,0.0,8.101,4,True
Протягайловка,w352156651,Гербовецкая улица,52,4,6.0332,419.4,6.0332,7.3234,469.3,6.5784,527.8,6.0332,6.0332,fastest,0.0,8.13,4,True
