corridor_street,osm_way_id,way_name,highway,bridge,layer,oneway,access,motor_vehicle,maxspeed,present_in_pbf
улица Дружбы,45858821,улица Дружбы,primary,,,,,,,True
улица Дружбы,103643505,улица Дружбы,secondary,,,yes,,,,True
улица Дружбы,83039115,улица Дружбы,residential,,,,,,,True
улица Ечина,63221780,улица Ечина,primary,,,,,,,True
улица Ечина,410946399,улица Ечина,primary,,,,,,,True
улица Старого,525055331,улица Старого,residential,,,no,,,,True
улица Старого,680093938,улица Старого,tertiary,,,no,,,,True
улица Старого,680093941,улица Старого,tertiary,,,no,,,,True
улица Кирова,41851869,улица Кирова,residential,,,,,,,True
улица Кирова,162030338,улица Кирова,residential,,,yes,,,,True
улица Кирова,162030339,улица Кирова,residential,,,yes,,,,True
улица Кирова,222913850,улица Кирова,residential,,,,,,,True
улица Кирова,83039104,улица Кирова,residential,,,,,,,True
улица Кирова,439155434,улица Кирова,residential,,,,,,,True
улица Кирова,223970478,улица Кирова,residential,,,,,,,True
улица Ленина,87497002,улица Ленина,residential,,,no,,,,True
улица Ленина,87506322,улица Ленина,residential,,,yes,,,50,True
улица Ленина,87506339,улица Ленина,residential,,,yes,,,50,True
улица Ленина,223231541,улица Ленина,secondary,,,,,,,True
улица Ленина,252579181,улица Ленина,residential,,,no,,yes,50,True
улица Ленина,447634961,улица Ленина,residential,,,no,,,,True
улица Ленина,1421552719,улица Ленина,residential,,,no,,,,True
улица Ленина,1421552723,улица Ленина,residential,,,no,,,,True
улица Ленина,43201858,улица Ленина,tertiary,,,,,,50,True
улица Ленина,576412267,улица Ленина,tertiary,,,,,,60,True
улица Ленина,1165666321,улица Ленина,residential,,,,,,50,True
улица Ленина,223231559,улица Ленина,secondary,,,,,,,True
улица Ленина,223231788,улица Ленина,residential,,,,,,,True
улица Ленина,223232236,улица Ленина,residential,,,,,,,True
улица Ленина,223232237,улица Ленина,secondary,,,,,,,True
улица Ленина,223674639,улица Ленина,tertiary,,,,,,,True
улица Ленина,397371949,улица Ленина,secondary,,,,,,,True
улица Ленина,680056519,улица Ленина,tertiary,,,,,,,True
Кишинёвская улица,41749663,Кишинёвская улица,tertiary,,,,,,,True
Кишинёвская улица,62383007,Кишинёвская улица,primary,,,,,,50,True
Кишинёвская улица,63221794,Кишинёвская улица,primary,,,,,,60,True
Кишинёвская улица,133062213,Кишинёвская улица,primary,,,,,,60,True
Кишинёвская улица,133068144,Кишинёвская улица,primary,,,,,,50,True
Кишинёвская улица,133068155,Кишинёвская улица,primary_link,,,yes,,,,True
