source,kind,uid,district,detail,owner_review_required
stage-09a,WRONG_ADDRESS_SNAP,w352161708,Хомутяновка,"snap 42.0m, road tertiary",True
stage-09a,WRONG_ADDRESS_SNAP,w352161717,Хомутяновка,"snap 43.9m, road tertiary",True
stage-09a,WRONG_ADDRESS_SNAP,w184989544,Хомутяновка,"snap 56.7m, road primary",True
stage-09a,WRONG_ACCESS_TAG,w316027473,Борисовка,"snap 28.9m, road service",True
stage-09a,WRONG_ADDRESS_SNAP,n4886201637,Борисовка,"snap 42.8m, road tertiary",True
stage-09a,WRONG_ADDRESS_SNAP,w316027138,Борисовка,"snap 44.7m, road residential",True
stage-09a,WRONG_ACCESS_TAG,w446490135,Хомутяновка,"snap 15.1m, road service",True
stage-09a,WRONG_ACCESS_TAG,w211496742,Хомутяновка,"snap 26.6m, road service",True
stage-09a,WRONG_ACCESS_TAG,w211496787,Хомутяновка,"snap 16.8m, road service",True
stage-09a,WRONG_ACCESS_TAG,w211496770,Хомутяновка,"snap 18.2m, road service",True
stage-09a,WRONG_ACCESS_TAG,w415723868,Хомутяновка,"snap 22.3m, road service",True
stage-09a,WRONG_ADDRESS_SNAP,w91848809,Борисовка,"snap 12.0m, road pedestrian",True
stage-09a,WRONG_ADDRESS_SNAP,w209267174,Борисовка,"snap 55.8m, road residential",True
stage-09a,WRONG_ADDRESS_SNAP,w224682791,Борисовка,"snap 58.5m, road residential",True
stage-09a,WRONG_ACCESS_TAG,w209273613,Хомутяновка,"snap 14.3m, road service",True
stage-09a,WRONG_ACCESS_TAG,w209273616,Хомутяновка,"snap 14.7m, road service",True
stage-09a,WRONG_ACCESS_TAG,w209273593,Хомутяновка,"snap 12.7m, road service",True
stage-09a,WRONG_ACCESS_TAG,w209273618,Борисовка,"snap 15.9m, road service",True
stage-09a,WRONG_ADDRESS_SNAP,w301982104,Хомутяновка,"snap 44.0m, road residential",True
stage-09a,WRONG_ADDRESS_SNAP,w161058112,Хомутяновка,"snap 41.5m, road residential",True
stage-09a,WRONG_ADDRESS_SNAP,w116073594,Борисовка,"snap 59.9m, road primary",True
stage-09a,WRONG_ADDRESS_SNAP,w209287627,Хомутяновка,"snap 41.1m, road residential",True
stage-09a,WRONG_ADDRESS_SNAP,w231243207,Хомутяновка,"snap 45.5m, road service",True
stage-09a,WRONG_ACCESS_TAG,w284637197,Хомутяновка,"snap 25.6m, road service",True
stage-09a,WRONG_ADDRESS_SNAP,w352148098,Борисовка,"snap 52.7m, road residential",True
