uid,street,house,current_zone,snap_m,true_shortest_unconstrained_km,best_entry_id,best_entry_road,best_via_entry_km,via_entry_minus_free_km,entries_evaluated,all_entry_km_json,owner_review_required
w353259234,Банный переулок,1,4,15.4,6.2156,Про-028,Главная улица,6.2156,0.0,21,"{""Про-028"": 6.2156, ""Про-029"": 7.4274, ""Про-030"": 7.101, ""Про-031"": 6.409, ""Про-032"": 9.9397, ""Про-033"": 7.0109, ""Про-034"": 6.4688, ""Про-035"": 6.4688, ""Про-036"": 6.4688, ""Про-037"": 8.38, ""Про-038"": 7.3988, ""Про-039"": 8.0176, ""Про-040"": 7.5373, ""Про-041"": 8.3442, ""Про-042"": 9.6462, ""Про-043"": 8.6565, ""Про-044"": 8.4368, ""Про-045"": 8.2577, ""Про-046"": 8.5422, ""Про-047"": 12.229, ""Про-048"": 11.0819}",True
w356957296,Банный переулок,3,4,44.8,6.1246,Про-028,Главная улица,6.1246,0.0,21,"{""Про-028"": 6.1246, ""Про-029"": 7.5183, ""Про-030"": 7.1919, ""Про-031"": 6.4999, ""Про-032"": 10.0307, ""Про-033"": 7.1018, ""Про-034"": 6.5597, ""Про-035"": 6.5597, ""Про-036"": 6.5597, ""Про-037"": 8.4709, ""Про-038"": 7.4897, ""Про-039"": 8.1085, ""Про-040"": 7.6282, ""Про-041"": 8.4351, ""Про-042"": 9.7371, ""Про-043"": 8.7474, ""Про-044"": 8.5277, ""Про-045"": 8.3487, ""Про-046"": 8.6331, ""Про-047"": 12.269, ""Про-048"": 11.1728}",True
n2337938419,Банный переулок,5,4,26.3,6.1131,Про-028,Главная улица,6.1131,0.0,21,"{""Про-028"": 6.1131, ""Про-029"": 7.5298, ""Про-030"": 7.2034, ""Про-031"": 6.5114, ""Про-032"": 10.0422, ""Про-033"": 7.1133, ""Про-034"": 6.5712, ""Про-035"": 6.5712, ""Про-036"": 6.5712, ""Про-037"": 8.4824, ""Про-038"": 7.5012, ""Про-039"": 8.12, ""Про-040"": 7.6397, ""Про-041"": 8.4466, ""Про-042"": 9.7486, ""Про-043"": 8.7589, ""Про-044"": 8.5392, ""Про-045"": 8.3602, ""Про-046"": 8.6446, ""Про-047"": 12.2575, ""Про-048"": 11.1843}",True
n2337938418,Банный переулок,9,4,23.1,6.0454,Про-028,Главная улица,6.0454,0.0,21,"{""Про-028"": 6.0454, ""Про-029"": 7.5975, ""Про-030"": 7.2711, ""Про-031"": 6.5326, ""Про-032"": 10.1099, ""Про-033"": 7.181, ""Про-034"": 6.6389, ""Про-035"": 6.6389, ""Про-036"": 6.6389, ""Про-037"": 8.5501, ""Про-038"": 7.5689, ""Про-039"": 8.1877, ""Про-040"": 7.7074, ""Про-041"": 8.5143, ""Про-042"": 9.8163, ""Про-043"": 8.8266, ""Про-044"": 8.6069, ""Про-045"": 8.4279, ""Про-046"": 8.7123, ""Про-047"": 12.1898, ""Про-048"": 11.252}",True
n2337938422,Банный переулок,105,4,29.8,6.2795,Про-028,Главная улица,6.2795,0.0,21,"{""Про-028"": 6.2795, ""Про-029"": 7.3635, ""Про-030"": 7.0371, ""Про-031"": 6.345, ""Про-032"": 9.8758, ""Про-033"": 6.9469, ""Про-034"": 6.4048, ""Про-035"": 6.4048, ""Про-036"": 6.4048, ""Про-037"": 8.3161, ""Про-038"": 7.3349, ""Про-039"": 7.9537, ""Про-040"": 7.4734, ""Про-041"": 8.2803, ""Про-042"": 9.5823, ""Про-043"": 8.5926, ""Про-044"": 8.3728, ""Про-045"": 8.1938, ""Про-046"": 8.4783, ""Про-047"": 12.165, ""Про-048"": 11.018}",True
w352162004,Гербовецкая улица,2,4,21.4,5.3414,Про-028,Главная улица,5.3414,0.0,21,"{""Про-028"": 5.3414, ""Про-029"": 7.2121, ""Про-030"": 6.2679, ""Про-031"": 5.3414, ""Про-032"": 9.2806, ""Про-033"": 5.9433, ""Про-034"": 5.4012, ""Про-035"": 5.4012, ""Про-036"": 5.4012, ""Про-037"": 8.1647, ""Про-038"": 6.8355, ""Про-039"": 7.8022, ""Про-040"": 7.3219, ""Про-041"": 8.1289, ""Про-042"": 8.9871, ""Про-043"": 8.4411, ""Про-044"": 8.2214, ""Про-045"": 8.0424, ""Про-046"": 8.3269, ""Про-047"": 13.1687, ""Про-048"": 11.1218}",True
n2337964959,Гербовецкая улица,3,4,6.4,5.3652,Про-028,Главная улица,5.3652,0.0,21,"{""Про-028"": 5.3652, ""Про-029"": 7.1358, ""Про-030"": 6.1916, ""Про-031"": 5.3652, ""Про-032"": 9.2043, ""Про-033"": 5.9671, ""Про-034"": 5.425, ""Про-035"": 5.425, ""Про-036"": 5.425, ""Про-037"": 8.0884, ""Про-038"": 6.7592, ""Про-039"": 7.726, ""Про-040"": 7.2457, ""Про-041"": 8.0526, ""Про-042"": 8.9108, ""Про-043"": 8.3649, ""Про-044"": 8.1451, ""Про-045"": 7.9661, ""Про-046"": 8.2506, ""Про-047"": 13.245, ""Про-048"": 11.0455}",True
w224936654,Гербовецкая улица,11,4,16.2,5.8452,Про-028,Главная улица,5.8452,0.0,21,"{""Про-028"": 5.8452, ""Про-029"": 7.4682, ""Про-030"": 6.7717, ""Про-031"": 5.8452, ""Про-032"": 9.7844, ""Про-033"": 6.447, ""Про-034"": 5.9049, ""Про-035"": 5.9049, ""Про-036"": 5.9049, ""Про-037"": 8.4208, ""Про-038"": 7.3393, ""Про-039"": 8.0584, ""Про-040"": 7.5781, ""Про-041"": 8.385, ""Про-042"": 9.4909, ""Про-043"": 8.6973, ""Про-044"": 8.4776, ""Про-045"": 8.2985, ""Про-046"": 8.583, ""Про-047"": 12.8912, ""Про-048"": 11.1227}",True
w224936656,Гербовецкая улица,15,4,31.5,6.0347,Про-028,Главная улица,6.0347,0.0,21,"{""Про-028"": 6.0347, ""Про-029"": 7.1776, ""Про-030"": 6.8512, ""Про-031"": 6.0347, ""Про-032"": 9.6899, ""Про-033"": 6.6366, ""Про-034"": 6.0945, ""Про-035"": 6.0945, ""Про-036"": 6.0945, ""Про-037"": 8.1302, ""Про-038"": 7.149, ""Про-039"": 7.7678, ""Про-040"": 7.2875, ""Про-041"": 8.0944, ""Про-042"": 9.3964, ""Про-043"": 8.4067, ""Про-044"": 8.187, ""Про-045"": 8.0079, ""Про-046"": 8.2924, ""Про-047"": 13.1452, ""Про-048"": 10.8321}",True
w352158436,Гербовецкая улица,32,4,18.3,5.3652,Про-028,Главная улица,5.3652,0.0,21,"{""Про-028"": 5.3652, ""Про-029"": 7.1358, ""Про-030"": 6.1916, ""Про-031"": 5.3652, ""Про-032"": 9.2043, ""Про-033"": 5.9671, ""Про-034"": 5.425, ""Про-035"": 5.425, ""Про-036"": 5.425, ""Про-037"": 8.0884, ""Про-038"": 6.7592, ""Про-039"": 7.726, ""Про-040"": 7.2457, ""Про-041"": 8.0526, ""Про-042"": 8.9108, ""Про-043"": 8.3649, ""Про-044"": 8.1451, ""Про-045"": 7.9661, ""Про-046"": 8.2506, ""Про-047"": 13.245, ""Про-048"": 11.0455}",True
