uid,district,street,house,current_zone,snap_m,true_shortest_km,current_osrm_km,current_minus_true_km,overstated_gt_10pct,owner_review_required
n4919312070,Борисовка,1-й Братский переулок,1 А,2,62.3,3.7208,4.2837,0.5629,True,True
w319402241,Борисовка,1-й Братский переулок,12,2,20.6,3.7208,4.239,0.5182,True,True
w319305814,Борисовка,1-й Братский переулок,14,2,20.4,3.7208,4.2089,0.4881,True,True
n2325729678,Борисовка,1-й Братский переулок,16,2,42.0,3.9195,4.3832,0.4637,True,True
n2325729685,Борисовка,1-й Братский переулок,23,2,36.8,3.9195,4.3895,0.47,True,True
w319141459,Борисовка,1-й переулок Петровского,1,2,25.2,3.5873,3.9248,0.3375,False,True
w319141457,Борисовка,1-й переулок Петровского,3,2,19.7,3.6546,3.9567,0.3021,False,True
w319615907,Борисовка,1-й переулок Петровского,4,2,38.4,3.5873,3.9369,0.3496,False,True
w319615909,Борисовка,1-й переулок Петровского,6,2,20.3,3.6546,3.9552,0.3006,False,True
w319402243,Борисовка,1-й переулок Петровского,10,2,20.6,3.6889,4.1477,0.4588,True,True
w319141434,Борисовка,1-й переулок Петровского,11,2,23.3,3.7208,4.2061,0.4853,True,True
w319227866,Борисовка,1-й переулок Петровского,16,2,41.6,3.7922,4.1841,0.3919,True,True
n2325366583,Борисовка,1-й переулок Петровского,29,2,11.6,3.7922,4.1587,0.3665,False,True
w319305819,Борисовка,2-й Братский переулок,1,2,51.5,3.6546,4.0201,0.3655,True,True
n2325729693,Борисовка,2-й Братский переулок,2,2,33.7,3.6546,4.0045,0.3499,False,True
w319615908,Борисовка,2-й Братский переулок,3,2,82.3,3.6852,4.0612,0.376,True,True
w351855709,Борисовка,2-й Братский переулок,5,2,72.7,3.8514,4.0969,0.2455,False,True
n4919312077,Борисовка,2-й Братский переулок,6 Б,2,18.7,3.6546,3.9873,0.3327,False,True
w351855710,Борисовка,2-й Братский переулок,7,2,67.5,3.8514,4.1069,0.2555,False,True
w351855713,Борисовка,2-й Братский переулок,9,2,36.8,3.8514,4.1341,0.2827,False,True
n2325729692,Борисовка,2-й Братский переулок,12,2,28.7,3.8514,4.1395,0.2881,False,True
w319141416,Борисовка,2-й переулок Петровского,4,2,29.7,3.7036,4.0793,0.3757,True,True
w319141422,Борисовка,2-й переулок Петровского,4,2,15.4,3.6907,4.0388,0.3481,False,True
w319141417,Борисовка,2-й переулок Петровского,5,2,19.6,3.6889,4.1288,0.4399,True,True
w319141418,Борисовка,2-й переулок Петровского,8,2,35.8,3.6889,4.1119,0.423,True,True
n5708918557,Борисовка,2-й переулок Петровского,15,2,32.0,3.6889,4.1145,0.4256,True,True
w319139366,Борисовка,2-й переулок Петровского,45,2,16.9,3.6369,4.0068,0.3699,True,True
w317148593,Борисовка,Безымянный переулок,23,3,29.7,4.632,5.9943,1.3623,True,True
w209273615,Борисовка,Безымянный переулок,42,3,27.8,4.5559,6.0509,1.495,True,True
w317055539,Борисовка,Безымянный переулок,44,3,25.0,4.5559,6.0384,1.4825,True,True
w209273643,Борисовка,Безымянный переулок,46,3,40.7,4.632,6.0149,1.3829,True,True
w209273632,Борисовка,Безымянный переулок,48,3,15.9,4.6881,6.0317,1.3436,True,True
w209273614,Борисовка,Безымянный переулок,50в,3,26.1,4.7233,6.0608,1.3375,True,True
