connector_road_m,connector_ways,corridor,direction,from_node,from_street,gap_m,node,to_node,to_street,type
3466.3,"38633109,228367336,94330335,136077122,132957188,41749653",BORISOVKA,forward,514211121,Тираспольская,1092.4,,760366802,Титова,connecting_edge
0.0,,BORISOVKA,forward,,Титова,0.0,760366983,,Кишинёвская,shared_node
233.3,"316027880,532560332",BORISOVKA,forward,3221451783,Кишинёвская,193.6,,595396016,Хмельницкого,connecting_edge
419.1,"532560332,222986033",BORISOVKA,forward,595396016,Хмельницкого,186.0,,2319359045,50 лет ВЛКСМ,connecting_edge
0.0,,BORISOVKA,forward,,50 лет ВЛКСМ,0.0,794206721,,Осипенко,shared_node
0.0,,BORISOVKA,reverse,,Осипенко,0.0,794206721,,50 лет ВЛКСМ,shared_node
419.1,"222986033,532560332",BORISOVKA,reverse,2319359045,50 лет ВЛКСМ,186.0,,595396016,Хмельницкого,connecting_edge
233.3,"532560332,316027880",BORISOVKA,reverse,595396016,Хмельницкого,193.6,,3221451783,Кишинёвская,connecting_edge
0.0,,BORISOVKA,reverse,,Кишинёвская,0.0,760366983,,Титова,shared_node
3139.1,"63221747,493891922,385234576,28796004,28796006,87506331",BORISOVKA,reverse,760366802,Титова,1092.4,,514211121,Тираспольская,connecting_edge
0.0,,KHOMUTYANOVKA_A,forward,,Дружбы,0.0,2905509350,,Ечина,shared_node
916.1,"63221784,1487273420,680304257",KHOMUTYANOVKA_A,forward,5170901775,Ечина,915.4,,517232497,Главана,connecting_edge
217.4,"476862332,693341446,223350045",KHOMUTYANOVKA_A,forward,2322021235,Главана,73.7,,2322531578,Старого,connecting_edge
217.4,"223350045,693341446,476862332",KHOMUTYANOVKA_A,reverse,2322531578,Старого,73.7,,2322021235,Главана,connecting_edge
916.1,"680304257,1487273420,63221784",KHOMUTYANOVKA_A,reverse,517232497,Главана,915.4,,5170901775,Ечина,connecting_edge
0.0,,KHOMUTYANOVKA_A,reverse,,Ечина,0.0,2905509350,,Дружбы,shared_node
823.3,"680056528,41749659,133021431",KHOMUTYANOVKA_B,forward,514211174,Московская,726.2,,3053213825,Первомайская,connecting_edge
238.6,"222663026,1360651682,1360651683,1360651681",KHOMUTYANOVKA_B,forward,514211028,Первомайская,238.5,,1730582932,Некрасова,connecting_edge
1191.9,"47475964,222913052,697846846,697846845,41844063,1360651681",KHOMUTYANOVKA_B,forward,2316035700,Некрасова,616.1,,2905509350,Ечина,connecting_edge
916.1,"63221784,1487273420,680304257",KHOMUTYANOVKA_B,forward,5170901775,Ечина,915.4,,517232497,Главана,connecting_edge
217.4,"476862332,693341446,223350045",KHOMUTYANOVKA_B,forward,2322021235,Главана,73.7,,2322531578,Старого,connecting_edge
217.4,"223350045,693341446,476862332",KHOMUTYANOVKA_B,reverse,2322531578,Старого,73.7,,2322021235,Главана,connecting_edge
916.1,"680304257,1487273420,63221784",KHOMUTYANOVKA_B,reverse,517232497,Главана,915.4,,5170901775,Ечина,connecting_edge
1191.9,"63221762,1360651681,41844063,697846845,697846846,222913052",KHOMUTYANOVKA_B,reverse,2905509350,Ечина,616.1,,2316035700,Некрасова,connecting_edge
238.6,"1360651681,1360651683,1360651682,222663026",KHOMUTYANOVKA_B,reverse,1730582932,Некрасова,238.5,,514211028,Первомайская,connecting_edge
823.3,"133021431,41749659,680056528",KHOMUTYANOVKA_B,reverse,3053213825,Первомайская,726.2,,514211174,Московская,connecting_edge
544.5,"222904315,223691988",PROTYAGAILOVKA,forward,1067380617,Старого,330.4,,2325729785,Мира,connecting_edge
544.5,"223691988,222904315",PROTYAGAILOVKA,reverse,2325729785,Мира,330.4,,1067380617,Старого,connecting_edge
