corridor,directed_edges_in_street,direction,entry_node,exit_node,highway,oneway_tag,status,street,traversed_metres,traversed_way_ids,traversed_within_street,ways_in_street
BORISOVKA,390,forward,2337653811,514211121,residential,,OK,Тираспольская,598.6,"228367336,38633109",True,19
BORISOVKA,47,forward,760366802,760366983,residential,,OK,Титова,629.8,"493891920,385234575,161630389",True,6
BORISOVKA,176,forward,760366983,3221451783,tertiary,,OK,Кишинёвская,751.6,"63221794,41749663",True,8
BORISOVKA,24,forward,595396016,595396016,residential,,OK,Хмельницкого,0.0,,True,2
BORISOVKA,66,forward,2319359045,794206721,tertiary,no,NO_LEGAL_TRAVERSAL_IN_DIRECTION,50 лет ВЛКСМ,,,False,5
BORISOVKA,10,forward,794206721,583629136,residential,,OK,Осипенко,561.5,45858827,True,1
BORISOVKA,10,reverse,583629143,794206721,residential,,OK,Осипенко,76.4,45858827,True,1
BORISOVKA,66,reverse,794206721,2319359045,tertiary,no,NO_LEGAL_TRAVERSAL_IN_DIRECTION,50 лет ВЛКСМ,,,False,5
BORISOVKA,24,reverse,595396016,595396016,residential,,OK,Хмельницкого,0.0,,True,2
BORISOVKA,176,reverse,3221451783,760366983,tertiary,,OK,Кишинёвская,751.6,"41749663,63221794",True,8
BORISOVKA,47,reverse,760366983,760366802,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Титова,,,False,6
BORISOVKA,390,reverse,514211121,2393758726,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Тираспольская,,,False,19
KHOMUTYANOVKA_A,219,forward,604245177,2905509350,primary,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Дружбы,,,False,15
KHOMUTYANOVKA_A,38,forward,2905509350,5170901775,primary,,OK,Ечина,767.0,"63221780,410946399",True,2
KHOMUTYANOVKA_A,106,forward,517232497,2322021235,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Главана,,,False,8
KHOMUTYANOVKA_A,84,forward,2322531578,1067380617,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Старого,,,False,7
KHOMUTYANOVKA_A,84,reverse,760367060,2322531578,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Старого,,,False,7
KHOMUTYANOVKA_A,106,reverse,2322021235,517232497,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Главана,,,False,8
KHOMUTYANOVKA_A,38,reverse,5170901775,2905509350,primary,,OK,Ечина,767.0,"410946399,63221780",True,2
KHOMUTYANOVKA_A,219,reverse,2905509350,2429242780,primary,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Дружбы,,,False,15
KHOMUTYANOVKA_B,38,forward,6367515249,514211174,residential,no,OK,Московская,402.9,"404564011,680056528",True,4
KHOMUTYANOVKA_B,256,forward,3053213825,514211028,residential,,OK,Первомайская,861.5,"133021431,133021433",True,15
KHOMUTYANOVKA_B,98,forward,1730582932,2316035700,residential,,OK,Некрасова,822.7,"697846845,697846846,222913052,47475964",True,7
KHOMUTYANOVKA_B,38,forward,2905509350,5170901775,primary,,OK,Ечина,767.0,"63221780,410946399",True,2
KHOMUTYANOVKA_B,106,forward,517232497,2322021235,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Главана,,,False,8
KHOMUTYANOVKA_B,84,forward,2322531578,1067380617,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Старого,,,False,7
KHOMUTYANOVKA_B,84,reverse,760367060,2322531578,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Старого,,,False,7
KHOMUTYANOVKA_B,106,reverse,2322021235,517232497,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Главана,,,False,8
KHOMUTYANOVKA_B,38,reverse,5170901775,2905509350,primary,,OK,Ечина,767.0,"410946399,63221780",True,2
KHOMUTYANOVKA_B,98,reverse,2316035700,1730582932,residential,,OK,Некрасова,822.7,"47475964,222913052,697846846,697846845",True,7
KHOMUTYANOVKA_B,256,reverse,514211028,3053213825,residential,,OK,Первомайская,861.5,"133021433,133021431",True,15
KHOMUTYANOVKA_B,38,reverse,514211174,514211109,residential,no,OK,Московская,1390.0,"680056528,404564011,680056522,41749657",True,4
PROTYAGAILOVKA,84,forward,760367060,1067380617,residential,,OK,Старого,895.9,"525055331,680093941,680093938",True,7
PROTYAGAILOVKA,674,forward,2325729785,5635029712,primary,no,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Мира,,,False,49
PROTYAGAILOVKA,674,reverse,1303506700,2325729785,primary,no,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Мира,,,False,49
PROTYAGAILOVKA,84,reverse,1067380617,4208738072,residential,,NO_LEGAL_TRAVERSAL_IN_DIRECTION,Старого,,,False,7
