current_zone,directed_states,district,house,km_10c,km_10d,off_road_m,owner_review_required,status,street,uid
2,2,Борисовка,1 А,4.3612,4.1049,17.54,True,OK,1-й Братский переулок,n4919312070
2,2,Борисовка,12,4.0399,4.0506,14.36,True,OK,1-й Братский переулок,w319402241
2,2,Борисовка,14,4.0489,4.0584,15.28,True,OK,1-й Братский переулок,w319305814
2,2,Борисовка,16,4.2718,4.1942,15.49,True,OK,1-й Братский переулок,n2325729678
2,2,Борисовка,23,4.1995,4.2103,17.03,True,OK,1-й Братский переулок,n2325729685
2,2,Борисовка,1,3.9116,3.9224,14.18,True,OK,1-й переулок Петровского,w319141459
2,2,Борисовка,3,4.1491,3.954,14.88,True,OK,1-й переулок Петровского,w319141457
2,2,Борисовка,4,3.9361,3.9469,20.09,True,OK,1-й переулок Петровского,w319615907
2,2,Борисовка,6,3.9522,3.963,14.2,True,OK,1-й переулок Петровского,w319615909
2,2,Борисовка,10,4.0954,4.0123,21.79,True,OK,1-й переулок Петровского,w319402243
2,2,Борисовка,11,4.1638,4.051,16.55,True,OK,1-й переулок Петровского,w319141434
2,2,Борисовка,16,4.0764,4.0872,22.9,True,OK,1-й переулок Петровского,w319227866
2,2,Борисовка,29,4.1085,4.1064,5.6,True,OK,1-й переулок Петровского,n2325366583
2,2,Борисовка,1,4.3081,4.0273,15.49,True,OK,2-й Братский переулок,w319305819
2,2,Борисовка,2,4.3284,4.007,0.1,True,OK,2-й Братский переулок,n2325729693
2,2,Борисовка,3,4.0564,4.0672,11.59,True,OK,2-й Братский переулок,w319615908
2,2,Борисовка,5,4.2311,4.1043,16.54,True,OK,2-й Братский переулок,w351855709
2,2,Борисовка,6 Б,3.9763,3.9871,9.19,True,OK,2-й Братский переулок,n4919312077
2,2,Борисовка,7,4.1077,4.1185,30.4,True,OK,2-й Братский переулок,w351855710
2,2,Борисовка,9,4.1303,4.1411,15.39,True,OK,2-й Братский переулок,w351855713
2,2,Борисовка,12,4.1949,4.1406,3.82,True,OK,2-й Братский переулок,n2325729692
2,2,Борисовка,4,4.0676,4.0354,22.93,True,OK,2-й переулок Петровского,w319141416
2,2,Борисовка,4,4.1036,3.9995,13.62,True,OK,2-й переулок Петровского,w319141422
