settlement,street_ru,osm_ids,confirmed_addresses,confirmed_residential_buildings,probable_residential_buildings,apartment_buildings,nonresidential_buildings,outbuildings,abandoned_or_ruin,official_web_evidence,civic_or_commercial_pois,connected_to_core,distance_to_core_by_road_km,demand_tier,affects_zone_pricing,service_status,reason
bender_core,1-й Братский переулок,223672862,56,17,49,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,1-й Измаильский переулок,325664970,35,35,11,0,0,1,0,False,1,False,,A,True,standard,confirmed_addresses>=5
bender_core,1-й переулок Петровского,223672774,42,24,23,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,2-й Береговой переулок,597364118,10,17,2,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,2-й Братский переулок,116073590,63,31,37,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,2-й Измаильский переулок,106082963,33,33,9,0,0,1,0,False,1,False,,A,True,standard,confirmed_addresses>=5
bender_core,2-й переулок Петровского,223673219,38,20,26,0,1,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,3-й Индустриальный переулок,115331444,29,25,10,0,0,0,0,False,0,False,0.987,A,True,standard,confirmed_addresses>=5
bender_core,4-й Береговой переулок,165762115,9,15,3,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Безымянный переулок,91850350,27,22,15,0,0,0,0,False,2,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Бельцкая улица,41749666;493891922,81,75,46,0,0,0,0,False,3,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Братская улица,116073592,45,26,50,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Варницкий переулок,165445033;223713612;1417413511,9,8,2,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Варницкий тупик,223670457,16,14,25,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Восточная улица,87506333,29,29,15,0,1,0,0,False,1,False,2.907,A,True,standard,confirmed_addresses>=5
bender_core,Восточный переулок,96404889,27,27,15,0,1,0,0,False,0,False,2.91,A,True,standard,confirmed_addresses>=5
bender_core,Гвардейская улица,222655027,38,37,10,0,1,0,0,False,0,False,2.992,A,True,standard,confirmed_addresses>=5
bender_core,Гербовецкая улица,222904315,20,8,22,0,0,0,0,False,3,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Главная улица,222904319,6,6,3,0,0,0,0,False,0,False,,A,True,standard,confirmed_addresses>=5
bender_core,Глинная улица,209668181,16,11,12,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,Дачная улица,87497012,23,22,10,0,2,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
