settlement,osm_type,osm_id,name,name_ru,name_ro,official_name,alt_name,old_name,ru_display,ru_source,ru_status,road_class,is_address_street,needs_name_classification_review
bender,way,223672862,1-й Братский переулок,1-й Братский переулок,,,,,1-й Братский переулок,name:ru,ok,address_street,True,False
bender,way,325664970,1-й Измаильский переулок,1-й Измаильский переулок,Stradela 1 Ismail,,,,1-й Измаильский переулок,name:ru,ok,address_street,True,False
bender,way,161635487,1-й Индустриальный переулок,1-й Индустриальный переулок,,,,,1-й Индустриальный переулок,name:ru,ok,service,False,True
bender,way,60739720,1-й переулок Кутузова,1-й переулок Кутузова,Stradela Kutuzov 1,,,,1-й переулок Кутузова,name:ru,ok,address_street,True,False
bender,way,223672774,1-й переулок Петровского,1-й переулок Петровского,Stradela Petrovski 1,,,,1-й переулок Петровского,name:ru,ok,address_street,True,False
bender,way,597364118,2-й Береговой переулок,2-й Береговой переулок,,,,,2-й Береговой переулок,name:ru,ok,address_street,True,False
bender,way,116073590,2-й Братский переулок,2-й Братский переулок,,,,,2-й Братский переулок,name:ru,ok,address_street,True,False
bender,way,106082963,2-й Измаильский переулок,2-й Измаильский переулок,Stradela 2 Ismail,,,,2-й Измаильский переулок,name:ru,ok,address_street,True,False
bender,way,160164525,2-й переулок Кутузова,2-й переулок Кутузова,Stradela Kutuzov 2,,,,2-й переулок Кутузова,name:ru,ok,address_street,True,False
bender,way,223673219,2-й переулок Петровского,2-й переулок Петровского,Stradela 2 Petrovski,,,,2-й переулок Петровского,name:ru,ok,address_street,True,False
bender,way,115331444,3-й Индустриальный переулок,3-й Индустриальный переулок,,,,,3-й Индустриальный переулок,name:ru,ok,address_street,True,False
bender,way,165762115,4-й Береговой переулок,4-й Береговой переулок,,,,,4-й Береговой переулок,name:ru,ok,address_street,True,False
bender,way,162030318,6-й Береговой переулок,6-й Береговой переулок,,,,,6-й Береговой переулок,name:ru,ok,service,False,True
bender,way,450216778,Bender-Copanca,Бендеры-Копанка,,,,,Бендеры-Копанка,name:ru,ok,address_street,True,False
