uid,settlement,district,street,housenumber,destination_lat,destination_lon,yandex_status,distance_meters,distance_km,duration_seconds,duration_minutes,origin_lat,origin_lon,request_batch_id,requested_at,yandex_api_response_status,unreachable_reason,current_zone,current_osrm_km,yandex_minus_osrm_km,yandex_osrm_ratio,in_verified_registry,status,owner_review_required
n4919312070,Бендеры,Борисовка,1-й Братский переулок,1 А,46.83975,29.46641,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.2837,,,True,PENDING_YANDEX_PREREQUISITE,True
w319141417,Бендеры,Борисовка,2-й переулок Петровского,5,46.83979,29.46769,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.1288,,,True,PENDING_YANDEX_PREREQUISITE,True
w319135680,Бендеры,Борисовка,Бельцкая улица,21,46.83811,29.46864,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,3,4.699,,,True,PENDING_YANDEX_PREREQUISITE,True
w318702083,Бендеры,Борисовка,Бельцкая улица,57,46.83978,29.47383,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.2963,,,True,PENDING_YANDEX_PREREQUISITE,True
n5172818844,Бендеры,Борисовка,Кишинёвская улица,12/3,46.83151,29.47217,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,4,7.1161,,,True,PENDING_YANDEX_PREREQUISITE,True
n2325729708,Бендеры,Борисовка,Кишинёвский тупик,10,46.84174,29.46549,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.1961,,,True,PENDING_YANDEX_PREREQUISITE,True
w91848812,Бендеры,Борисовка,Одесская улица,33,46.83829,29.46435,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.4313,,,True,PENDING_YANDEX_PREREQUISITE,True
n2322107952,Бендеры,Борисовка,Фонтанная улица,35,46.83424,29.46363,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,4,6.3735,,,True,PENDING_YANDEX_PREREQUISITE,True
w209267166,Бендеры,Борисовка,улица 12 Октября,10,46.83794,29.46193,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,3,5.0033,,,True,PENDING_YANDEX_PREREQUISITE,True
w319227729,Бендеры,Борисовка,улица 12 Октября,46,46.83663,29.46138,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,4,6.755,,,True,PENDING_YANDEX_PREREQUISITE,True
w317148591,Бендеры,Борисовка,улица 50 лет ВЛКСМ,21,46.83187,29.46554,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,3,5.9833,,,True,PENDING_YANDEX_PREREQUISITE,True
w318057740,Бендеры,Борисовка,улица Гастелло,14,46.83744,29.46922,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.3532,,,True,PENDING_YANDEX_PREREQUISITE,True
w223680282,Бендеры,Борисовка,улица Глядковской,11,46.83736,29.47112,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.0874,,,True,PENDING_YANDEX_PREREQUISITE,True
w317484807,Бендеры,Борисовка,улица Ивана Федько,13,46.83614,29.46847,PREREQUISITE_NOT_MET,,,,,46.82388,29.48313,b000,2026-07-25T07:33:40Z,,not requested — prerequisite not met,2,4.4347,,,True,PENDING_YANDEX_PREREQUISITE,True
