uid,address,territory,status,canonical_route_km,route_km,route_km_duration_opt,straight_km,crosses_checkpoint,external_km,base_price,external_surcharge,reference_price,internal_zone,routing_status,old_k4_zone_id
n11222053152,"Протягайловка, Славянская улица, 10",Протягайловка,routed,7.939,7.9399,7.9399,4.419,False,0.0,33.76,0.0,33.76,3,routed,4
n11888388469,"Бендеры, улица Титова, 80",Бендеры,routed,3.777,3.7767,3.7767,2.453,False,0.0,17.107,0.0,17.107,1,routed,2
n12143937485,"Бендеры, улица Победы, 6",Бендеры,routed,3.241,3.2413,3.2413,2.664,False,0.0,14.965,0.0,14.965,1,routed,2
n2321749385,"Гиска, улица Ленина, 13",Гиска,routed,4.574,4.5742,4.5742,4.17,False,0.0,20.297,0.0,20.297,1,routed,3
n2321749386,"Гиска, улица Суворова, 62",Гиска,routed,4.751,4.7512,4.7512,4.131,False,0.0,21.005,0.0,21.005,1,routed,3
n2321749387,"Гиска, улица Ленина, 17",Гиска,routed,4.72,4.7197,4.7197,4.295,False,0.0,20.879,0.0,20.879,1,routed,3
n2321749388,"Гиска, улица Ленина, 26",Гиска,routed,4.634,4.6341,4.6341,4.23,False,0.0,20.536,0.0,20.536,1,routed,3
n2321749389,"Гиска, улица Ленина, 28",Гиска,routed,4.732,4.7315,4.7315,4.328,False,0.0,20.926,0.0,20.926,1,routed,3
n2321749390,"Гиска, улица Интернационалистов, 2",Гиска,routed,4.696,4.6959,4.6959,4.279,False,0.0,20.784,0.0,20.784,1,routed,3
n2321749391,"Гиска, улица Суворова, 75",Гиска,routed,4.696,4.6961,4.6961,4.208,False,0.0,20.784,0.0,20.784,1,routed,3
n2321749392,"Гиска, улица Суворова, 46",Гиска,routed,5.029,5.0287,5.0287,3.968,False,0.0,22.115,0.0,22.115,2,routed,3
n2321749393,"Гиска, улица Суворова, 23",Гиска,routed,5.068,5.0681,5.0681,3.983,False,0.0,22.272,0.0,22.272,2,routed,3
n2321749394,"Гиска, улица Суворова, 34",Гиска,routed,5.174,5.1734,5.1734,3.885,False,0.0,22.694,0.0,22.694,2,routed,3
n2321749401,"Гиска, улица Интернационалистов, 8",Гиска,routed,4.816,4.8161,4.8161,4.339,False,0.0,21.264,0.0,21.264,1,routed,3
n2321749410,"Гиска, улица Ленина, 21",Гиска,routed,4.794,4.7944,4.7944,4.386,False,0.0,21.178,0.0,21.178,1,routed,3
n2321749411,"Гиска, улица Ленина, 47",Гиска,routed,5.082,5.0816,5.0816,4.667,False,0.0,22.326,0.0,22.326,2,routed,3
n2321749412,"Гиска, улица Ленина, 49",Гиска,routed,5.176,5.1762,5.1762,4.76,False,0.0,22.705,0.0,22.705,2,routed,3
n2321749413,"Гиска, улица Гоголя, 1",Гиска,routed,5.23,5.2298,5.2298,4.683,False,0.0,22.919,0.0,22.919,2,routed,3
n2321749414,"Гиска, улица Гоголя, 9",Гиска,routed,5.315,5.3144,5.3144,4.621,False,0.0,23.258,0.0,23.258,2,routed,4
n2321749415,"Гиска, улица Гоголя, 2",Гиска,routed,5.213,5.2122,5.2122,4.725,False,0.0,22.849,0.0,22.849,2,routed,3
n2321749416,"Гиска, улица Гоголя, 16",Гиска,routed,5.305,5.3054,5.3054,4.65,False,0.0,23.222,0.0,23.222,2,routed,4
n2321749417,"Гиска, улица Гоголя, 11",Гиска,routed,5.407,5.4059,5.4059,4.616,False,0.0,23.624,0.0,23.624,2,routed,4
n2321749418,"Гиска, улица Гоголя, 59",Гиска,routed,5.494,5.494,5.494,4.177,False,0.0,23.976,0.0,23.976,2,routed,4
n2321749419,"Гиска, Молодёжная улица, 1",Гиска,routed,5.406,5.406,5.406,4.809,False,0.0,23.624,0.0,23.624,2,routed,4
n2321749420,"Гиска, Молодёжная улица, 19",Гиска,routed,5.557,5.5564,5.5564,4.694,False,0.0,24.226,0.0,24.226,2,routed,4
n2321749421,"Гиска, Молодёжная улица, 2",Гиска,routed,5.399,5.3988,5.3988,4.839,False,0.0,23.595,0.0,23.595,2,routed,4
n2321749422,"Гиска, Молодёжная улица, 21",Гиска,routed,5.609,5.6095,5.6095,4.649,False,0.0,24.438,0.0,24.438,2,routed,4
n2321749424,"Гиска, Молодёжная улица, 48",Гиска,routed,5.623,5.6228,5.6228,4.309,False,0.0,24.491,0.0,24.491,2,routed,4
n2321749428,"Гиска, переулок Мира, 8",Гиска,routed,6.466,6.4657,6.4657,4.354,False,0.0,27.863,0.0,27.863,2,routed,4
n2321749430,"Гиска, улица Ленина, 58",Гиска,routed,5.17,5.1699,5.1699,4.764,False,0.0,22.68,0.0,22.68,2,routed,3
n2321749431,"Гиска, улица Ленина, 59",Гиска,routed,5.254,5.2532,5.2532,4.836,False,0.0,23.013,0.0,23.013,2,routed,3
n2321749432,"Гиска, Молодёжная улица, 61",Гиска,routed,5.323,5.3224,5.3224,4.902,False,0.0,23.29,0.0,23.29,2,routed,4
n2321749433,"Гиска, улица Ленина, 71",Гиска,routed,5.466,5.4656,5.4656,5.015,False,0.0,23.862,0.0,23.862,2,routed,4
n2321749435,"Гиска, улица Ленина, 75",Гиска,routed,5.638,5.6383,5.6383,5.138,False,0.0,24.553,0.0,24.553,2,routed,4
n2321749436,"Гиска, улица Ленина, 77",Гиска,routed,5.62,5.6195,5.6195,5.198,False,0.0,24.478,0.0,24.478,2,routed,4
n2321749437,"Гиска, улица Ленина, 90а",Гиска,routed,5.571,5.5705,5.5705,5.156,False,0.0,24.282,0.0,24.282,2,routed,4
n2321749438,"Гиска, улица Ленина, 92",Гиска,routed,5.642,5.6416,5.6416,5.227,False,0.0,24.566,0.0,24.566,2,routed,4
