settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Борисовка,1-й Братский переулок,1 А,2,4.2837,0.9486,3.873,4.2784,0.0,False,False,,3.7786,2,
Бендеры,Борисовка,1-й Братский переулок,12,2,4.239,0.9038,3.828,4.2337,0.0,False,False,,3.7339,2,
Бендеры,Борисовка,1-й Братский переулок,14,2,4.2089,0.8738,3.798,4.2037,0.0,False,False,,3.7039,2,
Бендеры,Борисовка,1-й Братский переулок,16,2,4.3832,1.0481,3.973,4.3777,0.0,False,False,,3.8779,2,
Бендеры,Борисовка,1-й Братский переулок,23,2,4.3895,1.0544,3.979,4.384,0.0,False,False,,3.8842,2,
Бендеры,Борисовка,1-й переулок Петровского,1,2,3.9248,0.5897,3.514,3.9203,0.0,False,False,,3.4205,1,zone_move_2->1
Бендеры,Борисовка,1-й переулок Петровского,3,2,3.9567,0.8566,3.569,3.9522,0.0,False,False,,3.4876,1,zone_move_2->1
Бендеры,Борисовка,1-й переулок Петровского,4,2,3.9369,0.6018,3.526,3.9324,0.0,False,False,,3.4326,1,zone_move_2->1
Бендеры,Борисовка,1-й переулок Петровского,6,2,3.9552,0.8581,3.568,3.9507,0.0,False,False,,3.4866,1,zone_move_2->1
Бендеры,Борисовка,1-й переулок Петровского,10,2,4.1477,0.8126,3.737,4.1428,0.0,False,False,,3.643,2,
Бендеры,Борисовка,1-й переулок Петровского,11,2,4.2061,0.871,3.795,4.2009,0.0,False,False,,3.7011,2,
Бендеры,Борисовка,1-й переулок Петровского,16,2,4.1841,0.849,3.773,4.1789,0.0,False,False,,3.6791,2,
Бендеры,Борисовка,1-й переулок Петровского,29,2,4.1587,0.8236,3.748,4.1535,0.0,False,False,,3.6537,2,
Бендеры,Борисовка,2-й Братский переулок,1,2,4.0201,0.892,3.63,4.0155,0.0,False,False,,3.5467,2,
Бендеры,Борисовка,2-й Братский переулок,2,2,4.0045,0.8764,3.615,3.9999,0.0,False,False,,3.5311,2,
Бендеры,Борисовка,2-й Братский переулок,3,2,4.0612,0.9331,3.671,4.0565,0.0,False,False,,3.5877,2,
Бендеры,Борисовка,2-й Братский переулок,5,2,4.0969,0.9688,3.707,4.0922,0.0,False,False,,3.6234,2,
Бендеры,Борисовка,2-й Братский переулок,6 Б,2,3.9873,0.8592,3.597,3.9827,0.0,False,False,,3.5139,1,zone_move_2->1
Бендеры,Борисовка,2-й Братский переулок,7,2,4.1069,0.9788,3.717,4.1021,0.0,False,False,,3.6333,2,
Бендеры,Борисовка,2-й Братский переулок,9,2,4.1341,1.006,3.743,4.1292,0.0,False,False,,3.6604,2,
Бендеры,Борисовка,2-й Братский переулок,12,2,4.1395,1.0113,3.75,4.1346,0.0,False,False,,3.6658,2,
Бендеры,Борисовка,2-й переулок Петровского,4,2,4.0793,0.7442,3.628,4.0746,0.0,False,False,,3.5748,2,
Бендеры,Борисовка,2-й переулок Петровского,4,2,4.0388,0.7037,3.628,4.0341,0.0,False,False,,3.5343,2,
Бендеры,Борисовка,2-й переулок Петровского,5,2,4.1288,0.7936,3.718,4.1239,0.0,False,False,,3.6241,2,
Бендеры,Борисовка,2-й переулок Петровского,8,2,4.1119,0.7768,3.701,4.1071,0.0,False,False,,3.6073,2,
Бендеры,Борисовка,2-й переулок Петровского,15,2,4.1145,0.7794,3.704,4.1097,0.0,False,False,,3.6099,2,
Бендеры,Борисовка,2-й переулок Петровского,45,2,4.0068,0.6717,3.596,4.0021,0.0,False,False,,3.5023,1,zone_move_2->1
Бендеры,Борисовка,Безымянный переулок,23,3,5.9943,1.7913,5.453,5.9914,0.0,False,False,,5.361,2,zone_move_3->2
Бендеры,Борисовка,Безымянный переулок,42,3,6.0509,1.7346,5.493,6.048,0.0,False,False,,5.4006,2,zone_move_3->2
Бендеры,Борисовка,Безымянный переулок,44,3,6.0384,1.7471,5.484,6.0355,0.0,False,False,,5.3919,2,zone_move_3->2
Бендеры,Борисовка,Безымянный переулок,46,3,6.0149,1.7706,5.468,6.012,0.0,False,False,,5.3754,2,zone_move_3->2
Бендеры,Борисовка,Безымянный переулок,48,3,6.0317,1.8585,5.496,6.0287,0.0,False,False,,5.4028,2,zone_move_3->2
Бендеры,Борисовка,Безымянный переулок,50в,3,6.0608,1.9197,5.529,6.0576,0.0,False,False,,5.4365,2,zone_move_3->2
Бендеры,Борисовка,Безымянный переулок,63,4,6.1368,1.9636,5.6,6.1335,0.0,False,False,,5.5076,2,zone_move_4->2
