settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Гиска,Гиска,Госпитальная улица,8,4,6.3849,8.9653,6.706,3.5055,2.8742,True,False,"[29.460651, 46.800081]",8.6825,4,
Гиска,Гиска,Госпитальная улица,10а,4,6.3218,8.9021,6.643,3.5055,2.8113,True,False,"[29.460651, 46.800081]",8.5777,4,
Гиска,Гиска,Госпитальная улица,12,4,6.1697,8.75,6.491,3.5055,2.6593,True,False,"[29.460651, 46.800081]",8.3244,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,12 В,4,6.2373,8.8177,6.558,3.5055,2.7269,True,False,"[29.460651, 46.800081]",8.437,4,
Гиска,Гиска,Госпитальная улица,14а,4,6.1771,8.7575,6.497,3.5055,2.6667,True,False,"[29.460651, 46.800081]",8.3367,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,16,4,6.229,8.8093,6.55,3.5055,2.7185,True,False,"[29.460651, 46.800081]",8.423,4,
Гиска,Гиска,Госпитальная улица,20,4,6.3235,8.9039,6.644,3.5055,2.813,True,False,"[29.460651, 46.800081]",8.5805,4,
Гиска,Гиска,Госпитальная улица,24,4,5.9203,8.5007,6.241,3.5055,2.4112,True,False,"[29.460651, 46.800081]",7.9109,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,31,4,5.909,8.4893,6.23,3.5055,2.3998,True,False,"[29.460651, 46.800081]",7.8919,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,35,4,6.4839,9.0642,6.805,3.5055,2.9733,True,False,"[29.460651, 46.800081]",8.8477,4,
Гиска,Гиска,Госпитальная улица,37,4,6.3649,8.9452,6.686,3.5055,2.8543,True,False,"[29.460651, 46.800081]",8.6494,4,
Гиска,Гиска,Госпитальная улица,39,4,6.4772,9.0576,6.798,3.5055,2.9666,True,False,"[29.460651, 46.800081]",8.8365,4,
Гиска,Гиска,Госпитальная улица,45,4,6.3897,8.97,6.71,3.5055,2.8791,True,False,"[29.460651, 46.800081]",8.6907,4,
Гиска,Гиска,Госпитальная улица,47,4,6.3022,8.8825,6.623,3.5055,2.7917,True,False,"[29.460651, 46.800081]",8.545,4,
Гиска,Гиска,Госпитальная улица,52,4,5.8049,8.3852,6.126,3.5055,2.2957,True,False,"[29.460651, 46.800081]",7.7184,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,53,4,6.134,8.7144,6.454,3.5055,2.6236,True,False,"[29.460651, 46.800081]",8.2649,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,54,4,5.7299,8.3102,6.051,3.5055,2.2209,True,False,"[29.460651, 46.800081]",7.5937,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,55,4,6.142,8.7224,6.463,3.5055,2.6316,True,False,"[29.460651, 46.800081]",8.2782,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,56,4,5.8039,8.3842,6.125,3.5055,2.2947,True,False,"[29.460651, 46.800081]",7.7167,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,63,4,6.1045,8.6849,6.426,3.5055,2.5948,True,False,"[29.460651, 46.800081]",8.2169,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,78,4,5.9639,8.5442,6.285,3.5055,2.4546,True,False,"[29.460651, 46.800081]",7.9832,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,87,4,5.7976,8.3779,6.119,3.5055,2.2885,True,False,"[29.460651, 46.800081]",7.7064,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,89,4,5.816,8.3963,6.137,3.5055,2.3068,True,False,"[29.460651, 46.800081]",7.7369,3,zone_move_4->3
Гиска,Гиска,Госпитальная улица,105,4,5.9704,8.5507,6.291,3.5055,2.4612,True,False,"[29.460651, 46.800081]",7.9942,3,zone_move_4->3
Гиска,Гиска,Заречная улица,13,4,6.8739,9.4543,7.195,3.5055,3.3639,True,False,"[29.460651, 46.800081]",9.4987,4,
Гиска,Гиска,Молодёжная улица,1,4,5.406,7.9863,5.727,3.5055,1.8968,True,False,"[29.460651, 46.800081]",7.0535,3,zone_move_4->3
Гиска,Гиска,Молодёжная улица,2,4,5.3988,7.9791,5.72,3.5055,1.8896,True,False,"[29.460651, 46.800081]",7.0415,3,zone_move_4->3
Гиска,Гиска,Молодёжная улица,19,4,5.5564,8.1367,5.877,3.5055,2.0468,True,False,"[29.460651, 46.800081]",7.3035,3,zone_move_4->3
