settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Хомутяновка,Гербовецкая улица,1,3,5.6548,3.9152,5.483,5.5175,0.132,True,False,"[29.450739, 46.822556]",5.4766,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,4,3,5.5325,3.793,5.361,5.5275,0.0,False,False,,5.2666,2,zone_move_3->2
Бендеры,Хомутяновка,Гербовецкая улица,6,3,5.5546,3.8151,5.383,5.5496,0.0,False,False,,5.2887,2,zone_move_3->2
Бендеры,Хомутяновка,Гербовецкая улица,8,3,5.5698,3.8303,5.399,5.5175,0.0473,True,False,"[29.451068, 46.822561]",5.3354,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,10,3,5.588,3.8485,5.417,5.5175,0.0654,True,False,"[29.450949, 46.822559]",5.3656,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,12,3,5.6035,3.8639,5.432,5.5175,0.0808,True,False,"[29.450848, 46.822558]",5.3913,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,14,3,5.629,3.8895,5.458,5.5175,0.1063,True,False,"[29.450739, 46.822556]",5.4338,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,16,3,5.6425,3.903,5.471,5.5175,0.1197,True,False,"[29.450739, 46.822556]",5.4561,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,18,3,5.6594,3.9199,5.488,5.5175,0.1366,True,False,"[29.450739, 46.822556]",5.4843,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,20,3,5.6775,3.938,5.506,5.5175,0.1547,True,False,"[29.450739, 46.822556]",5.5144,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,22,3,5.6977,3.9582,5.526,5.5175,0.1748,True,False,"[29.450739, 46.822556]",5.5479,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,24,3,5.7168,3.9773,5.545,5.5175,0.1938,True,False,"[29.450739, 46.822556]",5.5796,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,26,3,5.7332,3.9937,5.562,5.5175,0.2102,True,False,"[29.450739, 46.822556]",5.6069,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,28,3,5.7422,4.0027,5.571,5.5175,0.2192,True,False,"[29.450739, 46.822556]",5.6219,2,zone_move_3->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,30,4,5.7561,4.0166,5.585,5.5175,0.233,True,False,"[29.450739, 46.822556]",5.6449,2,zone_move_4->2;in_city_address_with_outside_route_segment
Бендеры,Хомутяновка,Гербовецкая улица,43,3,5.2933,3.5538,5.122,5.289,0.0,False,False,,5.0281,2,zone_move_3->2
Бендеры,Хомутяновка,Гербовецкая улица,45,3,5.3283,3.5888,5.157,5.3239,0.0,False,False,,5.063,2,zone_move_3->2
Бендеры,Хомутяновка,Гербовецкая улица,49,3,5.5426,3.803,5.371,5.5376,0.0,False,False,,5.2767,2,zone_move_3->2
Бендеры,Хомутяновка,Главная улица,1,3,4.505,4.3591,4.554,4.5006,0.0,False,False,,4.4787,2,zone_move_3->2
Бендеры,Хомутяновка,Главная улица,3,3,4.4589,4.3129,4.507,4.4545,0.0,False,False,,4.4326,2,zone_move_3->2
Бендеры,Хомутяновка,Глинная улица,1,3,5.5873,3.1664,5.314,5.5832,0.0,False,False,,5.2199,2,zone_move_3->2
Бендеры,Хомутяновка,Глинная улица,3,3,5.6022,3.1813,5.328,5.598,0.0,False,False,,5.2347,2,zone_move_3->2
Бендеры,Хомутяновка,Глинная улица,5,3,5.6238,3.2029,5.35,5.6195,0.0,False,False,,5.2563,2,zone_move_3->2
Бендеры,Хомутяновка,Глинная улица,7,3,5.6359,3.215,5.363,5.6316,0.0,False,False,,5.2684,2,zone_move_3->2
Бендеры,Хомутяновка,Глинная улица,9,3,5.5473,3.1264,5.274,5.5433,0.0,False,False,,5.18,2,zone_move_3->2
Бендеры,Хомутяновка,Дачная улица,1,3,4.4611,3.5434,4.432,4.4579,0.0,False,False,,4.3203,2,zone_move_3->2
Бендеры,Хомутяновка,Дачная улица,3,3,4.4421,3.5624,4.417,4.4389,0.0,False,False,,4.307,2,zone_move_3->2
Бендеры,Хомутяновка,Дачная улица,4,3,4.48,3.5245,4.447,4.4768,0.0,False,False,,4.3335,2,zone_move_3->2
Бендеры,Хомутяновка,Дачная улица,6,3,4.4625,3.542,4.433,4.4593,0.0,False,False,,4.3213,2,zone_move_3->2
Бендеры,Хомутяновка,Дачная улица,8,3,4.4457,3.5588,4.42,4.4425,0.0,False,False,,4.3095,2,zone_move_3->2
Бендеры,Хомутяновка,Дачная улица,10,3,4.4294,3.6406,4.414,4.4262,0.0,False,False,,4.3079,2,zone_move_3->2
Бендеры,Хомутяновка,Деповская улица,5,4,7.4577,1.8843,6.711,7.4541,0.0,False,False,,6.6183,3,zone_move_4->3
Бендеры,Хомутяновка,Железнодорожная улица,3,3,5.678,2.5043,5.291,5.6746,0.0,False,False,,5.1986,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,4,3,5.8281,2.2951,5.388,5.8247,0.0,False,False,,5.2948,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,5,3,5.6646,2.5177,5.282,5.6611,0.0,False,False,,5.1891,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,6,3,5.8127,2.3105,5.377,5.8093,0.0,False,False,,5.284,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,7,3,5.648,2.5343,5.271,5.6446,0.0,False,False,,5.1776,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,8,3,5.788,2.3352,5.36,5.7845,0.0,False,False,,5.2666,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,9,3,5.6341,2.5481,5.261,5.6307,0.0,False,False,,5.1678,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,10,3,5.7555,2.3677,5.337,5.752,0.0,False,False,,5.2439,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,11,3,5.6219,2.5604,5.252,5.6184,0.0,False,False,,5.1592,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,13,3,5.605,2.6626,5.253,5.6015,0.0,False,False,,5.1602,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,16,3,5.6766,2.5057,5.291,5.6732,0.0,False,False,,5.1976,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,17,3,5.5758,2.6334,5.224,5.5724,0.0,False,False,,5.1311,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,18,3,5.6608,2.5215,5.28,5.6573,0.0,False,False,,5.1865,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,20,3,5.6442,2.538,5.268,5.6408,0.0,False,False,,5.1749,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,21,3,5.5868,2.6444,5.234,5.5833,0.0,False,False,,5.142,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,22,3,5.6271,2.5551,5.256,5.6237,0.0,False,False,,5.1629,2,zone_move_3->2
