settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Парканы,Парканы,Заводская улица,1,4,7.0754,7.8067,7.11,1.597,5.4695,True,False,"[29.491402, 46.832239]",10.8222,4,
Парканы,Парканы,Заводская улица,2,4,7.0708,7.8021,7.106,1.597,5.4649,True,False,"[29.491402, 46.832239]",10.8146,4,
Парканы,Парканы,Заводская улица,4 А,4,7.1162,7.8475,7.152,1.597,5.5102,True,False,"[29.491402, 46.832239]",10.8901,4,
Парканы,Парканы,Коммунистическая улица,1,3,4.5458,5.2771,4.581,1.597,2.9433,True,False,"[29.491402, 46.832239]",6.6119,3,
Парканы,Парканы,Коммунистическая улица,3,3,4.562,5.2933,4.597,1.597,2.9595,True,False,"[29.491402, 46.832239]",6.6389,3,
Парканы,Парканы,Коммунистическая улица,4,3,4.5498,5.2811,4.585,1.597,2.9473,True,False,"[29.491402, 46.832239]",6.6186,3,
Парканы,Парканы,Коммунистическая улица,5,3,4.5875,5.3187,4.623,1.597,2.9848,True,False,"[29.491402, 46.832239]",6.6811,3,
Парканы,Парканы,Коммунистическая улица,6,3,4.5706,5.3019,4.606,1.597,2.968,True,False,"[29.491402, 46.832239]",6.6531,3,
Парканы,Парканы,Коммунистическая улица,7,3,4.6076,5.3389,4.643,1.597,3.005,True,False,"[29.491402, 46.832239]",6.7147,3,
Парканы,Парканы,Коммунистическая улица,8,3,4.5889,5.3202,4.624,1.597,2.9863,True,False,"[29.491402, 46.832239]",6.6836,3,
Парканы,Парканы,Коммунистическая улица,9,3,4.6276,5.3588,4.663,1.597,3.0249,True,False,"[29.491402, 46.832239]",6.7479,3,
Парканы,Парканы,Коммунистическая улица,10,3,4.607,5.3383,4.642,1.597,3.0043,True,False,"[29.491402, 46.832239]",6.7136,3,
Парканы,Парканы,Коммунистическая улица,11,3,4.646,5.3773,4.681,1.597,3.0433,True,False,"[29.491402, 46.832239]",6.7786,3,
Парканы,Парканы,Коммунистическая улица,12,3,4.6261,5.3574,4.662,1.597,3.0234,True,False,"[29.491402, 46.832239]",6.7454,3,
Парканы,Парканы,Коммунистическая улица,13,3,4.6661,5.3974,4.702,1.597,3.0633,True,False,"[29.491402, 46.832239]",6.8119,3,
Парканы,Парканы,Коммунистическая улица,14,3,4.644,5.3753,4.679,1.597,3.0412,True,False,"[29.491402, 46.832239]",6.7751,3,
Парканы,Парканы,Коммунистическая улица,15,3,4.6844,5.4157,4.719,1.597,3.0816,True,False,"[29.491402, 46.832239]",6.8424,3,
Парканы,Парканы,Коммунистическая улица,16,3,4.661,5.3923,4.697,1.597,3.0582,True,False,"[29.491402, 46.832239]",6.8034,3,
Парканы,Парканы,Коммунистическая улица,17,3,4.7036,5.4349,4.739,1.597,3.1007,True,False,"[29.491402, 46.832239]",6.8742,3,
Парканы,Парканы,Коммунистическая улица,18,3,4.6754,5.4067,4.711,1.597,3.0726,True,False,"[29.491402, 46.832239]",6.8274,3,
Парканы,Парканы,Коммунистическая улица,19,3,4.7217,5.453,4.757,1.597,3.1188,True,False,"[29.491402, 46.832239]",6.9044,3,
